#                                                               --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
g24717.t1            -          PF12799_full         -            2.8e-69  230.2 108.0   2.1e-07   31.7   6.4  13.4   1   1  12  13  13  13  12 -
g5798.t2             -          PF12799_full         -            1.7e-66  221.3  79.4   4.8e-11   43.4   4.0  10.6   3   2   9  12  12  11  11 -
g5798.t1             -          PF12799_full         -            1.8e-66  221.2  79.4   4.7e-11   43.4   4.0  10.6   3   2   9  12  12  11  11 -
g15274.t1            -          PF12799_full         -            2.5e-61  204.7  57.4   3.1e-10   40.8   0.1   9.8   1   1  10  11  11  11  11 -
g28531.t1            -          PF12799_full         -            1.4e-59  199.1  61.5   3.4e-13   50.3   4.8   6.9   1   1   9  10  10   9   9 -
g37397.t1            -          PF12799_full         -            2.4e-56  188.7  77.0   1.4e-08   35.5   5.3   9.3   3   3   6   9   9   9   8 -
g10527.t1            -          PF12799_full         -            6.1e-53  177.8  38.0   4.3e-14   53.2   1.5   6.5   1   1   6   7   7   7   7 -
g3221.t1             -          PF12799_full         -            5.8e-52  174.7  42.0   4.6e-07   30.6   0.0   9.3   1   1   9  10  10  10  10 -
g3221.t2             -          PF12799_full         -            7.6e-52  174.3  42.5   4.7e-07   30.6   0.1   9.3   1   1   9  10  10  10  10 -
g3221.t3             -          PF12799_full         -            7.8e-52  174.3  42.5   4.5e-07   30.6   0.1   9.3   1   1   9  10  10  10  10 -
g2381.t1             -          PF12799_full         -            4.3e-48  162.3  75.8     2e-06   28.6   0.0  14.4   6   4   7  14  14  14  10 -
g5855.t1             -          PF12799_full         -            3.6e-47  159.3  87.4   3.9e-05   24.4   0.4  15.1   3   1  11  15  15  14  13 -
g12527.t2            -          PF12799_full         -            8.8e-47  158.1  72.6   4.2e-09   37.1   2.3   9.6   2   2   8  10  10  10   8 -
g12527.t1            -          PF12799_full         -            9.2e-47  158.0  72.7   4.1e-09   37.2   2.3   9.6   2   2   8  10  10  10   8 -
g15656.t1            -          PF12799_full         -            2.1e-45  153.6  43.2   1.3e-09   38.8   1.7   7.3   1   1   9  10  10  10  10 -
g7242.t1             -          PF12799_full         -            1.7e-41  141.1  46.1   7.7e-07   29.9   0.1   8.8   1   1   9  10  10  10  10 -
g12285.t1            -          PF12799_full         -            4.1e-41  139.9  55.7   1.2e-07   32.4   7.3   7.7   1   1   8   9   9   9   9 -
g1267.t1             -          PF12799_full         -            2.2e-39  134.3  42.2     5e-09   36.9   1.8   8.3   2   2   6   8   8   8   7 -
g39283.t1            -          PF12799_full         -              1e-37  129.0  67.8     2e-08   35.0   3.5   8.7   3   3   5   8   8   8   6 -
g4011.t1             -          PF12799_full         -            1.8e-37  128.2  58.9     3e-07   31.2   1.1   7.5   1   1   8   9   9   9   9 -
