#                                                               --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
g3776.t1             -          PF13927_seed         -                  0 3459.9   1.1   3.9e-15   57.3   0.0  78.9  79   0   0  79  79  78  78 -
g14389.t2            -          PF13927_seed         -                  0 2204.2 207.8   1.8e-13   52.0   0.0  59.2  58   1   0  58  58  58  58 -
g14389.t1            -          PF13927_seed         -                  0 2204.2 207.7   1.8e-13   52.0   0.0  59.2  58   1   0  58  58  58  58 -
g19129.t1            -          PF13927_seed         -                  0 1314.1 223.8   2.8e-15   57.8   0.8  38.5  38   0   0  38  38  38  37 -
g30260.t1            -          PF13927_seed         -           2.3e-149  487.4  13.4     1e-15   59.2   0.1  10.9  10   0   0  10  10  10  10 -
g31850.t1            -          PF13927_seed         -           2.7e-142  464.8  22.0   2.1e-17   64.6   0.3  10.2  10   0   0  10  10  10  10 -
g4422.t1             -          PF13927_seed         -           3.3e-120  394.0  48.5   1.8e-12   48.8   0.4  10.3  10   0   0  10  10  10  10 -
g30120.t1            -          PF13927_seed         -           6.4e-118  386.7  33.5   1.8e-21   77.7   0.2   6.2   6   0   0   6   6   6   6 -
g20057.t1            -          PF13927_seed         -           2.6e-114  375.1  32.1   3.9e-16   60.6   0.5  10.2  10   0   0  10  10   9   9 -
g27979.t1            -          PF13927_seed         -           3.2e-112  368.4  25.9   4.8e-14   53.8   0.9   9.7   9   0   0   9   9   9   9 -
g11333.t1            -          PF13927_seed         -           1.4e-102  337.5  28.5   1.2e-12   49.3   0.0   8.9   9   0   0   9   9   8   8 -
g15964.t1            -          PF13927_seed         -           9.5e-100  328.5  20.2   3.6e-15   57.5   0.1  11.0  10   0   0  10  10  10   8 -
g31886.t1            -          PF13927_seed         -            2.4e-98  324.0  11.6   1.9e-17   64.7   0.2   6.4   6   0   0   6   6   6   6 -
g38440.t1            -          PF13927_seed         -            6.7e-98  322.5  11.4   4.1e-17   63.7   0.5   7.3   7   0   0   7   7   7   7 -
g11681.t1            -          PF13927_seed         -              3e-96  317.2  35.3   3.5e-15   57.5   1.4   8.6   8   0   0   8   8   8   8 -
g16880.t1            -          PF13927_seed         -            2.5e-95  314.3  18.8   5.8e-17   63.2   0.2   9.4   9   0   0   9   9   8   8 -
g20146.t1            -          PF13927_seed         -            1.1e-90  299.5  16.5   1.8e-12   48.8   0.0  12.0  11   1   0  11  11  11   8 -
g19130.t1            -          PF13927_seed         -            1.7e-88  292.4  52.4   6.7e-15   56.6   1.2   7.5   7   0   0   7   7   7   7 -
g19130.t2            -          PF13927_seed         -            2.2e-88  292.0  52.4     7e-15   56.5   1.2   7.5   7   0   0   7   7   7   7 -
g21260.t1            -          PF13927_seed         -            4.6e-86  284.6   8.4   1.5e-14   55.5   0.1   7.1   7   0   0   7   7   6   6 -
g20843.t1            -          PF13927_seed         -            7.3e-84  277.6  10.1   6.4e-14   53.4   0.0   8.6   8   1   0   8   8   8   6 -
g19450.t1            -          PF13927_seed         -              3e-83  275.6   5.6   1.7e-13   52.1   0.1   6.2   6   0   0   6   6   6   6 -
g29790.t1            -          PF13927_seed         -            4.4e-81  268.7  16.3     1e-15   59.2   0.0   6.2   6   0   0   6   6   6   6 -
g19130.t3            -          PF13927_seed         -            2.8e-76  253.3  43.5   6.4e-15   56.7   1.2   6.6   6   0   0   6   6   6   6 -
g20148.t1            -          PF13927_seed         -            3.1e-74  246.7  40.1   5.9e-13   50.4   0.3  11.4  10   2   1  11  11   9   8 -
g11323.t1            -          PF13927_seed         -            8.3e-73  242.1  20.2   1.8e-15   58.4   0.7   6.4   6   1   0   6   6   6   5 -
g32618.t1            -          PF13927_seed         -            2.6e-72  240.6  10.9   2.9e-14   54.6   0.1   7.7   7   0   0   7   7   6   6 -
g5507.t1             -          PF13927_seed         -            4.3e-72  239.8  45.3   2.2e-11   45.3   0.5  12.8  12   0   0  12  12  12   9 -
g15166.t2            -          PF13927_seed         -            7.2e-71  235.9   0.7   1.6e-17   65.0   0.1   4.6   4   0   0   4   4   4   4 -
g15166.t1            -          PF13927_seed         -            8.6e-71  235.7   0.7   1.7e-17   64.9   0.1   4.6   4   0   0   4   4   4   4 -
