#                                                               --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
anno1.g1290.t1       -          PF13519_full         -                  0 1533.1  71.0   4.9e-13   49.8   0.4  59.0  53   6   4  59  59  59  56 -
anno1.g22030.t1      -          PF13519_full         -           2.1e-193  640.5  86.3   1.1e-12   48.7   0.1  25.2  23   2   2  25  25  25  24 -
anno1.g17858.t1      -          PF13519_full         -           3.9e-173  574.2  45.8   4.9e-15   56.4   0.0  18.4  18   0   0  18  18  18  17 -
anno1.g20795.t1      -          PF13519_full         -           1.1e-170  566.1  67.8   1.3e-15   58.3   0.0  18.4  12   3   6  18  18  18  18 -
anno1.g23251.t1      -          PF13519_full         -           9.6e-157  520.5  60.0   3.9e-11   43.6   0.1  23.3  23   0   0  23  23  23  23 -
anno1.g22029.t2      -          PF13519_full         -           2.4e-141  470.0  33.0   1.3e-14   55.1   0.7  12.3  12   0   0  12  12  12  12 -
anno1.g8221.t1       -          PF13519_full         -            3.6e-96  322.1  40.0   1.7e-14   54.6   0.0  10.1  10   0   0  10  10  10  10 -
anno1.g8220.t1       -          PF13519_full         -            3.1e-83  279.7   0.7   1.1e-16   61.8   0.2   6.2   6   0   0   6   6   6   6 -
anno1.g1154.t1       -          PF13519_full         -            5.2e-83  279.0   4.2     2e-14   54.4   0.0  10.6  11   0   0  11  11  10   9 -
anno1.g22028.t1      -          PF13519_full         -            1.6e-62  211.9  23.9   5.7e-13   49.6   0.2   7.3   7   0   0   7   7   7   7 -
anno1.g17857.t1      -          PF13519_full         -            1.1e-56  192.7   9.2   3.8e-14   53.5   0.2   5.3   5   0   0   5   5   5   4 -
anno1.g6464.t1       -          PF13519_full         -            2.7e-55  188.2   0.4   9.7e-13   48.9   0.0   4.2   4   0   0   4   4   4   4 -
anno1.g1152.t1       -          PF13519_full         -            1.1e-43  150.2   0.6   1.1e-13   51.9   0.2   4.2   4   0   0   4   4   4   4 -
anno1.g16840.t1      -          PF13519_full         -            1.3e-41  143.4   0.0   1.8e-15   57.8   0.0   3.3   3   0   0   3   3   3   3 -
anno1.g16723.t1      -          PF13519_full         -              6e-36  124.9   0.0     1e-12   48.8   0.0   3.1   3   0   0   3   3   3   3 -
anno1.g8159.t1       -          PF13519_full         -            1.3e-28  100.8   2.8   1.9e-10   41.4   0.0   5.5   5   2   1   6   6   3   3 -
anno1.g50.t1         -          PF13519_full         -            1.5e-27   97.4   0.2   5.7e-27   95.5   0.0   2.2   3   0   0   3   3   1   1 -
anno1.g20796.t1      -          PF13519_full         -            1.7e-27   97.2  21.0   7.9e-13   49.2   0.1   5.3   3   2   3   6   6   3   3 -
anno1.g1168.t1       -          PF13519_full         -            5.6e-25   88.9   0.1   3.6e-07   30.6   0.0   3.4   3   0   0   3   3   3   3 -
anno1.g19756.t1      -          PF13519_full         -            1.3e-24   87.8   0.0   2.2e-24   87.0   0.0   1.3   1   0   0   1   1   1   1 -
anno1.g23095.t1      -          PF13519_full         -            1.7e-23   84.1   0.0   5.8e-07   30.0   0.0   4.6   4   0   0   4   4   4   4 -
anno1.g3162.t1       -          PF13519_full         -            8.3e-23   81.8   0.1   8.9e-10   39.2   0.0   3.3   3   0   0   3   3   3   3 -
anno1.g16722.t1      -          PF13519_full         -            4.1e-22   79.6   0.0   3.5e-10   40.5   0.0   3.1   3   0   0   3   3   3   3 -
anno1.g3765.t2       -          PF13519_full         -            5.7e-22   79.1   0.0   1.5e-13   51.5   0.0   2.2   1   1   1   2   2   2   2 -
anno1.g22302.t1      -          PF13519_full         -            6.2e-22   79.0   0.0   1.8e-21   77.5   0.0   1.7   2   0   0   2   2   1   1 -
anno1.g16721.t2      -          PF13519_full         -            1.1e-21   78.1   0.0   6.6e-10   39.6   0.0   2.2   2   0   0   2   2   2   2 -
anno1.g16719.t1      -          PF13519_full         -            1.4e-21   77.8   0.0   5.2e-11   43.2   0.0   2.1   2   0   0   2   2   2   2 -
anno1.g11876.t1      -          PF13519_full         -            1.6e-21   77.6   0.1     5e-21   76.0   0.1   1.8   1   0   0   1   1   1   1 -
anno1.g3389.t2       -          PF13519_full         -            5.8e-21   75.8   0.0   7.6e-10   39.4   0.0   2.1   2   0   0   2   2   2   2 -
anno1.g22860.t1      -          PF13519_full         -              8e-21   75.3   0.2   1.3e-20   74.6   0.2   1.3   1   0   0   1   1   1   1 -
anno1.g7243.t1       -          PF13519_full         -            1.8e-20   74.2   0.2   1.3e-11   45.2   0.1   2.1   2   0   0   2   2   2   2 -
anno1.g1852.t1       -          PF13519_full         -            2.1e-20   74.0   0.0   3.9e-10   40.3   0.0   2.2   2   0   0   2   2   2   2 -
anno1.g17944.t1      -          PF13519_full         -            2.6e-20   73.6   0.0     2e-09   38.0   0.0   2.2   2   0   0   2   2   2   2 -
anno1.g5722.t1       -          PF13519_full         -            2.6e-19   70.4   0.1   1.8e-09   38.1   0.0   2.4   2   0   0   2   2   2   2 -
anno1.g10421.t1      -          PF13519_full         -            7.5e-19   68.9   0.0   5.6e-11   43.1   0.0   2.1   2   0   0   2   2   2   2 -
anno1.g17943.t1      -          PF13519_full         -            3.2e-18   66.8   0.0   7.8e-07   29.5   0.0   3.1   3   0   0   3   3   3   3 -
anno1.g17942.t2      -          PF13519_full         -            8.6e-18   65.4   0.0   1.6e-07   31.8   0.0   2.2   2   0   0   2   2   2   2 -
anno1.g22301.t1      -          PF13519_full         -              4e-17   63.2   0.0   9.7e-17   62.0   0.0   1.6   1   0   0   1   1   1   1 -
anno1.g1006.t1       -          PF13519_full         -            5.1e-17   62.9   4.3   6.3e-17   62.6   4.0   1.3   1   1   0   1   1   1   1 -
anno1.g1291.t1       -          PF13519_full         -            6.4e-17   62.6   0.1   3.1e-06   27.6   0.0   4.3   4   0   0   4   4   4   2 -
anno1.g21750.t1      -          PF13519_full         -              2e-16   60.9   0.1   9.9e-15   55.4   0.0   2.2   2   0   0   2   2   2   1 -
anno1.g7769.t1       -          PF13519_full         -            2.4e-16   60.7   0.0   3.7e-16   60.1   0.0   1.2   1   0   0   1   1   1   1 -
anno1.g22303.t1      -          PF13519_full         -            4.6e-16   59.8   0.0   8.7e-16   58.9   0.0   1.3   1   0   0   1   1   1   1 -
anno1.g10323.t1      -          PF13519_full         -            9.9e-16   58.7   0.0   1.3e-15   58.3   0.0   1.1   1   0   0   1   1   1   1 -
anno1.g10422.t1      -          PF13519_full         -            1.3e-15   58.3   0.1   3.7e-08   33.9   0.0   2.1   2   0   0   2   2   2   2 -
anno1.g15224.t1      -          PF13519_full         -            1.3e-15   58.3   0.0   1.9e-15   57.7   0.0   1.2   1   0   0   1   1   1   1 -
anno1.g15222.t1      -          PF13519_full         -            6.4e-15   56.0   0.0   8.8e-15   55.6   0.0   1.1   1   0   0   1   1   1   1 -
anno1.g17882.t1      -          PF13519_full         -            9.7e-15   55.4   0.0   1.7e-14   54.6   0.0   1.3   1   0   0   1   1   1   1 -
anno1.g22032.t1      -          PF13519_full         -            2.3e-14   54.2   0.1   2.9e-14   53.9   0.1   1.2   1   0   0   1   1   1   1 -
anno1.g22031.t1      -          PF13519_full         -            2.9e-14   53.8   0.2   3.3e-14   53.7   0.2   1.1   1   0   0   1   1   1   1 -
anno1.g15225.t1      -          PF13519_full         -            4.2e-14   53.3   0.0   5.6e-14   52.9   0.0   1.1   1   0   0   1   1   1   1 -
anno1.g6500.t2       -          PF13519_full         -              5e-14   53.1   0.0   1.3e-07   32.1   0.1   2.6   2   0   0   2   2   2   2 -
anno1.g10322.t1      -          PF13519_full         -            1.2e-13   51.9   0.0   1.4e-13   51.6   0.0   1.1   1   0   0   1   1   1   1 -
anno1.g13419.t1      -          PF13519_full         -            1.5e-13   51.5   0.1   1.5e-13   51.5   0.1   2.0   2   0   0   2   2   1   1 -
anno1.g12116.t1      -          PF13519_full         -            1.5e-13   51.5   0.5   2.3e-13   50.9   0.5   1.3   1   0   0   1   1   1   1 -
anno1.g11580.t2      -          PF13519_full         -            4.6e-13   49.9   0.0   9.4e-13   48.9   0.0   1.4   1   0   0   1   1   1   1 -
anno1.g9642.t1       -          PF13519_full         -            6.1e-13   49.5   0.0   1.1e-12   48.7   0.0   1.3   1   0   0   1   1   1   1 -
anno1.g21064.t1      -          PF13519_full         -            8.5e-13   49.1   0.0   1.5e-12   48.3   0.0   1.3   1   0   0   1   1   1   1 -
anno1.g15226.t1      -          PF13519_full         -            9.4e-13   48.9   0.0   1.5e-12   48.2   0.0   1.2   1   0   0   1   1   1   1 -
anno1.g18567.t1      -          PF13519_full         -            3.8e-12   46.9   0.1   5.5e-12   46.4   0.1   1.2   1   0   0   1   1   1   1 -
anno1.g16684.t1      -          PF13519_full         -            4.4e-12   46.7   0.0   6.7e-12   46.1   0.0   1.2   1   0   0   1   1   1   1 -
anno1.g22946.t1      -          PF13519_full         -            5.8e-12   46.3   0.0   8.7e-12   45.7   0.0   1.2   1   0   0   1   1   1   1 -
anno1.g15780.t1      -          PF13519_full         -            7.8e-12   45.9   0.0   1.6e-11   44.9   0.0   1.4   1   0   0   1   1   1   1 -
anno1.g8161.t1       -          PF13519_full         -              1e-11   45.5   0.0   2.7e-11   44.1   0.0   1.6   1   0   0   1   1   1   1 -
anno1.g23090.t1      -          PF13519_full         -            1.1e-11   45.5   0.7   4.4e-11   43.5   0.0   2.4   2   0   0   2   2   1   1 -
anno1.g898.t1        -          PF13519_full         -            1.2e-11   45.2   0.0   1.7e-11   44.8   0.0   1.1   1   0   0   1   1   1   1 -
anno1.g13677.t1      -          PF13519_full         -            1.6e-11   44.9   0.0   2.8e-11   44.1   0.0   1.4   1   0   0   1   1   1   1 -
anno1.g17985.t1      -          PF13519_full         -            1.9e-11   44.6   0.0   2.5e-11   44.3   0.0   1.1   1   0   0   1   1   1   1 -
anno1.g20011.t1      -          PF13519_full         -            2.3e-11   44.3   0.1   4.1e-11   43.6   0.1   1.3   1   0   0   1   1   1   1 -
anno1.g20954.t1      -          PF13519_full         -            2.4e-11   44.3   0.0   3.7e-11   43.7   0.0   1.2   1   0   0   1   1   1   1 -
anno1.g18785.t1      -          PF13519_full         -              3e-11   44.0   0.3   1.7e-05   25.1   0.1   3.2   2   0   0   2   2   2   2 -
anno1.g23033.t1      -          PF13519_full         -            3.8e-11   43.7   0.1   5.2e-11   43.2   0.1   1.2   1   0   0   1   1   1   1 -
anno1.g18297.t1      -          PF13519_full         -            4.1e-11   43.6   0.0   6.8e-11   42.8   0.0   1.3   1   0   0   1   1   1   1 -
anno1.g16685.t1      -          PF13519_full         -            5.2e-11   43.2   0.0   6.7e-11   42.8   0.0   1.1   1   0   0   1   1   1   1 -
anno1.g20141.t1      -          PF13519_full         -            5.4e-11   43.1   0.0   6.9e-11   42.8   0.0   1.1   1   0   0   1   1   1   1 -
anno1.g22259.t2      -          PF13519_full         -            5.5e-11   43.1   0.0     1e-10   42.2   0.0   1.4   1   0   0   1   1   1   1 -
anno1.g17941.t2      -          PF13519_full         -            8.4e-11   42.5   0.0   3.2e-07   30.8   0.0   2.2   2   0   0   2   2   2   2 -
anno1.g18869.t1      -          PF13519_full         -            8.7e-11   42.5   0.0   3.7e-10   40.4   0.0   2.1   1   0   0   1   1   1   1 -
anno1.g22673.t1      -          PF13519_full         -              1e-10   42.3   0.0   1.5e-10   41.7   0.0   1.2   1   0   0   1   1   1   1 -
anno1.g23210.t1      -          PF13519_full         -            1.4e-10   41.8   0.0   3.5e-07   30.7   0.0   2.2   2   0   0   2   2   2   2 -
anno1.g22307.t1      -          PF13519_full         -            1.4e-10   41.8   0.0   2.7e-10   40.9   0.0   1.4   1   0   0   1   1   1   1 -
anno1.g11777.t1      -          PF13519_full         -            1.7e-10   41.5   0.0   3.4e-10   40.5   0.0   1.4   1   0   0   1   1   1   1 -
anno1.g16720.t1      -          PF13519_full         -              2e-10   41.3   0.0   3.3e-10   40.6   0.0   1.2   1   0   0   1   1   1   1 -
anno1.g13751.t1      -          PF13519_full         -            2.5e-10   41.0   0.1   4.1e-10   40.3   0.1   1.2   1   0   0   1   1   1   1 -
anno1.g20143.t1      -          PF13519_full         -            2.6e-10   40.9   0.0   3.9e-10   40.3   0.0   1.2   1   0   0   1   1   1   1 -
anno1.g11350.t1      -          PF13519_full         -            3.1e-10   40.7   0.0   4.1e-10   40.3   0.0   1.1   1   0   0   1   1   1   1 -
