#                                                               --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
g12384.t1            -          PF13516_full         -            2.7e-93  308.0 110.4   1.3e-06   30.5   0.1  16.1   1   1  15  16  16  16  16 -
g33037.t1            -          PF13516_full         -            5.8e-86  284.5  72.8   1.3e-06   30.4   0.2  15.0   1   1  14  15  15  15  14 -
g33039.t1            -          PF13516_full         -            3.7e-85  281.9  77.0   1.9e-06   29.9   0.2  16.1   2   1  14  16  16  16  14 -
g47445.t1            -          PF13516_full         -            3.4e-63  211.6  69.4   7.4e-06   28.0   0.1  13.2   1   1  12  13  13  13  11 -
g1492.t1             -          PF13516_full         -            3.1e-62  208.5  91.2   1.4e-06   30.4   1.5  13.0   1   1  12  13  13  13  11 -
g39010.t1            -          PF13516_full         -            5.1e-60  201.4  51.0   2.2e-06   29.7   1.0  11.2   1   1  10  11  11  11  10 -
g39011.t1            -          PF13516_full         -            1.7e-58  196.6  51.4   3.1e-06   29.2   1.1  11.2   1   1  10  11  11  11  10 -
g39145.t1            -          PF13516_full         -              3e-52  176.6  45.4   1.9e-07   33.1   1.0   9.6   1   1   9  10  10   9   9 -
g17767.t1            -          PF13516_full         -            1.7e-48  164.5  30.4   0.00015   23.8   0.2  12.4   2   2  11  13  13  12  10 -
g975.t1              -          PF13516_full         -            3.7e-47  160.2  51.0   4.1e-05   25.6   1.2  13.9   2   2  12  14  14  14   9 -
g20191.t1            -          PF13516_full         -            4.6e-47  159.9  57.1   0.00021   23.4   0.2  14.1   2   2  12  14  14  14  12 -
g74477.t1            -          PF13516_full         -            1.8e-45  154.8  49.9   1.8e-08   36.3   0.5   8.1   1   1   7   8   8   8   8 -
g65853.t1            -          PF13516_full         -            6.7e-45  153.0  59.2   0.00018   23.5   0.2  10.6   1   1  10  11  11  10  10 -
g50464.t1            -          PF13516_full         -            1.1e-43  149.1  85.4     8e-06   27.9   0.0  16.6   9   4   8  17  17  16   8 -
g60422.t1            -          PF13516_full         -            1.1e-41  142.7  72.8   2.4e-06   29.6   3.6  14.5   5   3   9  14  14  14  10 -
g24931.t1            -          PF13516_full         -            6.8e-41  140.2  38.5   0.00025   23.1   0.2  11.8   1   1  11  12  12  11   8 -
g74372.t1            -          PF13516_full         -            7.5e-41  140.1  73.0   2.7e-06   29.4   3.6  14.6   5   3   9  14  14  14  10 -
g77855.t2            -          PF13516_full         -              1e-40  139.6  46.4     1e-05   27.6   1.1  12.3   5   3   7  12  12  11   9 -
g41239.t1            -          PF13516_full         -              5e-40  137.4  36.8   5.6e-05   25.2   0.1   9.0   1   1   8   9   9   9   8 -
g77855.t1            -          PF13516_full         -            2.8e-39  135.0  47.0   1.3e-05   27.2   1.1  12.2   5   3   7  12  12  11   9 -
g50454.t1            -          PF13516_full         -            2.1e-37  129.0  64.9   5.8e-07   31.6   0.2  11.1   5   2   6  11  11  10   8 -
g15695.t1            -          PF13516_full         -            3.2e-37  128.4  90.3   0.00015   23.8   1.2  13.3   1   1  12  13  13  13   8 -
g59602.t2            -          PF13516_full         -            2.5e-36  125.6  18.2   4.4e-05   25.5   0.8   9.2   2   2   7   9   9   9   6 -
g23109.t1            -          PF13516_full         -              4e-36  124.9  48.3   2.8e-06   29.4   0.5   8.2   1   1   7   8   8   7   7 -
g23223.t1            -          PF13516_full         -            6.3e-36  124.3  72.9   6.8e-08   34.5   2.0   8.5   2   1   7   9   9   7   7 -
g34861.t1            -          PF13516_full         -            7.3e-36  124.1  39.1     5e-06   28.6   0.3   9.1   2   2   7   9   9   9   7 -
g59601.t1            -          PF13516_full         -            7.6e-36  124.0  18.6   4.8e-05   25.4   0.8   9.2   2   2   7   9   9   9   6 -
g59602.t1            -          PF13516_full         -            7.6e-36  124.0  18.6   4.8e-05   25.4   0.8   9.2   2   2   7   9   9   9   6 -
g22311.t1            -          PF13516_full         -            1.4e-35  123.2  53.0   3.3e-05   25.9   0.7   8.9   2   1   7   9   9   8   6 -
g18657.t1            -          PF13516_full         -            8.6e-35  120.7  34.0   1.2e-05   27.3   0.0   9.0   2   1   7   9   9   9   7 -
g15224.t1            -          PF13516_full         -            1.3e-34  120.0  53.7   0.00018   23.6   0.8  13.1   3   2  10  13  13  12   7 -
g71847.t1            -          PF13516_full         -            4.9e-34  118.2  27.8   3.1e-07   32.4   0.2   8.6   2   1   7   9   9   8   5 -
g71848.t1            -          PF13516_full         -            4.9e-34  118.2  27.8   3.1e-07   32.4   0.2   8.6   2   1   7   9   9   8   5 -
g34089.t1            -          PF13516_full         -            5.6e-34  118.0  29.7   5.7e-07   31.6   0.4   7.0   1   1   6   7   7   7   6 -
g17581.t1            -          PF13516_full         -            2.5e-33  116.0  30.8     1e-05   27.6   1.4   7.1   1   1   6   7   7   7   6 -
g17582.t1            -          PF13516_full         -            2.5e-33  116.0  30.8     1e-05   27.6   1.4   7.1   1   1   6   7   7   7   6 -
g41729.t1            -          PF13516_full         -              6e-33  114.8  15.6   6.2e-07   31.4   0.0   9.2   2   1   7   9   9   9   6 -
g3364.t1             -          PF13516_full         -            1.8e-32  113.2  48.8   3.9e-06   28.9   1.4   8.1   2   1   7   9   9   7   6 -
g12764.t1            -          PF13516_full         -            2.4e-32  112.8  44.0   5.8e-07   31.5   0.2   8.1   3   1   6   9   9   7   6 -
g10705.t1            -          PF13516_full         -            4.1e-32  112.1  28.4   2.1e-06   29.8   0.2   7.0   2   1   5   7   7   6   5 -
g50653.t1            -          PF13516_full         -            9.6e-32  110.9  12.7    0.0008   21.5   0.0   8.9   1   1   8   9   9   8   6 -
g72050.t1            -          PF13516_full         -              2e-31  109.9  51.6     6e-05   25.1   0.5  11.1   6   2   7  13  13   9   9 -
g1627.t1             -          PF13516_full         -            2.8e-31  109.4  48.8   0.00015   23.8   0.1  12.9   4   3   9  13  13  11   6 -
g2616.t1             -          PF13516_full         -              4e-31  108.9  23.1   7.3e-06   28.0   1.3   7.6   2   2   5   7   7   7   5 -
g2616.t2             -          PF13516_full         -            6.7e-31  108.2  23.1   7.9e-06   27.9   1.3   7.6   2   2   5   7   7   7   5 -
g50756.t1            -          PF13516_full         -            2.1e-30  106.6  37.8   0.00012   24.1   0.2   8.1   1   1   7   8   8   8   7 -
g50756.t2            -          PF13516_full         -            6.8e-30  105.0  38.1   0.00014   23.9   0.2   8.2   1   1   7   8   8   8   7 -
g48264.t1            -          PF13516_full         -            3.4e-29  102.7  65.2   0.00011   24.3   1.7  10.5   1   1   9  10  10  10   6 -
g50762.t1            -          PF13516_full         -            4.5e-29  102.3  38.1   0.00019   23.5   0.2   8.2   1   1   7   8   8   8   7 -
g4083.t1             -          PF13516_full         -            3.2e-28   99.6  46.7   0.00082   21.5   0.8  10.2   4   2   6  10  10   9   7 -
g59954.t1            -          PF13516_full         -            4.5e-28   99.1  32.5   0.00034   22.7   0.5   9.1   1   1   8   9   9   9   5 -
g50761.t1            -          PF13516_full         -            4.5e-28   99.1  11.9   0.00045   22.3   0.0   9.0   2   2   7   9   9   8   5 -
g59953.t1            -          PF13516_full         -            5.1e-28   99.0  30.7   0.00032   22.8   0.5   9.2   1   1   8   9   9   9   5 -
g49481.t1            -          PF13516_full         -            5.6e-26   92.4  23.5   0.00015   23.8   0.2   8.3   1   1   6   8   8   8   6 -
g49484.t1            -          PF13516_full         -            5.6e-26   92.4  23.5   0.00015   23.8   0.2   8.3   1   1   6   8   8   8   6 -
g48018.t1            -          PF13516_full         -            5.9e-26   92.4  17.5   6.3e-05   25.0   0.2   8.3   2   2   6   8   8   8   4 -
g26559.t1            -          PF13516_full         -              2e-25   90.6  33.0   1.5e-05   27.0   0.1   9.4   3   2   7  10  10   8   4 -
g29718.t2            -          PF13516_full         -            6.3e-25   89.1  47.2    0.0002   23.4   0.2  10.1   4   2   4   9   9   9   6 -
g29718.t1            -          PF13516_full         -            8.2e-25   88.7  47.2   0.00021   23.4   0.2  10.1   4   2   4   9   9   9   6 -
g76589.t1            -          PF13516_full         -            9.3e-25   88.5  28.3   0.00052   22.1   0.1   8.9   4   2   5   9   9   7   5 -
g3365.t1             -          PF13516_full         -            1.2e-24   88.2  47.0   9.8e-06   27.6   1.8   6.7   2   1   5   7   7   6   4 -
g13571.t1            -          PF13516_full         -            1.4e-24   88.0  24.7   2.9e-06   29.3   1.8   5.5   1   1   4   5   5   5   4 -
g38244.t1            -          PF13516_full         -            1.7e-24   87.7  11.7   1.8e-05   26.8   0.0   6.6   3   1   4   7   7   6   4 -
g72051.t1            -          PF13516_full         -            1.6e-23   84.6  22.3     1e-05   27.5   0.2   6.1   2   2   4   6   6   6   5 -
g70991.t1            -          PF13516_full         -            3.6e-23   83.4  12.6   6.5e-05   25.0   0.2   8.1   2   2   6   8   8   7   3 -
