#                                                               --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
g14663.t1            -          PF13516_full         -           9.8e-137  446.1 169.8   6.8e-06   27.2   2.4  33.5   8   5  25  33  33  33  28 -
g20549.t1            -          PF13516_full         -            9.9e-84  276.4  92.5   2.5e-07   31.8   0.1  14.1   1   1  13  14  14  14  14 -
g39796.t1            -          PF13516_full         -            1.5e-71  237.4  46.4   5.6e-06   27.5   0.4  13.1   1   1  12  13  13  13  12 -
g10366.t1            -          PF13516_full         -            3.8e-68  226.5  88.3   5.8e-07   30.6   1.0  13.2   1   1  12  13  13  12  12 -
g13765.t1            -          PF13516_full         -            1.8e-66  221.2  70.0   3.1e-06   28.3   1.8  14.0   2   1  12  14  14  14  12 -
g25068.t2            -          PF13516_full         -            6.8e-62  206.5  71.8   5.5e-07   30.7   0.3  14.7   4   2  12  16  16  13  11 -
g25068.t1            -          PF13516_full         -              7e-59  196.8  69.5   1.1e-06   29.8   0.3  14.6   3   2  12  15  15  13  11 -
g25064.t1            -          PF13516_full         -            5.4e-52  174.8  43.5     3e-06   28.3   0.0  11.7   4   3   8  12  12  11   9 -
g13766.t1            -          PF13516_full         -            2.4e-50  169.5  44.0   1.2e-07   32.8   0.1   8.4   1   1   7   8   8   8   7 -
g38811.t1            -          PF13516_full         -            2.4e-50  169.5  44.0   1.2e-07   32.8   0.1   8.4   1   1   7   8   8   8   7 -
g31227.t1            -          PF13516_full         -            4.4e-50  168.7  31.7    0.0001   23.5   0.2  11.4   2   2   9  11  11  11   9 -
g29920.t1            -          PF13516_full         -            1.1e-49  167.4  56.9    0.0022   19.2   0.1  15.5   1   1  14  15  15  15  13 -
g25061.t1            -          PF13516_full         -            7.7e-49  164.7  65.4   3.8e-07   31.2   0.5  13.7   5   3   9  14  14  13   9 -
g38876.t1            -          PF13516_full         -            3.9e-48  162.4  62.8   1.2e-06   29.6   0.9  10.3   1   1   9  10  10  10   9 -
g29194.t1            -          PF13516_full         -              1e-47  161.1  77.1   1.3e-07   32.7   0.1  16.8   7   5  11  18  18  16   8 -
g29195.t1            -          PF13516_full         -              1e-47  161.1  77.1   1.3e-07   32.7   0.1  16.8   7   5  11  18  18  16   8 -
g31215.t1            -          PF13516_full         -            6.4e-47  158.6  50.2   6.8e-07   30.4   0.6   9.9   1   1   9  10  10   9   9 -
g42995.t1            -          PF13516_full         -            4.9e-46  155.7  45.6   6.9e-06   27.2   0.5  11.5   1   1  11  12  12  11   9 -
g39113.t1            -          PF13516_full         -            1.3e-45  154.4  37.3   1.9e-05   25.8   0.6  10.2   1   1   9  10  10  10   7 -
g13764.t1            -          PF13516_full         -            9.1e-43  145.3  49.2     1e-07   33.0   0.0   8.6   1   1   7   8   8   8   8 -
g38877.t1            -          PF13516_full         -            1.1e-39  135.4  72.2   6.2e-07   30.5   1.2  10.3   2   2   8  10  10   9   8 -
g39824.t1            -          PF13516_full         -            1.1e-38  132.2  51.4   1.8e-07   32.3   0.6   9.1   1   1   8   9   9   9   8 -
g35874.t1            -          PF13516_full         -            1.1e-38  132.2  29.7   3.5e-06   28.1   0.1   8.5   1   1   7   8   8   8   7 -
g11364.t1            -          PF13516_full         -            1.8e-38  131.5  66.5   6.1e-06   27.4   3.0  10.2   3   3   7  10  10  10   8 -
