#                                                               --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
anno1.g8380.t1       -          PF14580_full         -           1.4e-135  451.2  96.0   7.8e-35  120.9   1.6   9.1   2   2   5   7   7   6   6 -
anno1.g20178.t1      -          PF14580_full         -            3.8e-76  256.3  41.5     2e-35  122.8   5.2   4.0   1   1   3   4   4   4   4 -
anno1.g7166.t1       -          PF14580_full         -            6.1e-71  239.3  46.5   1.1e-38  133.4  11.1   4.1   2   1   2   4   4   4   4 -
anno1.g10944.t1      -          PF14580_full         -              2e-61  208.1 103.3     1e-13   51.6  20.8   7.5   2   2   5   7   7   7   7 -
anno1.g1263.t1       -          PF14580_full         -            4.2e-57  193.9  35.1   3.5e-22   79.4   1.1   4.1   1   1   3   4   4   4   4 -
anno1.g14952.t1      -          PF14580_full         -            1.1e-54  185.9  24.0   1.6e-41  142.8  11.2   3.2   1   1   2   3   3   3   3 -
anno1.g20611.t1      -          PF14580_full         -            6.4e-54  183.5  85.7   7.6e-10   38.9   3.4  11.9   3   3   7  10  10  10   9 -
anno1.g3670.t2       -          PF14580_full         -            1.6e-52  178.8  20.5   5.8e-42  144.2   7.0   3.0   2   1   1   3   3   2   2 -
anno1.g1330.t1       -          PF14580_full         -            4.2e-52  177.5  91.4   8.4e-13   48.6   8.6  10.1   5   3   4  10  10  10   7 -
anno1.g8106.t2       -          PF14580_full         -            7.3e-51  173.4 146.9   5.7e-13   49.2   1.8   6.5   1   1   5   7   7   7   7 -
anno1.g22331.t1      -          PF14580_full         -            1.1e-49  169.6  36.8   6.6e-32  111.3  15.2   3.7   2   1   2   4   4   3   3 -
anno1.g16483.t1      -          PF14580_full         -            3.6e-49  167.9  25.6   2.5e-46  158.5  11.5   2.4   2   1   1   3   3   2   2 -
anno1.g19229.t1      -          PF14580_full         -            7.4e-49  166.8  16.3   7.4e-49  166.8  16.3   1.5   2   0   0   2   2   1   1 -
anno1.g18581.t1      -          PF14580_full         -            1.3e-48  166.0  58.0   1.2e-15   58.0   5.9   5.3   1   1   5   6   6   6   6 -
anno1.g3259.t1       -          PF14580_full         -            2.9e-48  164.9  50.1   1.7e-29  103.4  19.3   4.1   2   1   2   4   4   3   3 -
anno1.g5224.t1       -          PF14580_full         -            1.7e-46  159.1  58.3   2.4e-13   50.4   1.2   6.3   2   2   4   6   6   6   6 -
anno1.g8815.t1       -          PF14580_full         -              2e-44  152.3  19.9   5.1e-22   78.8   1.8   3.2   2   1   1   3   3   3   3 -
