#                                                               --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
anno1.g16948.t1      -          PF13519_full         -                  0 1621.6  93.0     5e-11   44.3   0.1  61.0  60   2   2  62  62  59  57 -
anno1.g7824.t1       -          PF13519_full         -           1.4e-280  927.1 139.3   4.6e-15   57.5   0.3  33.2  32   1   1  33  33  33  33 -
anno1.g34535.t3      -          PF13519_full         -           2.1e-276  913.3  92.2   6.4e-16   60.3   0.0  25.6  25   0   0  25  25  25  25 -
anno1.g39544.t2      -          PF13519_full         -           3.4e-185  614.7  43.1   5.9e-13   50.6   0.1  17.1  17   0   0  17  17  17  17 -
anno1.g7821.t2       -          PF13519_full         -           2.7e-130  434.9  38.0   8.3e-14   53.4   0.1  11.1   9   2   2  11  11  11  11 -
anno1.g36396.t1      -          PF13519_full         -           4.3e-103  345.8  43.9   2.3e-14   55.2   0.7  10.1  10   0   0  10  10  10  10 -
anno1.g5362.t1       -          PF13519_full         -            2.9e-81  274.3  34.6   1.2e-15   59.4   0.1  11.3  11   0   0  11  11  11   9 -
anno1.g36392.t1      -          PF13519_full         -            1.3e-79  268.9   6.9   1.9e-16   62.0   0.0   6.2   6   0   0   6   6   6   6 -
anno1.g39543.t1      -          PF13519_full         -            3.4e-69  234.8  25.8   4.2e-09   38.0   0.1  11.2  11   0   0  11  11  11  10 -
anno1.g14437.t1      -          PF13519_full         -            1.8e-63  216.1  14.9   7.9e-16   60.0   0.0   6.9   4   2   2   7   7   5   5 -
anno1.g7825.t1       -          PF13519_full         -              1e-57  197.2  19.7   2.3e-12   48.7   0.5   6.1   6   0   0   6   6   6   6 -
anno1.g7823.t1       -          PF13519_full         -              2e-55  189.7  14.3   1.5e-13   52.6   0.0   5.3   5   0   0   5   5   5   4 -
anno1.g7820.t1       -          PF13519_full         -            4.7e-53  181.9  16.9   3.5e-14   54.6   0.0   6.2   6   0   0   6   6   6   6 -
anno1.g10075.t1      -          PF13519_full         -            1.6e-50  173.7   0.2   2.5e-09   38.7   0.0   5.2   5   0   0   5   5   5   5 -
anno1.g5364.t1       -          PF13519_full         -            9.4e-49  167.8   2.7   1.2e-14   56.2   0.0   4.5   5   0   0   5   5   4   4 -
anno1.g29982.t1      -          PF13519_full         -            1.1e-47  164.3   0.0   1.5e-14   55.9   0.1   3.2   3   0   0   3   3   3   3 -
anno1.g13427.t4      -          PF13519_full         -              4e-47  162.5   0.2   4.5e-12   47.7   0.2   4.2   4   0   0   4   4   4   4 -
anno1.g39461.t1      -          PF13519_full         -            4.8e-36  126.2   2.1   1.2e-13   52.9   0.1   3.2   3   0   0   3   3   3   3 -
anno1.g25970.t1      -          PF13519_full         -            1.8e-35  124.3   0.3     3e-09   38.5   0.0   4.1   4   0   0   4   4   4   4 -
anno1.g39542.t1      -          PF13519_full         -            3.1e-33  117.0  16.1   2.3e-05   25.7   0.1   6.3   6   0   0   6   6   6   6 -
anno1.g5363.t1       -          PF13519_full         -            9.6e-33  115.4   2.9   1.5e-07   32.9   0.0   6.6   7   0   0   7   7   6   4 -
anno1.g39541.t1      -          PF13519_full         -            7.1e-32  112.6  15.8   9.3e-06   27.0   0.0   5.2   4   1   0   5   5   5   5 -
anno1.g39545.t1      -          PF13519_full         -            5.6e-30  106.4   1.6     3e-09   38.5   0.0   3.2   3   0   0   3   3   3   3 -
anno1.g23242.t1      -          PF13519_full         -            1.4e-27   98.5   0.0   8.7e-16   59.9   0.0   2.2   2   0   0   2   2   2   2 -
anno1.g46575.t1      -          PF13519_full         -            3.2e-27   97.3   0.0   9.5e-27   95.8   0.0   1.8   1   0   0   1   1   1   1 -
anno1.g11618.t2      -          PF13519_full         -            4.9e-25   90.2  37.9     6e-09   37.5   3.5   5.6   4   1   2   6   6   4   4 -
anno1.g11383.t1      -          PF13519_full         -            7.3e-25   89.6   0.0   1.6e-24   88.5   0.0   1.5   1   0   0   1   1   1   1 -
anno1.g36121.t1      -          PF13519_full         -            1.5e-24   88.6   0.0   3.2e-24   87.5   0.0   1.4   1   0   0   1   1   1   1 -
anno1.g5680.t1       -          PF13519_full         -              1e-23   85.8   0.9   8.6e-08   33.7   0.0   3.5   3   0   0   3   3   3   3 -
anno1.g25604.t1      -          PF13519_full         -            1.7e-23   85.1   0.0   2.9e-23   84.4   0.0   1.3   1   0   0   1   1   1   1 -
anno1.g36123.t1      -          PF13519_full         -            2.8e-23   84.4   0.0   4.5e-23   83.7   0.0   1.2   1   0   0   1   1   1   1 -
anno1.g22098.t1      -          PF13519_full         -              9e-23   82.8   0.1     7e-06   27.4   0.0   3.4   3   0   0   3   3   3   3 -
anno1.g20843.t1      -          PF13519_full         -              1e-22   82.6  15.0   1.7e-06   29.5   0.1   5.1   5   0   0   5   5   4   4 -
anno1.g15087.t1      -          PF13519_full         -            1.4e-22   82.1   0.0   1.6e-12   49.2   0.0   2.1   1   1   0   2   2   2   2 -
anno1.g9049.t1       -          PF13519_full         -            5.1e-22   80.3   0.0   1.9e-11   45.7   0.0   2.1   2   0   0   2   2   2   2 -
anno1.g32576.t1      -          PF13519_full         -            7.2e-22   79.8   0.0   1.7e-05   26.2   0.0   3.6   3   0   0   3   3   3   3 -
anno1.g19458.t2      -          PF13519_full         -            1.1e-21   79.3   0.1   5.1e-21   77.0   0.0   2.1   2   0   0   2   2   1   1 -
anno1.g13106.t1      -          PF13519_full         -            7.5e-21   76.5   3.3   6.3e-09   37.4   0.0   3.1   3   0   0   3   3   3   3 -
anno1.g5684.t1       -          PF13519_full         -            1.2e-20   75.8   0.0   8.8e-10   40.2   0.0   2.8   2   0   0   2   2   2   2 -
anno1.g4999.t1       -          PF13519_full         -              2e-20   75.1   0.0   1.2e-09   39.7   0.0   2.1   2   0   0   2   2   2   2 -
anno1.g9545.t1       -          PF13519_full         -            2.8e-20   74.6   0.1   4.5e-20   73.9   0.1   1.2   1   0   0   1   1   1   1 -
anno1.g22099.t1      -          PF13519_full         -            5.1e-20   73.7   4.2     3e-09   38.5   0.0   3.4   3   0   0   3   3   3   3 -
anno1.g9549.t1       -          PF13519_full         -            7.3e-20   73.2   0.0   1.2e-19   72.5   0.0   1.2   1   0   0   1   1   1   1 -
anno1.g9543.t1       -          PF13519_full         -            1.6e-19   72.1   0.0     3e-19   71.2   0.0   1.3   1   0   0   1   1   1   1 -
anno1.g2275.t1       -          PF13519_full         -            5.7e-19   70.3   0.1   1.1e-09   39.8   0.0   2.4   2   0   0   2   2   2   2 -
anno1.g46866.t1      -          PF13519_full         -            8.5e-19   69.7   0.0   1.5e-18   68.9   0.0   1.3   1   0   0   1   1   1   1 -
anno1.g30976.t1      -          PF13519_full         -            9.4e-19   69.6   0.0   2.3e-10   42.1   0.0   2.2   2   0   0   2   2   2   2 -
anno1.g9542.t1       -          PF13519_full         -            2.4e-18   68.2   0.0   4.9e-18   67.2   0.0   1.4   1   0   0   1   1   1   1 -
anno1.g5017.t1       -          PF13519_full         -            2.8e-18   68.0   0.0   8.1e-10   40.3   0.0   2.2   2   0   0   2   2   2   2 -
anno1.g39454.t1      -          PF13519_full         -              9e-18   66.4   3.9   3.3e-10   41.6   0.3   2.2   2   0   0   2   2   2   2 -
anno1.g26344.t1      -          PF13519_full         -              6e-17   63.7   0.1   1.2e-16   62.7   0.1   1.4   1   0   0   1   1   1   1 -
anno1.g9048.t1       -          PF13519_full         -            8.3e-17   63.2   0.0   9.9e-17   63.0   0.0   1.1   1   0   0   1   1   1   1 -
anno1.g5009.t1       -          PF13519_full         -            8.3e-17   63.2   0.0   2.4e-08   35.5   0.0   2.2   2   0   0   2   2   2   2 -
anno1.g9190.t1       -          PF13519_full         -            4.4e-16   60.9   0.0   6.8e-16   60.2   0.0   1.2   1   0   0   1   1   1   1 -
anno1.g35086.t1      -          PF13519_full         -            5.2e-16   60.6   0.1   7.5e-16   60.1   0.1   1.2   1   0   0   1   1   1   1 -
anno1.g26348.t1      -          PF13519_full         -            5.4e-16   60.6   0.0   9.3e-16   59.8   0.0   1.3   1   0   0   1   1   1   1 -
anno1.g30915.t1      -          PF13519_full         -              1e-15   59.6   1.7   1.3e-06   29.9   0.3   3.1   3   0   0   3   3   2   2 -
anno1.g22806.t1      -          PF13519_full         -            1.2e-15   59.4   0.0   1.5e-08   36.2   0.1   2.8   2   0   0   2   2   2   2 -
anno1.g14369.t1      -          PF13519_full         -            1.4e-15   59.2   0.4   9.7e-15   56.5   0.1   2.3   3   0   0   3   3   1   1 -
anno1.g17768.t1      -          PF13519_full         -            4.2e-15   57.6   0.0     9e-15   56.6   0.0   1.5   1   0   0   1   1   1   1 -
anno1.g33589.t1      -          PF13519_full         -            4.9e-15   57.4   0.0   8.8e-15   56.6   0.0   1.3   1   0   0   1   1   1   1 -
anno1.g36798.t1      -          PF13519_full         -            7.2e-15   56.9   0.0   1.6e-14   55.8   0.0   1.5   1   0   0   1   1   1   1 -
anno1.g42291.t1      -          PF13519_full         -            1.1e-14   56.2   0.0   1.5e-14   55.8   0.0   1.1   1   0   0   1   1   1   1 -
anno1.g11624.t1      -          PF13519_full         -            2.2e-14   55.3   0.1   4.4e-05   24.8   0.0   3.3   3   0   0   3   3   3   3 -
anno1.g42289.t1      -          PF13519_full         -            4.6e-14   54.2   0.0   5.9e-14   53.9   0.0   1.1   1   0   0   1   1   1   1 -
anno1.g43469.t1      -          PF13519_full         -            4.6e-14   54.2   0.1   5.1e-12   47.5   0.1   2.1   2   0   0   2   2   2   1 -
anno1.g18066.t1      -          PF13519_full         -              1e-13   53.1   0.0   2.2e-13   52.0   0.0   1.5   1   1   0   1   1   1   1 -
anno1.g34052.t1      -          PF13519_full         -            1.2e-13   52.9   0.0   1.7e-13   52.4   0.0   1.2   1   0   0   1   1   1   1 -
anno1.g38404.t1      -          PF13519_full         -            2.3e-13   51.9   0.1   4.2e-13   51.1   0.1   1.4   1   0   0   1   1   1   1 -
anno1.g46213.t1      -          PF13519_full         -            4.2e-13   51.1   0.0   7.5e-13   50.3   0.0   1.3   1   0   0   1   1   1   1 -
anno1.g9822.t1       -          PF13519_full         -            4.3e-13   51.1   0.0   6.6e-13   50.4   0.0   1.2   1   0   0   1   1   1   1 -
anno1.g23714.t1      -          PF13519_full         -            5.8e-13   50.6   0.1   9.7e-13   49.9   0.1   1.2   1   0   0   1   1   1   1 -
anno1.g9821.t1       -          PF13519_full         -            8.8e-13   50.0   0.2   1.1e-12   49.8   0.2   1.2   1   0   0   1   1   1   1 -
anno1.g29318.t1      -          PF13519_full         -            1.8e-12   49.1   0.2   2.6e-05   25.6   0.0   2.1   2   0   0   2   2   2   2 -
anno1.g15296.t1      -          PF13519_full         -            1.8e-12   49.0   0.0   3.2e-12   48.2   0.0   1.4   1   0   0   1   1   1   1 -
anno1.g5026.t1       -          PF13519_full         -            3.7e-12   48.0   0.0   7.5e-12   47.0   0.0   1.4   1   0   0   1   1   1   1 -
anno1.g10402.t1      -          PF13519_full         -            4.3e-12   47.8   0.0     8e-12   46.9   0.0   1.4   1   0   0   1   1   1   1 -
anno1.g5689.t1       -          PF13519_full         -            9.3e-12   46.7   0.0   2.4e-11   45.3   0.0   1.6   1   0   0   1   1   1   1 -
anno1.g42290.t1      -          PF13519_full         -            1.3e-11   46.2   0.0   1.9e-11   45.7   0.0   1.1   1   0   0   1   1   1   1 -
anno1.g5698.t1       -          PF13519_full         -            1.6e-11   46.0   0.2   1.6e-11   46.0   0.2   2.0   2   0   0   2   2   1   1 -
anno1.g43464.t1      -          PF13519_full         -            1.7e-11   45.9   0.0   2.4e-11   45.4   0.0   1.1   1   0   0   1   1   1   1 -
anno1.g29321.t1      -          PF13519_full         -              2e-11   45.6   2.2   2.9e-05   25.4   0.2   2.2   2   0   0   2   2   2   2 -
anno1.g38434.t1      -          PF13519_full         -            2.3e-11   45.4   0.0   3.1e-11   45.0   0.0   1.1   1   0   0   1   1   1   1 -
anno1.g27957.t1      -          PF13519_full         -            2.4e-11   45.3   0.0   3.4e-11   44.9   0.0   1.2   1   0   0   1   1   1   1 -
anno1.g36015.t1      -          PF13519_full         -            2.5e-11   45.3   0.0   4.1e-11   44.6   0.0   1.2   1   0   0   1   1   1   1 -
anno1.g20525.t1      -          PF13519_full         -            3.8e-11   44.7   0.0   3.8e-11   44.7   0.0   2.2   2   1   0   2   2   1   1 -
anno1.g24688.t1      -          PF13519_full         -            5.9e-11   44.1   0.3   8.9e-11   43.5   0.3   1.2   1   0   0   1   1   1   1 -
anno1.g19269.t1      -          PF13519_full         -            7.6e-11   43.7   0.0   1.1e-10   43.1   0.0   1.2   1   0   0   1   1   1   1 -
anno1.g38821.t1      -          PF13519_full         -            8.4e-11   43.6   0.0   1.1e-10   43.2   0.0   1.1   1   0   0   1   1   1   1 -
anno1.g8642.t1       -          PF13519_full         -            1.1e-10   43.2   0.0   2.5e-10   42.0   0.0   1.5   1   0   0   1   1   1   1 -
anno1.g40565.t1      -          PF13519_full         -            1.2e-10   43.1   0.2   1.9e-10   42.4   0.2   1.2   1   0   0   1   1   1   1 -
anno1.g43175.t1      -          PF13519_full         -            1.5e-10   42.8   1.6   1.9e-10   42.4   1.6   1.1   1   0   0   1   1   1   1 -
anno1.g26669.t1      -          PF13519_full         -            1.5e-10   42.8   0.0   2.2e-10   42.2   0.0   1.1   1   0   0   1   1   1   1 -
anno1.g16950.t2      -          PF13519_full         -            1.7e-10   42.6   0.2   3.1e-10   41.7   0.2   1.3   1   0   0   1   1   1   1 -
anno1.g11623.t1      -          PF13519_full         -            1.7e-10   42.5   0.1   0.00042   21.6   0.2   3.1   3   0   0   3   3   3   2 -
anno1.g39546.t1      -          PF13519_full         -            1.7e-10   42.5   0.0   2.2e-10   42.2   0.0   1.1   1   0   0   1   1   1   1 -
anno1.g23424.t1      -          PF13519_full         -              2e-10   42.3   0.0   2.9e-10   41.8   0.0   1.3   1   0   0   1   1   1   1 -
anno1.g24454.t1      -          PF13519_full         -            2.8e-10   41.8   0.0   5.2e-10   41.0   0.0   1.4   1   0   0   1   1   1   1 -
