#                                                               --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
anno1.g20566.t1      -          PF00047_full         -                  0 1893.7 272.7   4.4e-14   54.8   1.7  56.2   7   6  44  56  56  56  56 -
anno1.g53200.t1      -          PF00047_full         -                  0 1507.0   0.0   5.5e-16   61.0   0.0  40.3   7   5  33  40  40  40  38 -
anno1.g53203.t1      -          PF00047_full         -           5.1e-196  647.7   0.0   6.6e-13   51.0   0.2  19.2   5   5  12  19  19  19  19 -
anno1.g13035.t1      -          PF00047_full         -           2.4e-163  541.2  89.5   1.1e-17   66.6   1.7  11.0   1   1  10  11  11  11  11 -
anno1.g46623.t1      -          PF00047_full         -           6.7e-159  526.7  30.9   1.4e-18   69.5   0.1  12.1   1   1  11  12  12  12  12 -
anno1.g77688.t1      -          PF00047_full         -           7.1e-149  494.1  24.0   1.5e-18   69.3   0.1  11.2   1   1  10  11  11  11  11 -
anno1.g63763.t1      -          PF00047_full         -           2.9e-138  459.5  20.6     3e-15   58.6   0.2  12.4   2   1  10  12  12  11  11 -
anno1.g30722.t1      -          PF00047_full         -             1e-116  389.3  47.7   9.9e-14   53.6   0.4  12.3   1   1  10  12  12  12  12 -
anno1.g30723.t1      -          PF00047_full         -           8.4e-102  340.6  30.6   1.5e-14   56.3   0.7  10.2   1   1   7  10  10  10  10 -
anno1.g47589.t1      -          PF00047_full         -            7.8e-95  317.9  44.3   1.2e-17   66.3   2.1   6.0   1   1   5   6   6   6   6 -
anno1.g58475.t1      -          PF00047_full         -            2.1e-88  297.0   0.5     2e-10   42.9   0.0   9.1   2   1   7   9   9   9   9 -
anno1.g15818.t1      -          PF00047_full         -            6.5e-85  285.6  42.3   6.5e-13   51.0   0.2  13.3   6   5   8  14  14  12  10 -
anno1.g63760.t1      -          PF00047_full         -            1.4e-78  265.0   5.0   2.7e-12   49.0   0.2   6.2   1   1   5   6   6   6   6 -
anno1.g12813.t1      -          PF00047_full         -              1e-77  262.2  47.8   8.8e-16   60.3   3.0   8.4   1   1   7   8   8   8   8 -
anno1.g47316.t1      -          PF00047_full         -            1.3e-77  261.8  65.1   9.9e-14   53.6   0.9   9.8   1   1   8   9   9   9   9 -
anno1.g42445.t1      -          PF00047_full         -            1.4e-76  258.5  30.1   1.2e-13   53.4   0.0   8.6   1   1   8   9   9   8   8 -
anno1.g22759.t2      -          PF00047_full         -            3.7e-75  253.8  15.5   7.4e-16   60.6   1.6   6.0   2   2   4   6   6   6   6 -
anno1.g45366.t1      -          PF00047_full         -            1.6e-74  251.7  39.5     2e-10   42.9   0.0  10.8   4   4   6  10  10  10   8 -
anno1.g47864.t1      -          PF00047_full         -            3.1e-74  250.8   8.4   1.4e-12   49.9   0.0   6.1   1   1   5   6   6   6   6 -
anno1.g42233.t1      -          PF00047_full         -            2.1e-73  248.1   5.5   5.9e-14   54.4   0.0   7.2   2   2   4   7   7   7   7 -
anno1.g81442.t2      -          PF00047_full         -            3.4e-73  247.4  12.9   1.5e-14   56.3   0.0   6.1   1   1   5   6   6   6   6 -
anno1.g62362.t1      -          PF00047_full         -              3e-72  244.3  15.1   2.6e-15   58.8   0.3   5.0   1   1   4   5   5   5   5 -
anno1.g13927.t1      -          PF00047_full         -            4.1e-70  237.4  15.0   4.9e-13   51.4   0.0   6.7   1   1   5   7   7   6   6 -
anno1.g70262.t1      -          PF00047_full         -            8.4e-69  233.1  23.1   7.7e-15   57.3   0.3   6.6   2   1   4   6   6   5   5 -
anno1.g68852.t1      -          PF00047_full         -            3.7e-68  231.0  42.3   3.4e-14   55.2   0.8   8.5   1   1   7   8   8   8   7 -
anno1.g19604.t1      -          PF00047_full         -            5.9e-66  223.8  27.5   8.9e-15   57.1   0.8   7.2   3   1   4   7   7   6   5 -
anno1.g43296.t1      -          PF00047_full         -            3.4e-65  221.4  23.5   3.3e-12   48.7   0.1   6.4   3   2   4   7   7   6   6 -
anno1.g22755.t1      -          PF00047_full         -            1.6e-64  219.1  14.3   1.3e-15   59.7   1.8   5.2   1   1   4   5   5   5   5 -
anno1.g21771.t1      -          PF00047_full         -            5.2e-63  214.2  34.8   4.2e-17   64.6   0.8   4.0   1   1   3   4   4   4   4 -
anno1.g8984.t1       -          PF00047_full         -            1.5e-62  212.8   2.8   6.8e-13   50.9   0.0   5.0   1   1   4   5   5   5   5 -
anno1.g79538.t1      -          PF00047_full         -            7.1e-61  207.3  27.1   2.2e-17   65.6   1.5   4.3   1   1   3   4   4   4   4 -
anno1.g21770.t1      -          PF00047_full         -            2.8e-60  205.3  35.3   2.9e-16   61.9   1.2   4.0   1   1   3   4   4   4   4 -
anno1.g56918.t1      -          PF00047_full         -            7.4e-59  200.7  11.8   8.3e-16   60.4   0.1   6.6   2   1   4   6   6   6   5 -
anno1.g10723.t1      -          PF00047_full         -            1.5e-58  199.7  30.8   4.9e-17   64.4   1.8   6.6   2   1   4   6   6   6   6 -
anno1.g46624.t1      -          PF00047_full         -              6e-58  197.7   9.3   3.2e-17   65.0   0.3   4.1   1   1   3   4   4   4   4 -
anno1.g7133.t1       -          PF00047_full         -            5.2e-57  194.7   7.3   4.4e-12   48.3   0.7   5.2   1   1   4   5   5   5   5 -
anno1.g51762.t1      -          PF00047_full         -            1.2e-56  193.5   0.0   1.5e-14   56.3   0.0   4.1   1   1   3   4   4   4   4 -
anno1.g38314.t1      -          PF00047_full         -            8.4e-55  187.5   0.1   7.8e-14   54.0   0.0   4.3   1   1   2   4   4   4   4 -
anno1.g11570.t1      -          PF00047_full         -              6e-54  184.7   0.3   5.7e-13   51.2   0.0   4.2   1   1   3   4   4   4   4 -
anno1.g54951.t1      -          PF00047_full         -            3.4e-53  182.2  30.3   6.4e-15   57.5   0.1   6.7   4   2   2   6   6   6   6 -
anno1.g43715.t2      -          PF00047_full         -            6.7e-53  181.3  13.0   5.2e-12   48.0   0.0   5.2   1   1   4   5   5   5   5 -
anno1.g17019.t1      -          PF00047_full         -            5.4e-51  175.1   0.8   5.9e-16   60.9   0.0   4.1   1   1   3   4   4   4   4 -
anno1.g12610.t1      -          PF00047_full         -            6.4e-51  174.8  20.9   1.7e-13   52.9   0.4   6.3   2   1   4   6   6   6   5 -
anno1.g10722.t1      -          PF00047_full         -            6.5e-51  174.8  20.2   1.7e-17   65.9   0.5   5.2   2   1   3   5   5   5   5 -
anno1.g73184.t1      -          PF00047_full         -            1.4e-50  173.7  18.3   4.5e-11   45.0   1.0   7.0   4   3   3   7   7   7   6 -
anno1.g57930.t1      -          PF00047_full         -            3.1e-50  172.6   2.2   3.7e-12   48.5   0.0   4.0   1   1   3   4   4   4   4 -
anno1.g27447.t1      -          PF00047_full         -            3.5e-50  172.4  15.1   1.3e-11   46.8   0.6   4.2   1   1   3   4   4   4   4 -
anno1.g22682.t1      -          PF00047_full         -            4.7e-50  172.0  14.1     1e-14   56.9   0.2   5.0   2   1   3   5   5   4   4 -
