#                                                               --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
anno1.g14903.t1      -          PF13855_full         -           1.3e-116  384.3 167.3   2.5e-15   56.8   9.5   9.9   1   1  12  13  13  13  13 -
anno1.g14909.t1      -          PF13855_full         -           2.9e-113  373.4 176.0   1.5e-15   57.5   9.7   9.7   1   1  12  13  13  13  13 -
anno1.g21855.t2      -          PF13855_full         -           2.1e-102  338.3  65.1   3.1e-17   62.9   0.1   7.2   1   1   7   8   8   8   8 -
anno1.g25550.t1      -          PF13855_full         -            7.4e-99  326.9  85.0   8.1e-15   55.1   2.0  12.2   1   1  11  12  12  12  10 -
anno1.g34931.t1      -          PF13855_full         -            2.7e-91  302.4 100.0   1.3e-14   54.4   7.3  10.0   2   2   8  10  10  10   9 -
anno1.g33335.t1      -          PF13855_full         -            9.1e-89  294.2  80.6   3.7e-16   59.5  15.1   8.8   3   2   6   9   9   8   8 -
anno1.g26927.t1      -          PF13855_full         -            3.7e-85  282.6  42.6   2.5e-17   63.2   2.2   6.8   1   1   5   6   6   6   6 -
anno1.g19003.t1      -          PF13855_full         -              1e-73  245.6  53.1   2.2e-16   60.2   0.3   6.6   1   1   6   7   7   7   7 -
anno1.g22482.t1      -          PF13855_full         -            1.3e-73  245.2  58.7   7.2e-15   55.3   1.2  10.6   3   3   5  10  10  10  10 -
anno1.g16645.t1      -          PF13855_full         -            2.2e-72  241.3  52.5   1.8e-16   60.5   0.2   7.0   1   1   7   8   8   8   8 -
anno1.g37856.t1      -          PF13855_full         -            4.9e-72  240.1  53.2   1.1e-15   58.0   6.4   6.3   2   1   4   6   6   5   5 -
anno1.g2757.t1       -          PF13855_full         -            6.7e-72  239.7  72.7   8.1e-19   68.0   5.4   8.9   1   1   7   8   8   8   8 -
anno1.g2656.t3       -          PF13855_full         -              1e-62  210.0  54.2   5.3e-16   59.0   2.8   6.7   1   1   5   6   6   6   6 -
anno1.g20426.t1      -          PF13855_full         -            4.6e-59  198.2  44.5   2.5e-17   63.2   9.2   4.9   1   1   4   5   5   5   5 -
anno1.g28010.t3      -          PF13855_full         -            8.7e-59  197.3  49.5   3.2e-16   59.7   3.6   5.2   1   1   4   5   5   5   5 -
anno1.g10902.t1      -          PF13855_full         -              7e-58  194.4  98.5   3.9e-12   46.5   8.9  11.1   4   4   6  10  10  10  10 -
anno1.g4970.t1       -          PF13855_full         -            2.1e-57  192.8  33.3   9.3e-18   64.6   5.9   4.3   1   1   3   4   4   4   4 -
anno1.g32789.t1      -          PF13855_full         -            1.3e-54  183.8  70.8     6e-13   49.1   1.0   5.5   2   1   6   8   8   7   7 -
anno1.g12005.t3      -          PF13855_full         -            2.4e-52  176.5  66.3   1.5e-09   38.1   9.4   8.1   1   1   7   8   8   8   8 -
anno1.g19999.t1      -          PF13855_full         -            3.1e-52  176.1  54.3   3.1e-14   53.3   1.5   6.5   1   1   5   6   6   6   6 -
anno1.g4969.t2       -          PF13855_full         -            6.5e-52  175.1  41.6   1.3e-14   54.4   3.9   4.5   1   1   3   4   4   4   4 -
anno1.g23801.t1      -          PF13855_full         -            3.8e-51  172.6  32.8   2.3e-21   76.3   5.6   4.4   1   1   3   4   4   4   4 -
anno1.g27275.t1      -          PF13855_full         -            7.8e-50  168.3  42.2   7.7e-17   61.7   4.7   4.4   1   1   4   5   5   5   5 -
anno1.g12795.t1      -          PF13855_full         -            9.1e-50  168.1  48.1   1.5e-15   57.5   0.4   3.9   1   1   3   4   4   4   4 -
anno1.g10489.t1      -          PF13855_full         -            7.6e-49  165.2  48.8   2.5e-16   60.0  10.5   5.0   1   1   4   5   5   5   5 -
anno1.g22134.t1      -          PF13855_full         -            1.6e-48  164.1  35.4   2.1e-16   60.2   3.0   5.0   1   1   5   6   6   5   5 -
anno1.g10488.t1      -          PF13855_full         -            2.9e-48  163.3  37.4   5.4e-16   58.9   5.1   5.0   2   1   4   6   6   5   5 -
anno1.g16079.t1      -          PF13855_full         -            1.7e-47  160.8  38.7   7.5e-13   48.8   6.6   4.7   1   1   4   5   5   5   5 -
