,target_name,accession,query_name,accession,E-value_full_seq,score_full_seq,bias_full_seq,E-value,score,bias,exp,reg,clu,ov,env,dom,rep,inc,description_of_target,motif,species,gene_family,gene_id
43,anno1.g25342.t1,-,PF14580_full,-,1.6e-26,94.0,32.4,1.3e-08,35.3,7.9,5.4,3,1,2,5,5,5,5,-,LRR,a_cytherea,TLR,g25342
45,anno1.g25340.t1,-,PF14580_full,-,5.899999999999999e-26,92.2,32.5,1.2e-08,35.4,7.8,5.4,3,1,2,5,5,5,4,-,LRR,a_cytherea,TLR,g25340
48,anno1.g25347.t1,-,PF14580_full,-,4.9e-25,89.2,36.2,3.8e-09,37.0,0.2,5.9,4,1,2,6,6,5,3,-,LRR,a_cytherea,TLR,g25347
62,anno1.g25343.t1,-,PF14580_full,-,6.800000000000001e-22,78.8,36.9,9.7e-08,32.4,1.6,5.3,3,1,1,5,5,5,3,-,LRR,a_cytherea,TLR,g25343
64,anno1.g25348.t1,-,PF14580_full,-,2e-21,77.3,37.7,2.2e-07,31.3,1.5,5.4,3,1,1,5,5,5,5,-,LRR,a_cytherea,TLR,g25348
72,anno1.g25344.t1,-,PF14580_full,-,5.6e-19,69.3,31.6,4.3e-06,27.0,0.7,4.9,3,1,2,5,5,5,3,-,LRR,a_cytherea,TLR,g25344
111,anno1.g25342.t1,-,PF13855_full,-,8.8e-52,174.4,31.7,2.1e-12,47.1,0.0,6.8,3,1,4,7,7,6,6,-,LRR,a_cytherea,TLR,g25342
114,anno1.g25340.t1,-,PF13855_full,-,5.9e-51,171.7,30.3,4.3e-12,46.0,0.0,6.9,3,1,4,7,7,6,6,-,LRR,a_cytherea,TLR,g25340
119,anno1.g25347.t1,-,PF13855_full,-,9.400000000000001e-48,161.4,36.6,1.6e-13,50.7,7.8,7.6,4,1,4,8,8,7,5,-,LRR,a_cytherea,TLR,g25347
121,anno1.g25348.t1,-,PF13855_full,-,4.9e-46,155.8,32.3,5.3e-13,49.0,9.2,6.6,3,1,4,7,7,6,5,-,LRR,a_cytherea,TLR,g25348
123,anno1.g25343.t1,-,PF13855_full,-,2e-43,147.4,35.1,1.8e-11,44.0,0.1,6.3,3,1,3,6,6,6,6,-,LRR,a_cytherea,TLR,g25343
124,anno1.g25344.t1,-,PF13855_full,-,2.5999999999999996e-43,147.0,33.4,1.7e-12,47.4,3.6,6.6,3,1,3,6,6,6,4,-,LRR,a_cytherea,TLR,g25344
268,anno1.g25342.t1,-,PF13306_full,-,4.3e-16,59.8,0.2,6.1e-12,46.1,0.0,3.4,2,1,2,4,4,4,2,-,LRR,a_cytherea,TLR,g25342
269,anno1.g25340.t1,-,PF13306_full,-,4.4e-16,59.8,2.4,2.3e-12,47.6,0.1,3.8,2,1,2,4,4,4,2,-,LRR,a_cytherea,TLR,g25340
275,anno1.g25343.t1,-,PF13306_full,-,1.4e-12,48.2,9.5,3.2e-12,47.0,0.6,3.2,2,1,0,2,2,2,1,-,LRR,a_cytherea,TLR,g25343
292,anno1.g25342.t1,-,PF12799_full,-,2e-31,108.2,38.8,3.4e-08,33.6,0.2,7.7,3,2,4,7,7,7,7,-,LRR,a_cytherea,TLR,g25342
296,anno1.g25340.t1,-,PF12799_full,-,2.6000000000000002e-30,104.6,39.9,3.4e-08,33.6,0.2,7.7,3,2,4,7,7,7,6,-,LRR,a_cytherea,TLR,g25340
308,anno1.g25347.t1,-,PF12799_full,-,4.2e-25,87.9,50.9,1.8e-07,31.3,0.8,9.0,3,3,6,9,9,9,5,-,LRR,a_cytherea,TLR,g25347
310,anno1.g25348.t1,-,PF12799_full,-,4.2e-24,84.7,40.4,2.5e-05,24.4,0.9,7.5,3,2,4,7,7,7,5,-,LRR,a_cytherea,TLR,g25348
319,anno1.g25344.t1,-,PF12799_full,-,1e-21,77.0,36.7,1.6e-06,28.3,1.0,7.0,3,1,4,7,7,6,5,-,LRR,a_cytherea,TLR,g25344
320,anno1.g25343.t1,-,PF12799_full,-,1.2e-21,76.9,43.6,1.9e-05,24.9,0.5,7.7,3,2,4,7,7,7,6,-,LRR,a_cytherea,TLR,g25343
385,anno1.g25348.t1,-,PF01582_full_up,-,1.4000000000000001e-33,117.4,3.3,2.6000000000000003e-33,116.5,3.3,1.4,1,0,0,1,1,1,1,-,TIR,a_cytherea,TLR,g25348
386,anno1.g25342.t1,-,PF01582_full_up,-,6.8e-33,115.2,3.9,1.3000000000000001e-32,114.2,3.9,1.4,1,0,0,1,1,1,1,-,TIR,a_cytherea,TLR,g25342
387,anno1.g25340.t1,-,PF01582_full_up,-,8.6e-33,114.8,4.3,1.7000000000000002e-32,113.9,4.3,1.4,1,0,0,1,1,1,1,-,TIR,a_cytherea,TLR,g25340
388,anno1.g25344.t1,-,PF01582_full_up,-,1.7000000000000002e-32,113.9,2.8,2.9e-32,113.1,2.8,1.4,1,0,0,1,1,1,1,-,TIR,a_cytherea,TLR,g25344
389,anno1.g25343.t1,-,PF01582_full_up,-,2.1000000000000002e-32,113.5,3.7,3.8e-32,112.7,3.7,1.3,1,0,0,1,1,1,1,-,TIR,a_cytherea,TLR,g25343
390,anno1.g25347.t1,-,PF01582_full_up,-,2.8e-32,113.1,3.5,6.4e-32,112.0,3.5,1.5,1,0,0,1,1,1,1,-,TIR,a_cytherea,TLR,g25347
