#                                                               --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
g13726.t1            -          PF13519_full         -                  0 1725.8  46.1     4e-12   47.9   0.0  61.5  61   1   0  62  62  61  57 -
g13726.t2            -          PF13519_full         -                  0 1725.3  46.1     4e-12   47.8   0.0  61.5  61   1   0  62  62  61  57 -
g24414.t1            -          PF13519_full         -           1.2e-222  737.3 105.3   6.1e-16   60.4   0.0  26.3  26   0   0  26  26  26  26 -
g28914.t2            -          PF13519_full         -           1.7e-201  668.0  44.9   1.4e-14   55.9   0.0  18.3  18   0   0  18  18  18  18 -
g28914.t1            -          PF13519_full         -           5.3e-201  666.4  46.6   1.4e-14   55.9   0.0  18.3  18   0   0  18  18  18  18 -
g6319.t1             -          PF13519_full         -           1.5e-189  628.9  55.8   4.1e-12   47.8   0.1  26.9  27   0   0  27  27  26  22 -
g6319.t2             -          PF13519_full         -           9.5e-188  623.0  54.1   4.1e-12   47.8   0.1  25.9  26   0   0  26  26  25  22 -
g24412.t1            -          PF13519_full         -           1.7e-125  419.1  30.9   1.8e-13   52.2   0.1  11.3  11   0   0  11  11  11  11 -
g24417.t1            -          PF13519_full         -           8.3e-113  377.6  35.5   6.9e-15   56.9   0.6  10.1  10   0   0  10  10  10  10 -
g24417.t2            -          PF13519_full         -           1.1e-105  354.2  31.4   1.8e-14   55.6   0.9   9.1   9   0   0   9   9   9   9 -
g24411.t1            -          PF13519_full         -            1.9e-94  317.4  38.6   1.1e-09   39.9   0.0  11.2  11   0   0  11  11  11  11 -
g38316.t1            -          PF13519_full         -            7.1e-86  289.4  29.7   1.2e-16   62.6   0.1  11.5  12   0   0  12  12  11   9 -
g24422.t2            -          PF13519_full         -            3.4e-82  277.3   1.7   2.2e-17   65.1   0.0   6.1   6   0   0   6   6   6   6 -
g24422.t1            -          PF13519_full         -            4.3e-82  277.0   1.7   2.2e-17   65.1   0.0   6.1   6   0   0   6   6   6   6 -
g24419.t1            -          PF13519_full         -            3.4e-66  224.9   0.0   3.1e-16   61.3   0.0   5.1   5   0   0   5   5   5   5 -
g31529.t1            -          PF13519_full         -            3.3e-52  179.1   0.5   1.7e-11   45.8   0.0   4.2   4   0   0   4   4   4   4 -
g38322.t1            -          PF13519_full         -            2.5e-46  159.8   0.0   2.2e-14   55.3   0.0   4.7   5   0   0   5   5   4   4 -
g38319.t2            -          PF13519_full         -            1.3e-43  150.9   2.4   6.6e-07   30.8   0.0   7.2   7   0   0   7   7   7   6 -
g38319.t1            -          PF13519_full         -            1.4e-43  150.9   1.8   7.1e-07   30.7   0.0   7.2   7   0   0   7   7   7   5 -
g41910.t1            -          PF13519_full         -            5.8e-36  125.9   0.0   3.1e-11   44.9   0.0   3.2   3   0   0   3   3   3   3 -
g40401.t3            -          PF13519_full         -            1.7e-33  117.8   0.2     2e-09   39.0   0.0   3.2   3   0   0   3   3   3   3 -
g40401.t1            -          PF13519_full         -            3.4e-33  116.8   0.2   2.5e-09   38.7   0.0   3.2   3   0   0   3   3   3   3 -
g40401.t2            -          PF13519_full         -            1.7e-32  114.6   0.2   4.2e-09   38.0   0.0   3.2   3   0   0   3   3   3   3 -
g28915.t1            -          PF13519_full         -            1.1e-29  105.3   2.2   5.8e-14   53.9   0.3   2.2   1   1   1   2   2   2   2 -
g17206.t3            -          PF13519_full         -            1.4e-29  105.0   0.4   8.6e-06   27.1   0.0   4.3   4   0   0   4   4   4   4 -
g17206.t2            -          PF13519_full         -            1.5e-29  104.9   0.3   9.1e-06   27.0   0.0   4.3   4   0   0   4   4   4   4 -
g17206.t1            -          PF13519_full         -              5e-29  103.2   0.2   9.1e-06   27.0   0.0   4.3   4   0   0   4   4   4   4 -
g923.t1              -          PF13519_full         -            2.5e-28  100.9   0.0   8.5e-28   99.2   0.0   1.9   1   0   0   1   1   1   1 -
g15934.t1            -          PF13519_full         -            1.1e-27   98.8   0.0   2.3e-09   38.8   0.0   3.2   3   0   0   3   3   3   3 -
g24415.t1            -          PF13519_full         -            1.1e-27   98.8   8.0   9.6e-11   43.3   0.2   3.1   2   1   0   3   3   3   3 -
g28911.t1            -          PF13519_full         -            1.4e-27   98.4   2.0   2.1e-14   55.3   0.1   2.3   2   0   0   2   2   2   2 -
g30516.t2            -          PF13519_full         -            1.5e-26   95.1  21.8   4.1e-10   41.3   0.0   4.9   4   1   1   5   5   3   3 -
g30516.t1            -          PF13519_full         -            3.2e-26   94.0  22.1   4.6e-10   41.1   0.0   4.8   4   1   1   5   5   3   3 -
g40404.t1            -          PF13519_full         -              8e-26   92.7   0.0   9.3e-10   40.1   0.0   3.1   3   0   0   3   3   3   3 -
g41908.t1            -          PF13519_full         -            1.2e-25   92.2   0.0   1.2e-12   49.6   0.0   2.1   2   0   0   2   2   2   2 -
g24413.t1            -          PF13519_full         -            2.2e-24   88.0   1.3   6.7e-12   47.1   0.1   2.2   2   0   0   2   2   2   2 -
g16791.t1            -          PF13519_full         -            7.8e-24   86.2  26.5   1.2e-11   46.3   0.0  11.2   6   4   4  11  11   5   5 -
g28913.t1            -          PF13519_full         -            8.4e-24   86.1   0.8     2e-08   35.7   0.2   3.3   3   0   0   3   3   3   3 -
g19639.t1            -          PF13519_full         -            1.6e-23   85.2   0.1   3.2e-23   84.2   0.1   1.4   1   0   0   1   1   1   1 -
g38130.t1            -          PF13519_full         -            1.8e-23   85.0   0.0   3.2e-23   84.2   0.0   1.3   1   0   0   1   1   1   1 -
g20371.t1            -          PF13519_full         -            3.2e-23   84.2   0.0   1.7e-10   42.6   0.0   2.1   2   0   0   2   2   2   2 -
g29990.t1            -          PF13519_full         -              4e-23   83.9   0.0   7.1e-23   83.1   0.0   1.3   1   0   0   1   1   1   1 -
