#                                                               --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
g8590.t1             -          PF13927_seed         -                  0 2027.3 198.9   6.9e-14   53.1   1.4  55.5  54   0   0  54  54  54  54 -
g4936.t1             -          PF13927_seed         -                  0 1352.2   0.2   2.9e-16   60.7   0.0  31.2  31   0   0  31  31  31  31 -
g4937.t1             -          PF13927_seed         -                  0 1155.2   0.0   3.2e-17   63.8   0.0  24.2  24   0   0  24  24  24  24 -
g3891.t1             -          PF13927_seed         -                  0 1008.6 150.1     1e-16   62.2   1.7  27.3  27   0   0  27  27  27  26 -
g6344.t2             -          PF13927_seed         -             1e-273  885.7 102.8   3.2e-16   60.6   0.1  25.6  25   0   0  25  25  24  24 -
g6344.t3             -          PF13927_seed         -           3.7e-271  877.5  98.7   2.7e-16   60.8   0.1  24.2  23   0   0  23  23  23  23 -
g12027.t1            -          PF13927_seed         -           6.7e-179  581.9  74.7   3.3e-22   79.8   1.4   9.4   9   0   0   9   9   9   9 -
g21088.t1            -          PF13927_seed         -             2e-170  554.7   0.0   1.5e-15   58.5   0.0  12.6  12   0   0  12  12  12  12 -
g20503.t1            -          PF13927_seed         -           1.3e-169  552.1  16.0   1.6e-16   61.5   0.0  11.8  11   0   0  11  11  11  11 -
g4935.t1             -          PF13927_seed         -           4.1e-167  544.1  20.4   1.5e-16   61.7   0.1  12.5  13   0   0  13  13  12  12 -
g23291.t1            -          PF13927_seed         -           1.9e-157  513.1   7.9   5.1e-15   56.7   0.0  11.4  11   0   0  11  11  11  11 -
g3884.t1             -          PF13927_seed         -           1.3e-153  500.8  47.5   1.2e-15   58.7   0.5  13.3  13   0   0  13  13  12  11 -
g24226.t1            -          PF13927_seed         -           7.2e-149  485.6  36.8   1.6e-12   48.7   0.0  16.6  17   0   0  17  17  16  14 -
g27017.t3            -          PF13927_seed         -           1.5e-140  459.0  67.5   5.4e-20   72.7   2.9   8.3   8   0   0   8   8   8   8 -
g27017.t2            -          PF13927_seed         -           1.6e-140  458.9  67.5   5.4e-20   72.7   2.9   8.3   8   0   0   8   8   8   8 -
g27017.t1            -          PF13927_seed         -           5.3e-122  399.6  56.9   3.7e-20   73.2   2.9   7.1   7   0   0   7   7   7   7 -
g9520.t1             -          PF13927_seed         -           2.1e-121  397.7  85.8   1.4e-13   52.2   0.2  18.1  16   2   1  17  17  16  12 -
g5482.t1             -          PF13927_seed         -           1.3e-115  379.1  46.0   2.8e-14   54.4   0.8  16.3  16   1   0  16  16  14  13 -
g24065.t1            -          PF13927_seed         -           1.2e-112  369.5  28.5   3.3e-16   60.6   0.1   8.1   8   0   0   8   8   7   7 -
g21234.t1            -          PF13927_seed         -            1.4e-98  324.5  14.8     3e-14   54.3   0.4   8.9   8   0   0   8   8   8   8 -
g6149.t1             -          PF13927_seed         -              1e-91  302.5  16.8     3e-15   57.5   0.1   7.3   7   0   0   7   7   7   7 -
g6149.t2             -          PF13927_seed         -            1.1e-91  302.4  16.8   3.1e-15   57.4   0.1   7.3   7   0   0   7   7   7   7 -
g6151.t1             -          PF13927_seed         -            1.6e-86  285.9   9.9   8.1e-15   56.1   0.0   6.2   6   0   0   6   6   6   6 -
g16719.t1            -          PF13927_seed         -            2.3e-84  279.0  30.7   3.2e-21   76.6   4.0   4.4   4   0   0   4   4   4   4 -
g3892.t1             -          PF13927_seed         -            5.1e-84  277.8  46.2   8.6e-13   49.6   2.7  10.5  10   0   0  10  10  10   7 -
g16345.t1            -          PF13927_seed         -            1.8e-81  269.7  43.8   8.1e-17   62.5   1.7   9.0   9   0   0   9   9   8   7 -
g5483.t1             -          PF13927_seed         -            7.6e-79  261.3  34.8   6.8e-11   43.5   1.0  11.9  11   2   0  11  11  10   9 -
g3888.t1             -          PF13927_seed         -            1.5e-77  257.1  10.4   4.5e-13   50.5   0.0   8.5   9   0   0   9   9   7   7 -
g3888.t2             -          PF13927_seed         -            2.7e-77  256.3  10.4   4.9e-13   50.4   0.0   8.6   9   0   0   9   9   7   7 -
g20976.t1            -          PF13927_seed         -              1e-72  241.6   0.3   6.1e-18   66.1   0.0   4.3   4   0   0   4   4   4   4 -
g21151.t1            -          PF13927_seed         -            5.5e-71  236.1  17.1   3.1e-17   63.8   0.1   5.2   5   0   0   5   5   5   5 -
g3885.t2             -          PF13927_seed         -            6.9e-71  235.8  17.3     7e-11   43.5   0.2   8.9   8   0   0   8   8   8   7 -
g3885.t3             -          PF13927_seed         -            8.8e-71  235.4  17.3   7.2e-11   43.4   0.2   8.9   8   0   0   8   8   8   7 -
g3885.t1             -          PF13927_seed         -            3.1e-70  233.7  19.2   4.4e-11   44.1   0.2   7.8   8   0   0   8   8   7   7 -
g12250.t1            -          PF13927_seed         -            9.2e-69  229.0   8.9   3.6e-15   57.2   0.0   7.8   8   0   0   8   8   6   6 -
g828.t1              -          PF13927_seed         -            9.7e-66  219.3  17.6   2.6e-16   60.9   0.1   7.2   7   0   0   7   7   5   5 -
g828.t2              -          PF13927_seed         -            9.7e-66  219.3  17.6   2.6e-16   60.9   0.1   7.2   7   0   0   7   7   5   5 -
g17021.t1            -          PF13927_seed         -            1.6e-64  215.4  20.6   2.3e-14   54.6   0.2   8.1   7   2   0   7   7   7   7 -
g20091.t2            -          PF13927_seed         -            3.2e-63  211.2   0.2   2.1e-13   51.6   0.0   6.0   5   0   0   5   5   5   5 -
g15642.t1            -          PF13927_seed         -            5.2e-59  197.7  31.1   1.1e-11   46.1   0.4   8.5   7   2   0   7   7   7   6 -
g5387.t1             -          PF13927_seed         -            3.6e-58  195.0   9.3   2.4e-16   61.0   0.1   6.0   6   0   0   6   6   4   4 -
g23659.t1            -          PF13927_seed         -            1.9e-56  189.5  11.3   2.8e-16   60.8   0.1   6.0   5   1   0   5   5   5   5 -
g13798.t1            -          PF13927_seed         -            2.3e-56  189.2  10.5   3.8e-14   53.9   0.1   4.4   4   0   0   4   4   4   4 -
g19571.t1            -          PF13927_seed         -            4.6e-56  188.3   5.7   5.8e-15   56.6   0.1   4.6   4   0   0   4   4   4   4 -
g11536.t1            -          PF13927_seed         -            3.4e-55  185.5  23.3   3.3e-12   47.8   0.3   7.0   6   1   0   6   6   6   5 -
g17067.t1            -          PF13927_seed         -            5.4e-55  184.8  28.2   1.4e-15   58.6   0.9   5.9   6   0   0   6   6   5   5 -
g19574.t1            -          PF13927_seed         -            1.2e-54  183.7   0.7   7.4e-13   49.8   0.0   4.6   4   0   0   4   4   4   4 -
g21373.t1            -          PF13927_seed         -            4.6e-54  181.9  21.1     7e-17   62.7   0.2   6.2   7   0   0   7   7   5   5 -
g14089.t1            -          PF13927_seed         -            5.4e-54  181.6  15.7   2.8e-15   57.6   0.1   6.3   6   0   0   6   6   5   4 -
g17151.t1            -          PF13927_seed         -            9.8e-54  180.8   0.3   7.8e-12   46.5   0.0   4.2   4   0   0   4   4   4   4 -
g30446.t1            -          PF13927_seed         -            3.1e-53  179.2  26.2   2.6e-11   44.9   0.2   6.4   6   0   0   6   6   6   6 -
g14552.t2            -          PF13927_seed         -            4.5e-53  178.7  12.9   3.6e-15   57.2   0.3   4.5   4   0   0   4   4   4   4 -
