#                                                               --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
anno1.g7848.t1       -          PF13927_full         -                  0 3808.2   0.0   1.8e-24   87.4   0.5  78.5  11   9  67  78  78  78  78 -
anno1.g19050.t1      -          PF13927_full         -                  0 3235.6 465.8   4.7e-19   69.7   2.9  69.2  12  10  54  69  69  69  69 -
anno1.g17130.t1      -          PF13927_full         -           5.3e-223  735.8  57.0     9e-24   85.1   0.5  12.6   2   1  11  13  13  12  12 -
anno1.g21730.t1      -          PF13927_full         -           5.1e-210  693.4  50.9   8.1e-22   78.7   0.1  11.7   2   1   9  11  11  11  11 -
anno1.g24247.t1      -          PF13927_full         -           5.2e-201  664.0  74.6   1.4e-22   81.2   1.2  11.1   1   1  10  11  11  11  11 -
anno1.g4253.t1       -          PF13927_full         -           7.2e-197  650.5  54.8   1.2e-18   68.4   0.2  12.6   1   1  11  12  12  12  12 -
anno1.g24249.t2      -          PF13927_full         -             8e-183  604.6  62.9   9.8e-23   81.7   2.0  10.1   1   1   9  10  10  10  10 -
anno1.g18053.t1      -          PF13927_full         -           6.2e-154  510.2  60.2   1.1e-20   75.0   0.3   9.1   1   1   8   9   9   9   9 -
anno1.g10748.t1      -          PF13927_full         -             2e-149  495.6  47.4     1e-22   81.7   0.3   9.4   1   1   8   9   9   9   9 -
anno1.g33954.t1      -          PF13927_full         -           2.1e-131  436.7  43.0   5.4e-22   79.3   0.2   8.0   1   1   7   8   8   8   8 -
anno1.g4252.t1       -          PF13927_full         -           2.6e-129  429.8  36.7   1.2e-21   78.2   4.0   8.1   2   2   6   8   8   8   7 -
anno1.g2502.t2       -          PF13927_full         -           1.1e-124  414.8  31.4   4.1e-20   73.2   0.3  10.4   4   1   6  10  10   9   9 -
anno1.g3191.t1       -          PF13927_full         -           8.7e-124  411.8  13.4   1.9e-17   64.5   0.1  11.9   6   3   5  11  11  11   9 -
anno1.g21236.t1      -          PF13927_full         -           4.6e-122  406.1  58.5   3.6e-24   86.4   0.3   9.6   2   1   7   9   9   8   8 -
anno1.g18058.t3      -          PF13927_full         -           3.5e-121  403.3 127.1   2.3e-20   74.0   2.3  15.0   3   2  12  15  15  14  12 -
anno1.g11066.t1      -          PF13927_full         -           7.5e-116  385.9  68.9   3.7e-22   79.8   0.7   9.3   1   1   8   9   9   9   9 -
anno1.g28426.t1      -          PF13927_full         -           5.7e-113  376.5   4.5   5.2e-20   72.8   1.1   7.3   1   1   6   7   7   7   7 -
anno1.g32895.t2      -          PF13927_full         -           8.6e-109  362.8  26.6   6.2e-18   66.1   0.7   8.2   2   2   6   8   8   8   7 -
anno1.g11339.t1      -          PF13927_full         -           4.2e-104  347.5  44.9   2.2e-19   70.8   0.1   9.7   3   1   6  10  10   8   8 -
anno1.g29655.t1      -          PF13927_full         -           2.2e-100  335.3   1.6   9.2e-20   72.0   0.0   6.0   1   1   5   6   6   6   6 -
anno1.g18055.t1      -          PF13927_full         -              7e-94  314.1  44.4   1.9e-20   74.3   0.3   8.9   4   1   6  10  10   7   7 -
anno1.g7499.t1       -          PF13927_full         -            1.2e-93  313.4   8.9   2.7e-24   86.8   0.1   4.6   1   1   3   4   4   4   4 -
anno1.g22686.t2      -          PF13927_full         -            1.7e-91  306.3   9.2   3.1e-22   80.1   0.2   5.1   1   1   4   5   5   5   5 -
anno1.g20308.t1      -          PF13927_full         -            1.9e-91  306.1  25.6     1e-17   65.4   0.3   8.4   3   2   4   8   8   8   6 -
anno1.g21669.t1      -          PF13927_full         -              2e-89  299.5  49.6   2.9e-15   57.3   0.4  10.8   3   2   8  11  11  10   9 -
