#                                                               --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
g30001.t1            -          PF12799_full         -            2.4e-77  255.8 111.6   7.1e-09   36.1   2.3  13.7   5   4   8  13  13  12  12 -
g9428.t1             -          PF12799_full         -            1.2e-66  221.5 103.9   2.3e-09   37.6   3.2  12.6   2   2  12  14  14  14  13 -
g7473.t1             -          PF12799_full         -            1.4e-66  221.2 124.4   2.9e-08   34.1   1.6  16.5   3   2  11  15  15  14  13 -
g18387.t1            -          PF12799_full         -            5.2e-59  196.9  62.0   2.5e-10   40.7   0.2   9.9   3   2   7  10  10   9   9 -
g25442.t1            -          PF12799_full         -              1e-58  196.0  90.0     7e-13   48.9   5.0   6.6   1   1   8   9   9   9   9 -
g3769.t1             -          PF12799_full         -            6.4e-57  190.2  81.8   3.4e-10   40.3   2.2  11.1   3   2  11  14  14  12  12 -
g20551.t1            -          PF12799_full         -            1.9e-48  163.0  44.6   3.4e-07   30.7   0.1   9.1   1   1   7   8   8   8   8 -
g10942.t1            -          PF12799_full         -            5.9e-46  155.1  61.8   1.2e-09   38.6   5.2   9.0   1   1   8  10  10   9   9 -
g14757.t1            -          PF12799_full         -            1.7e-44  150.4  48.4   1.1e-12   48.2   0.4   6.4   1   1   5   6   6   6   6 -
g16499.t1            -          PF12799_full         -              2e-42  143.7  41.3   8.1e-07   29.5   0.2   8.0   1   1   6   7   7   7   7 -
g12732.t1            -          PF12799_full         -            7.3e-39  132.3  24.8   7.3e-09   36.0   0.0   7.2   1   1   8   9   9   9   9 -
g21034.t3            -          PF12799_full         -            4.8e-38  129.7  37.5   2.5e-08   34.3   0.7   7.2   1   1   6   7   7   7   7 -
g21034.t1            -          PF12799_full         -            1.7e-37  127.9  41.2   1.5e-08   35.0   0.2   8.0   1   1   7   8   8   8   7 -
g20359.t1            -          PF12799_full         -              4e-36  123.5  55.5   2.1e-08   34.5   0.9   8.4   1   1   6   7   7   7   7 -
g12986.t1            -          PF12799_full         -            1.3e-35  121.9  42.3   1.7e-08   34.9   1.0   8.4   1   1   7   9   9   9   7 -
g16000.t1            -          PF12799_full         -            9.4e-35  119.1  40.5   2.6e-10   40.7   1.9   4.8   1   1   5   6   6   6   6 -
g21034.t2            -          PF12799_full         -            1.4e-34  118.5  44.5   2.8e-08   34.2   1.1   8.0   1   1   8   9   9   9   8 -
g25248.t3            -          PF12799_full         -            8.6e-33  112.8  56.0   4.9e-10   39.8   8.0   7.4   1   1   6   7   7   7   5 -
g25248.t1            -          PF12799_full         -            2.9e-30  104.7  41.5   2.3e-10   40.8   7.9   5.6   1   1   4   5   5   5   5 -
g25248.t2            -          PF12799_full         -            2.9e-30  104.7  41.5   2.3e-10   40.8   7.9   5.6   1   1   4   5   5   5   5 -
