#                                                               --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
anno1.g56810.t1      -          PF13519_full         -                  0 1440.4  94.4   3.2e-11   45.7   0.4  52.2  47   5   5  52  52  52  46 -
anno1.g64206.t1      -          PF13519_full         -           4.6e-163  543.0  91.8     8e-15   57.5   0.2  20.2  20   0   0  20  20  20  20 -
anno1.g73270.t2      -          PF13519_full         -            2.6e-84  285.1  11.3   8.1e-16   60.8   0.0   6.7   7   0   0   7   7   6   6 -
anno1.g36322.t1      -          PF13519_full         -            2.2e-80  272.2  24.9   5.9e-16   61.2   0.6   7.2   7   0   0   7   7   7   7 -
anno1.g69580.t1      -          PF13519_full         -              5e-77  261.2  26.2   1.3e-12   50.2   0.0   7.2   7   0   0   7   7   7   7 -
anno1.g5695.t1       -          PF13519_full         -            1.2e-70  240.3   0.6   2.1e-16   62.7   0.0   5.1   5   0   0   5   5   5   5 -
anno1.g73271.t1      -          PF13519_full         -            9.7e-69  234.1  12.4   8.8e-15   57.4   0.3   5.3   5   0   0   5   5   5   5 -
anno1.g36321.t2      -          PF13519_full         -            6.3e-62  211.8  21.7   3.5e-16   62.0   0.6   5.1   5   0   0   5   5   5   5 -
anno1.g76353.t1      -          PF13519_full         -            7.4e-62  211.5  21.9   3.6e-16   61.9   0.6   5.1   5   0   0   5   5   5   5 -
anno1.g64898.t1      -          PF13519_full         -            3.3e-56  193.0   4.0   1.4e-09   40.4   0.0   5.1   5   0   0   5   5   5   5 -
anno1.g59643.t1      -          PF13519_full         -            1.3e-51  178.0  15.9     1e-10   44.0   0.1   6.5   6   1   0   6   6   6   6 -
anno1.g18509.t1      -          PF13519_full         -            8.3e-49  168.8   0.0   9.6e-16   60.5   0.0   3.2   3   0   0   3   3   3   3 -
anno1.g62089.t3      -          PF13519_full         -            5.1e-48  166.2   6.8   8.3e-12   47.6   0.0   5.5   4   1   1   5   5   4   4 -
