#                                                               --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
anno1.g11572.t1      -          PF13927_full         -                  0 2702.7 410.0   1.1e-18   69.6   5.5  56.7  11   8  43  56  56  56  56 -
anno1.g27488.t1      -          PF13927_full         -                  0 2190.1 367.3   2.2e-21   78.4   3.1  38.5   1   1  37  38  38  38  38 -
anno1.g17035.t1      -          PF13927_full         -                  0 1709.4  22.4   1.8e-20   75.4   0.0  37.5   6   4  31  37  37  37  37 -
anno1.g27477.t1      -          PF13927_full         -                  0 1569.3 318.9   5.3e-21   77.1   4.5  33.2   4   1  29  33  33  31  31 -
anno1.g2832.t1       -          PF13927_full         -                  0 1447.3 155.1   3.8e-18   67.8   0.5  27.2   1   1  26  27  27  27  27 -
anno1.g57885.t1      -          PF13927_full         -                  0 1303.1 173.4   9.6e-18   66.5   2.0  30.3   2   1  27  30  30  30  29 -
anno1.g17039.t2      -          PF13927_full         -                  0 1254.2   0.0   3.9e-26   93.9   1.1  23.8   6   4  18  24  24  23  23 -
anno1.g27482.t1      -          PF13927_full         -                  0 1070.3 188.8   2.3e-22   81.6   5.9  21.3   3   3  18  21  21  21  19 -
anno1.g11563.t1      -          PF13927_full         -           7.4e-290  955.2 126.9     5e-19   70.7   3.3  21.2   7   5  14  21  21  21  21 -
anno1.g50149.t1      -          PF13927_full         -             5e-233  769.6 127.0   7.1e-22   80.0   3.5  19.7   3   1  17  20  20  19  17 -
anno1.g49463.t1      -          PF13927_full         -           3.7e-214  708.0  44.3   2.8e-21   78.0   0.1  12.2   1   1  11  12  12  12  12 -
anno1.g40416.t1      -          PF13927_full         -           1.4e-182  604.8 125.3   1.4e-20   75.7   0.1  15.2   3   3   9  12  12  11  11 -
anno1.g16715.t1      -          PF13927_full         -           2.5e-153  509.3  66.3   3.6e-24   87.5   2.2  11.3   3   2   8  11  11  10   9 -
anno1.g3400.t1       -          PF13927_full         -           1.7e-142  473.9   9.1   8.1e-20   73.3   0.1   9.6   1   1   8   9   9   9   9 -
anno1.g34881.t1      -          PF13927_full         -           6.1e-128  426.4  94.6   6.7e-16   60.5   4.8  13.2   1   1  11  12  12  12  12 -
anno1.g1037.t1       -          PF13927_full         -           6.1e-127  423.1  55.1   1.3e-20   75.9   0.3  11.7   6   1   7  13  13   9   9 -
