#                                                               --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
anno1.g24717.t1      -          PF13855_full         -           1.1e-137  452.6 175.3   2.7e-16   60.1   8.6  10.8   1   1  13  14  14  14  14 -
anno1.g5798.t1       -          PF13855_full         -           1.5e-114  377.8 117.0   8.6e-17   61.7   5.4   8.7   2   2   9  11  11  10  10 -
anno1.g2381.t1       -          PF13855_full         -            7.3e-96  317.4  78.6   2.7e-15   56.9   0.3  13.3   4   3   9  13  13  13  13 -
anno1.g15274.t1      -          PF13855_full         -            7.8e-95  314.1  73.0   1.5e-18   67.4   2.8   7.7   1   1   7   8   8   8   8 -
anno1.g5855.t1       -          PF13855_full         -            1.1e-94  313.6  91.2   2.5e-14   53.8   2.2  13.1   3   2  10  14  14  13  10 -
anno1.g4901.t1       -          PF13855_full         -            5.4e-86  285.5  98.4   1.5e-14   54.4   2.5  15.2   8   4   8  16  16  14  12 -
anno1.g3221.t3       -          PF13855_full         -              6e-75  249.8  39.8   1.4e-16   61.0   0.2   6.5   1   1   5   6   6   6   6 -
anno1.g7242.t1       -          PF13855_full         -            2.6e-74  247.7  53.5   5.8e-15   55.8   0.2   7.0   1   1   7   8   8   8   8 -
anno1.g12527.t2      -          PF13855_full         -            5.5e-74  246.6  72.6   1.5e-17   64.2   3.3   8.9   1   1   7   9   9   9   9 -
anno1.g1267.t1       -          PF13855_full         -            3.7e-72  240.7  55.7     1e-14   55.0   0.3   6.4   1   1   6   7   7   7   7 -
anno1.g15656.t1      -          PF13855_full         -            1.6e-68  229.0  33.5   8.4e-17   61.7   4.6   5.4   1   1   4   5   5   5   5 -
anno1.g40289.t1      -          PF13855_full         -              2e-68  228.6  59.0   1.5e-16   61.0   8.1   5.6   1   1   3   5   5   5   5 -
anno1.g4011.t1       -          PF13855_full         -            1.7e-63  212.8  64.7   7.8e-17   61.8   0.5   5.7   1   1   5   6   6   6   6 -
anno1.g20042.t1      -          PF13855_full         -            1.1e-61  206.9  61.1   1.6e-15   57.6   5.7   3.8   1   1   4   5   5   5   5 -
anno1.g12285.t1      -          PF13855_full         -              5e-61  204.7  59.1   6.9e-14   52.3   0.7   6.5   1   1   5   6   6   6   6 -
anno1.g10807.t1      -          PF13855_full         -            1.6e-60  203.1  51.0   4.6e-18   65.8   6.8   3.5   1   1   3   4   4   4   4 -
anno1.g2233.t1       -          PF13855_full         -            2.4e-60  202.6  27.0   2.3e-20   73.3   2.7   3.6   2   1   3   5   5   4   4 -
anno1.g34562.t2      -          PF13855_full         -            2.4e-60  202.5  33.8   3.2e-14   53.4   6.7   6.1   1   1   4   5   5   5   5 -
anno1.g27345.t2      -          PF13855_full         -            5.7e-60  201.3  33.2   9.2e-17   61.6   0.1   6.2   2   1   4   6   6   6   6 -
anno1.g30517.t1      -          PF13855_full         -            5.5e-59  198.2 100.5   2.8e-15   56.8  10.5   4.7   1   1   5   6   6   6   6 -
anno1.g6757.t2       -          PF13855_full         -            5.3e-56  188.5  41.7   1.2e-16   61.2   3.7   5.1   1   1   4   5   5   5   4 -
anno1.g10822.t1      -          PF13855_full         -            1.3e-55  187.2  48.4   6.6e-18   65.3   5.7   3.1   1   1   3   4   4   4   4 -
anno1.g11646.t1      -          PF13855_full         -            8.3e-55  184.6  36.9   1.2e-14   54.8   0.2   3.8   1   1   4   5   5   5   5 -
anno1.g27342.t2      -          PF13855_full         -            3.8e-54  182.5  33.7     6e-15   55.7   0.2   6.4   2   1   4   6   6   6   5 -
anno1.g30026.t2      -          PF13855_full         -            2.5e-53  179.8  52.0   1.4e-13   51.3   0.6   6.4   1   1   5   6   6   6   6 -
anno1.g28531.t1      -          PF13855_full         -            5.5e-52  175.5  33.7   7.2e-15   55.5   0.9   5.3   1   1   5   6   6   6   5 -
anno1.g31243.t1      -          PF13855_full         -            2.8e-50  170.0  28.8   3.5e-18   66.2   3.9   4.2   1   1   2   3   3   3   3 -
anno1.g9457.t1       -          PF13855_full         -            2.3e-49  167.1  76.7   2.4e-12   47.3   7.2   4.8   1   1   5   6   6   6   6 -
anno1.g16372.t1      -          PF13855_full         -            2.7e-48  163.6  60.1   2.1e-16   60.4   8.3   3.9   1   1   4   5   5   5   5 -
anno1.g42807.t1      -          PF13855_full         -            9.7e-48  161.8  39.1   6.6e-18   65.3   4.1   4.3   1   1   3   4   4   4   4 -
anno1.g18445.t1      -          PF13855_full         -              1e-47  161.7  35.7   1.9e-13   50.9   8.4   5.4   1   1   4   5   5   5   5 -
anno1.g28979.t1      -          PF13855_full         -            1.7e-47  161.0  41.9   3.2e-14   53.4   6.6   5.7   1   1   4   5   5   5   5 -
anno1.g10655.t1      -          PF13855_full         -            9.1e-47  158.6  41.8   6.6e-14   52.4   7.7   6.5   1   1   4   5   5   5   5 -
anno1.g3869.t1       -          PF13855_full         -            2.1e-46  157.5  63.0   5.3e-14   52.7  12.4   5.2   1   1   4   5   5   5   5 -
anno1.g23236.t1      -          PF13855_full         -            5.5e-46  156.1  35.8   3.3e-15   56.6   3.4   6.4   3   1   3   6   6   6   5 -
anno1.g37397.t1      -          PF13855_full         -            5.3e-45  152.9  67.7   2.9e-11   43.8  11.8   6.6   2   2   4   6   6   6   6 -
anno1.g44144.t1      -          PF13855_full         -              1e-44  152.0  27.0   1.7e-13   51.0   3.6   5.1   1   1   3   5   5   5   4 -
anno1.g42720.t1      -          PF13855_full         -            1.3e-44  151.7  44.4   4.3e-15   56.2  12.3   4.4   1   1   3   4   4   4   4 -
anno1.g35655.t1      -          PF13855_full         -            2.6e-44  150.7  20.8     1e-14   55.0   0.0   4.6   1   1   4   5   5   5   5 -
anno1.g9355.t1       -          PF13855_full         -            2.9e-43  147.3  28.6   3.4e-18   66.2   2.4   4.5   1   1   1   3   3   3   3 -
anno1.g9374.t1       -          PF13855_full         -            3.1e-43  147.2  34.2     5e-19   68.9   5.1   4.5   1   1   3   4   4   4   4 -
anno1.g21309.t1      -          PF13855_full         -            5.7e-43  146.4  27.7   1.2e-13   51.5   3.1   6.7   3   1   3   6   6   6   6 -
anno1.g43990.t1      -          PF13855_full         -            1.9e-42  144.7  57.1   2.4e-17   63.5   8.3   5.0   1   1   4   5   5   5   5 -
anno1.g2215.t1       -          PF13855_full         -            5.9e-42  143.1  24.7   4.4e-17   62.6   2.4   3.5   2   1   2   4   4   3   3 -
anno1.g32093.t2      -          PF13855_full         -            7.9e-42  142.7  33.7   7.4e-14   52.2   7.0   4.3   1   1   3   4   4   4   4 -
anno1.g36251.t1      -          PF13855_full         -            9.4e-41  139.2  25.1   5.6e-13   49.4   1.5   5.6   3   2   1   5   5   5   4 -
anno1.g27347.t1      -          PF13855_full         -            1.9e-40  138.2  45.2   1.3e-15   57.9   7.3   4.6   1   1   4   5   5   5   5 -
anno1.g2197.t1       -          PF13855_full         -            4.2e-40  137.1  18.8   8.8e-16   58.4   0.6   4.2   3   1   0   4   4   4   3 -
anno1.g31244.t1      -          PF13855_full         -            1.6e-39  135.2  37.7     1e-16   61.5   9.4   4.2   2   1   2   4   4   3   3 -
anno1.g12869.t1      -          PF13855_full         -            4.5e-38  130.5  37.5     2e-10   41.1   1.3   8.2   3   2   6   9   9   8   6 -
anno1.g38466.t1      -          PF13855_full         -            1.5e-37  128.9  16.4   2.1e-19   70.1   3.1   2.6   1   1   1   2   2   2   2 -
anno1.g8984.t1       -          PF13855_full         -              1e-36  126.1  42.5   9.6e-14   51.8   2.6   4.4   2   1   3   5   5   4   4 -
anno1.g7282.t1       -          PF13855_full         -            2.8e-36  124.7  66.6   1.3e-12   48.2  15.1   4.0   1   1   4   5   5   5   5 -
anno1.g40852.t1      -          PF13855_full         -            9.1e-36  123.1  23.3   5.2e-15   55.9   1.1   3.1   1   1   2   3   3   3   3 -
anno1.g39389.t1      -          PF13855_full         -            1.8e-35  122.1  19.3   1.2e-13   51.6   2.3   4.0   2   2   2   4   4   4   4 -
anno1.g38213.t1      -          PF13855_full         -            3.9e-35  121.0  17.6   2.3e-12   47.4   0.3   3.8   2   1   2   4   4   3   3 -
anno1.g17589.t1      -          PF13855_full         -            8.2e-35  120.0  20.4   4.5e-12   46.4   0.3   4.6   1   1   3   4   4   4   3 -
anno1.g38608.t1      -          PF13855_full         -            2.5e-33  115.2  24.0   3.8e-15   56.4   5.2   3.1   1   1   2   3   3   3   3 -
anno1.g14812.t1      -          PF13855_full         -            4.6e-33  114.3  12.7   5.5e-13   49.4  11.6   4.2   1   1   3   4   4   4   4 -
anno1.g28960.t1      -          PF13855_full         -            7.4e-33  113.7  28.7   2.7e-14   53.6   2.5   3.6   1   1   1   3   3   3   3 -
anno1.g2195.t1       -          PF13855_full         -            8.8e-33  113.4  13.7   8.7e-10   39.0   1.1   5.4   3   2   0   5   5   5   4 -
anno1.g10527.t1      -          PF13855_full         -            4.8e-32  111.0  25.5   9.5e-11   42.2   1.3   5.1   1   1   4   5   5   5   5 -
anno1.g10730.t2      -          PF13855_full         -            1.7e-31  109.2   5.9   4.6e-11   43.2   0.8   3.7   2   1   1   3   3   3   3 -
anno1.g14161.t1      -          PF13855_full         -            4.5e-31  107.9  33.2   4.3e-13   49.7   5.3   3.3   1   1   2   3   3   3   3 -
