#                                                               --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
g20611.t1            -          PF13855_full         -           6.7e-108  355.6  85.1   6.5e-17   61.4   0.7  13.3   2   2  11  14  14  13  13 -
g10944.t1            -          PF13855_full         -           2.1e-101  334.6 118.5   1.3e-16   60.4   8.1   9.7   2   2   9  11  11  11  11 -
g1330.t1             -          PF13855_full         -            1.6e-96  318.8 100.7   5.2e-17   61.7   9.8  12.3   3   2   9  12  12  12  11 -
g5224.t1             -          PF13855_full         -            1.3e-91  303.0  84.9   6.7e-15   54.9   1.2   8.0   1   1   8   9   9   9   9 -
g8106.t1             -          PF13855_full         -            4.8e-84  278.5  77.1   5.8e-17   61.6   3.3   8.4   2   2   7   9   9   8   8 -
g8106.t2             -          PF13855_full         -            6.2e-84  278.1  77.1   3.2e-17   62.4   2.6   8.4   2   2   7   9   9   8   8 -
g22172.t1            -          PF13855_full         -            1.8e-76  254.0  84.2   8.9e-16   57.7   8.1   9.2   1   1   9  10  10  10  10 -
g6382.t2             -          PF13855_full         -            6.6e-75  248.9  39.8   3.7e-13   49.2   0.0   8.1   1   1   7   8   8   8   7 -
g6382.t3             -          PF13855_full         -            8.8e-72  238.8  39.6   3.6e-13   49.3   0.0   8.0   1   1   7   8   8   8   7 -
g6382.t4             -          PF13855_full         -              7e-71  235.9  40.9     9e-13   48.0   2.3   7.4   1   1   6   7   7   7   7 -
g20521.t1            -          PF13855_full         -            6.1e-70  232.9  38.8   5.3e-15   55.2   0.3   6.5   1   1   5   6   6   6   6 -
g19039.t1            -          PF13855_full         -            1.3e-69  231.8  77.1   6.2e-18   64.7   8.4   4.6   1   1   5   6   6   6   6 -
g18581.t1            -          PF13855_full         -            3.3e-69  230.5  53.0   1.9e-16   59.9   4.3   5.9   1   1   5   6   6   6   6 -
g11562.t1            -          PF13855_full         -            1.8e-68  228.1  46.4   8.7e-15   54.5   0.3   7.2   1   1   7   8   8   8   8 -
g9582.t1             -          PF13855_full         -              2e-65  218.3  20.2   9.8e-17   60.8   0.1   5.2   1   1   4   5   5   5   5 -
g6382.t1             -          PF13855_full         -            8.8e-65  216.2  35.5     3e-14   52.8   0.2   7.2   1   1   6   7   7   7   6 -
g2647.t2             -          PF13855_full         -            3.6e-64  214.2  56.5   1.7e-14   53.5  11.0   6.1   1   1   6   7   7   7   7 -
g20014.t1            -          PF13855_full         -            6.4e-63  210.2  40.4   1.7e-17   63.3   3.1   4.3   1   1   4   5   5   5   5 -
g19944.t1            -          PF13855_full         -            7.3e-62  206.8  58.6     8e-18   64.4   5.4   6.0   1   1   4   5   5   5   5 -
g23040.t2            -          PF13855_full         -            1.5e-60  202.5  35.5   4.8e-19   68.3   0.5   4.2   1   1   4   5   5   5   5 -
g2647.t3             -          PF13855_full         -            6.4e-60  200.5  59.9   1.6e-13   50.4   8.0   6.6   1   1   6   7   7   7   7 -
g2647.t1             -          PF13855_full         -            1.1e-59  199.7  59.1   1.6e-13   50.5   7.9   6.6   1   1   6   7   7   7   7 -
g23040.t1            -          PF13855_full         -            1.7e-58  195.9  36.3     1e-18   67.2   1.3   4.1   1   1   4   5   5   5   5 -
g9579.t2             -          PF13855_full         -            6.6e-57  190.7   6.1   1.3e-19   70.1   0.2   4.4   1   1   3   4   4   4   4 -
g9579.t1             -          PF13855_full         -              2e-56  189.2   6.1   1.8e-19   69.7   0.2   4.4   1   1   3   4   4   4   4 -
g4712.t1             -          PF13855_full         -              2e-55  185.9  49.8   1.6e-16   60.2   0.4   4.0   1   1   4   5   5   5   5 -
g19040.t2            -          PF13855_full         -            8.7e-53  177.4  45.6   1.1e-14   54.2   4.6   4.4   1   1   4   5   5   5   5 -
g19040.t1            -          PF13855_full         -              9e-53  177.4  45.9   1.6e-14   53.7   5.1   4.4   1   1   4   5   5   5   5 -
g20178.t1            -          PF13855_full         -            1.2e-51  173.8  89.0   3.9e-11   42.7   1.2   4.8   1   1   6   7   7   7   7 -
g23059.t1            -          PF13855_full         -            2.2e-51  172.9  33.8   4.9e-22   78.0   5.3   4.8   2   1   3   5   5   4   4 -
g20876.t2            -          PF13855_full         -            7.3e-50  168.0  20.1   2.4e-16   59.5   4.4   5.6   1   1   4   5   5   5   5 -
g19969.t1            -          PF13855_full         -              1e-49  167.5  43.5   1.9e-15   56.6   7.3   6.3   2   2   3   5   5   5   5 -
g9658.t1             -          PF13855_full         -            1.1e-49  167.4  29.5   2.8e-13   49.7   3.7   6.1   1   1   5   6   6   5   5 -
g23039.t2            -          PF13855_full         -            1.2e-48  164.1  30.9   1.5e-19   69.9   2.8   4.8   2   1   3   5   5   4   4 -
g3855.t1             -          PF13855_full         -            1.5e-48  163.7  56.0   3.1e-17   62.5  10.8   4.4   1   1   3   4   4   4   4 -
g23039.t1            -          PF13855_full         -            1.8e-48  163.4  30.9   1.6e-19   69.8   2.8   4.8   1   1   3   4   4   4   4 -
g1263.t1             -          PF13855_full         -            3.9e-46  155.9  34.7   1.4e-13   50.6   0.2   5.5   1   1   5   6   6   6   5 -
g21419.t1            -          PF13855_full         -            1.5e-45  154.0  35.1   7.8e-15   54.7   3.8   7.4   2   2   4   7   7   7   5 -
g6233.t1             -          PF13855_full         -              7e-44  148.6  21.5   7.3e-17   61.2   5.9   3.5   1   1   2   3   3   3   3 -
g8380.t1             -          PF13855_full         -            2.9e-43  146.6  87.2   2.9e-11   43.2   4.0  11.1   4   4   5   9   9   9   7 -
g20876.t1            -          PF13855_full         -            1.2e-42  144.6  14.9   3.8e-16   58.9   0.9   4.8   1   1   3   4   4   4   4 -
g1112.t1             -          PF13855_full         -            8.3e-42  141.9  27.4   2.4e-14   53.1   0.3   4.2   1   1   3   4   4   4   4 -
g16167.t1            -          PF13855_full         -            1.2e-41  141.3  23.4   2.1e-16   59.8   1.3   3.0   1   1   2   3   3   3   3 -
g1263.t2             -          PF13855_full         -            3.8e-41  139.8  25.1   1.1e-13   51.0   0.4   5.3   1   1   4   5   5   5   4 -
g16691.t1            -          PF13855_full         -            6.9e-41  138.9  22.3   8.6e-14   51.3   1.6   5.5   4   1   0   5   5   5   5 -
g6588.t2             -          PF13855_full         -            2.7e-40  137.0  18.2   1.4e-16   60.4   4.4   3.4   1   1   2   3   3   3   3 -
g18201.t2            -          PF13855_full         -            1.3e-39  134.8  27.0   1.1e-19   70.4   6.3   3.7   1   1   2   3   3   3   3 -
g18201.t1            -          PF13855_full         -            1.8e-39  134.4  26.8   1.4e-19   70.1   6.4   3.6   1   1   2   3   3   3   3 -
g6588.t1             -          PF13855_full         -            1.4e-38  131.5  13.5     2e-14   53.3   0.1   3.3   1   1   2   3   3   3   3 -
g21420.t1            -          PF13855_full         -            2.2e-38  130.8  46.3   8.4e-13   48.1   2.2   8.0   4   2   4   8   8   8   7 -
g19318.t1            -          PF13855_full         -            2.7e-38  130.5  40.4   2.3e-12   46.7   5.8   4.4   1   1   3   4   4   4   4 -
g4575.t2             -          PF13855_full         -            1.5e-37  128.2  16.4     8e-16   57.9   0.4   4.2   1   1   3   4   4   4   4 -
g20013.t4            -          PF13855_full         -            6.2e-37  126.2  18.5   7.3e-16   58.0   6.7   3.3   1   1   2   3   3   3   3 -
g16096.t3            -          PF13855_full         -            8.7e-37  125.7  23.1     4e-12   45.9   3.3   4.0   1   1   1   3   3   3   3 -
g16096.t1            -          PF13855_full         -              9e-37  125.6  23.1     4e-12   45.9   3.3   4.0   1   1   1   3   3   3   3 -
g16096.t2            -          PF13855_full         -            9.2e-37  125.6  23.1   4.1e-12   45.9   3.3   4.0   1   1   1   3   3   3   3 -
g7133.t2             -          PF13855_full         -              1e-36  125.5  49.1   1.2e-14   54.1  13.5   2.6   1   1   2   3   3   3   3 -
g12305.t1            -          PF13855_full         -            1.1e-36  125.4  32.3     2e-16   59.8   4.3   4.2   1   1   3   4   4   4   4 -
g15102.t2            -          PF13855_full         -            2.3e-36  124.3  21.2   3.2e-17   62.4   6.4   4.0   1   1   2   3   3   3   3 -
g12305.t2            -          PF13855_full         -            1.1e-35  122.1  32.0   4.2e-16   58.8   4.3   4.2   1   1   3   4   4   4   4 -
g15102.t1            -          PF13855_full         -            3.4e-35  120.5  21.3   1.4e-16   60.4   7.6   3.9   1   1   2   3   3   3   3 -
g15102.t3            -          PF13855_full         -            8.4e-35  119.3  20.2   3.1e-17   62.4   6.3   3.2   1   1   2   3   3   3   2 -
g23029.t1            -          PF13855_full         -            1.8e-34  118.2  27.2     8e-15   54.7   0.3   6.5   2   2   2   6   6   6   3 -
g8729.t1             -          PF13855_full         -            3.5e-34  117.3  24.9     1e-16   60.8   4.7   3.2   1   1   2   3   3   3   3 -
g15369.t1            -          PF13855_full         -            2.7e-33  114.4  59.1   2.7e-12   46.5   7.7   8.2   3   3   5   8   8   8   6 -
g22574.t1            -          PF13855_full         -            3.6e-33  114.0  16.2   3.6e-13   49.3  11.8   4.4   1   1   2   3   3   3   3 -
g11067.t1            -          PF13855_full         -            5.5e-33  113.4  34.3   6.3e-13   48.5   7.6   4.1   1   1   1   3   3   3   3 -
g20013.t3            -          PF13855_full         -            7.6e-33  112.9  22.7   1.1e-15   57.5   5.7   3.3   1   1   2   3   3   3   3 -
g20013.t2            -          PF13855_full         -            4.9e-32  110.3  21.7   1.2e-15   57.3   4.8   3.4   1   1   2   3   3   3   3 -
g22990.t1            -          PF13855_full         -            6.9e-32  109.8  25.6   1.4e-15   57.1   8.5   3.0   1   1   2   3   3   3   3 -
g15344.t1            -          PF13855_full         -            1.2e-31  109.0  26.1   5.2e-10   39.1   0.1   5.0   1   1   4   5   5   5   4 -
g15344.t2            -          PF13855_full         -            1.8e-31  108.4  26.0   5.8e-10   38.9   0.1   5.0   1   1   4   5   5   5   4 -
g3497.t1             -          PF13855_full         -            2.3e-31  108.1  21.3   1.2e-15   57.3   2.8   3.8   2   1   2   4   4   3   3 -
g4213.t1             -          PF13855_full         -            3.3e-31  107.6  24.3   2.3e-13   50.0   6.1   3.2   1   1   2   3   3   3   3 -
g23027.t1            -          PF13855_full         -            6.9e-31  106.6  29.3   1.1e-12   47.8   0.1   6.4   3   2   2   6   6   6   3 -
g20013.t1            -          PF13855_full         -            1.4e-30  105.6  21.7   4.2e-15   55.6   5.7   3.4   1   1   2   3   3   3   3 -
g4575.t1             -          PF13855_full         -            1.7e-30  105.3   8.1   5.7e-16   58.4   0.3   3.3   1   1   2   3   3   3   3 -
g23711.t1            -          PF13855_full         -              1e-29  102.8  21.8     1e-12   47.9   0.5   3.7   1   1   2   3   3   3   3 -
g9925.t1             -          PF13855_full         -            1.5e-29  102.3  32.7   1.1e-10   41.2  11.0   3.5   1   1   2   3   3   3   3 -
g7133.t1             -          PF13855_full         -            1.8e-29  102.0  24.2   2.8e-14   52.9  13.4   2.6   1   1   1   2   2   2   2 -
g17043.t2            -          PF13855_full         -            8.8e-29   99.8  15.7   2.4e-16   59.6   9.8   2.7   1   1   1   2   2   2   2 -
g23028.t1            -          PF13855_full         -            1.1e-28   99.5  36.9   1.3e-11   44.2   0.9   5.4   3   2   1   5   5   5   3 -
g17043.t1            -          PF13855_full         -            1.4e-28   99.1  15.3   2.6e-16   59.5   9.5   2.6   1   1   1   2   2   2   2 -
g8877.t2             -          PF13855_full         -            6.1e-28   97.1   6.3     5e-17   61.8   2.2   2.3   1   1   1   2   2   2   2 -
g8877.t1             -          PF13855_full         -            1.5e-27   95.8   6.2   8.1e-17   61.1   2.2   2.3   1   1   1   2   2   2   2 -
g15069.t1            -          PF13855_full         -            2.4e-27   95.1  19.5   6.6e-15   54.9   5.7   2.5   1   1   1   2   2   2   2 -
g22988.t1            -          PF13855_full         -            5.1e-27   94.1   5.7   1.2e-14   54.1   3.4   2.5   1   1   1   2   2   2   2 -
g18845.t1            -          PF13855_full         -            3.2e-26   91.5  11.2   1.3e-16   60.4   5.6   2.8   2   1   1   3   3   2   2 -
g4663.t1             -          PF13855_full         -            5.1e-26   90.9  17.3   2.7e-12   46.5   0.7   3.4   1   1   2   3   3   3   3 -
g18981.t2            -          PF13855_full         -            5.7e-26   90.7   4.1   9.4e-13   47.9   0.4   4.1   1   1   2   3   3   3   3 -
g23521.t2            -          PF13855_full         -            1.5e-25   89.3  11.6   1.1e-13   51.0   0.9   3.0   1   1   2   3   3   3   3 -
g18981.t1            -          PF13855_full         -            2.1e-25   88.9   8.2   1.5e-12   47.3   0.3   3.9   1   1   2   3   3   3   3 -
g15919.t1            -          PF13855_full         -            1.6e-24   86.0   5.4   2.9e-13   49.6   0.6   2.3   1   1   1   2   2   2   2 -
g4624.t1             -          PF13855_full         -            2.4e-24   85.4  23.1   6.5e-15   54.9  11.9   2.5   1   1   1   2   2   2   2 -
g18591.t1            -          PF13855_full         -            2.5e-24   85.4   8.9   3.4e-12   46.1   1.0   2.1   1   1   1   2   2   2   2 -
g5119.t1             -          PF13855_full         -            3.6e-24   84.9   4.2   1.9e-18   66.4   0.4   2.0   1   1   1   2   2   2   2 -
g19907.t1            -          PF13855_full         -              2e-23   82.5  27.3   4.8e-10   39.2  10.8   3.4   1   1   2   3   3   3   3 -
g14529.t1            -          PF13855_full         -            4.8e-23   81.2  13.5     2e-14   53.4   2.2   3.2   2   1   1   3   3   3   2 -
g2543.t1             -          PF13855_full         -            5.1e-23   81.1  13.4   7.4e-19   67.7   6.7   1.8   1   1   1   2   2   2   2 -
