#                                                               --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
anno1.g2199.t1       -          PF13927_seed         -                  0 3158.8   0.0   3.8e-16   60.6   0.0  72.6  72   0   0  72  72  72  72 -
anno1.g7199.t1       -          PF13927_seed         -                  0 1072.7  73.5   2.3e-15   58.1   0.0  27.0  26   0   0  26  26  26  26 -
anno1.g20124.t1      -          PF13927_seed         -           5.3e-219  710.7 103.9   1.1e-13   52.8   0.7  21.4  21   0   0  21  21  21  21 -
anno1.g5174.t1       -          PF13927_seed         -           1.6e-170  555.3  35.0   4.3e-16   60.5   0.2  12.3  12   0   0  12  12  12  12 -
anno1.g20832.t1      -          PF13927_seed         -           7.8e-164  533.9  15.0   8.9e-17   62.7   0.0  11.7  11   0   0  11  11  11  11 -
anno1.g7197.t1       -          PF13927_seed         -           2.5e-155  506.6  19.4   2.3e-11   45.3   0.0  14.5  14   0   0  14  14  14  14 -
anno1.g1105.t1       -          PF13927_seed         -           6.6e-120  393.1  28.0   3.4e-16   60.8   1.0  10.0   9   0   0   9   9   9   9 -
anno1.g28987.t1      -          PF13927_seed         -           4.1e-119  390.6  48.0   1.4e-16   62.0   0.6   9.1  10   0   0  10  10   8   8 -
anno1.g7198.t1       -          PF13927_seed         -           4.1e-104  342.5  28.4   1.8e-13   52.1   0.2   8.7   8   0   0   8   8   8   8 -
anno1.g11785.t1      -          PF13927_seed         -              2e-98  324.3  24.9   4.8e-14   53.9   0.1  10.0  11   0   0  11  11   8   8 -
anno1.g5709.t1       -          PF13927_seed         -            2.9e-96  317.4  11.0   6.7e-17   63.1   0.2   8.3   8   0   0   8   8   7   7 -
anno1.g31618.t1      -          PF13927_seed         -            7.6e-96  316.0  21.6   9.9e-18   65.7   0.3   7.3   7   0   0   7   7   7   7 -
anno1.g17646.t1      -          PF13927_seed         -            1.2e-84  280.2  20.3   7.4e-14   53.3   0.9   7.4   7   0   0   7   7   6   6 -
anno1.g18239.t1      -          PF13927_seed         -            9.3e-77  254.9  22.3   3.2e-14   54.5   0.2   6.7   7   0   0   7   7   6   6 -
anno1.g20122.t1      -          PF13927_seed         -            1.2e-74  248.1  13.1   5.2e-12   47.4   0.0   9.2   9   0   0   9   9   8   7 -
anno1.g11721.t1      -          PF13927_seed         -              4e-73  243.2  15.4   1.1e-14   56.0   1.1   5.2   5   0   0   5   5   5   5 -
anno1.g33071.t1      -          PF13927_seed         -            1.4e-68  228.7   3.2   3.7e-16   60.7   0.0   4.9   5   0   0   5   5   4   4 -
anno1.g9315.t1       -          PF13927_seed         -            1.5e-67  225.4  21.6   2.2e-14   55.0   0.1   8.0   9   0   0   9   9   6   5 -
anno1.g16156.t1      -          PF13927_seed         -            4.5e-66  220.6   2.7   2.1e-13   51.9   0.0   6.7   6   0   0   6   6   6   6 -
anno1.g20562.t1      -          PF13927_seed         -            1.9e-65  218.6  23.3   5.7e-12   47.3   0.1   8.8   8   1   1   9   9   8   7 -
anno1.g27974.t1      -          PF13927_seed         -            1.5e-62  209.4   3.2   1.1e-11   46.4   0.0   6.6   6   0   0   6   6   6   5 -
anno1.g3601.t1       -          PF13927_seed         -            1.9e-58  196.2  11.5   4.9e-15   57.1   0.4   4.3   4   0   0   4   4   4   4 -
anno1.g25890.t1      -          PF13927_seed         -            1.1e-55  187.3  22.8   1.3e-11   46.1   0.1   7.7   7   0   0   7   7   7   6 -
anno1.g30490.t1      -          PF13927_seed         -            1.8e-55  186.6   9.7   8.8e-18   65.9   0.4   3.4   3   0   0   3   3   3   3 -
anno1.g27706.t1      -          PF13927_seed         -              4e-55  185.5   1.7   9.4e-18   65.8   0.1   4.5   4   0   0   4   4   4   4 -
anno1.g33078.t1      -          PF13927_seed         -            1.7e-53  180.3  11.9   1.9e-12   48.8   0.0   5.7   6   0   0   6   6   5   5 -
anno1.g34945.t1      -          PF13927_seed         -            1.9e-53  180.2   6.7   2.1e-11   45.5   0.6   7.2   7   0   0   7   7   6   5 -
anno1.g27085.t2      -          PF13927_seed         -            1.1e-52  177.7  19.5   1.3e-10   42.9   0.2   7.6   7   0   0   7   7   7   6 -
anno1.g8944.t1       -          PF13927_seed         -            1.6e-52  177.2   2.0   7.6e-14   53.3   0.0   5.2   5   0   0   5   5   5   4 -
anno1.g9294.t1       -          PF13927_seed         -            3.9e-51  172.8   0.0   6.4e-13   50.3   0.0   5.2   4   0   0   4   4   4   4 -
anno1.g10430.t1      -          PF13927_seed         -            4.9e-51  172.4   4.9   4.5e-17   63.6   0.1   3.6   3   0   0   3   3   3   3 -
anno1.g32505.t1      -          PF13927_seed         -            8.6e-51  171.7   4.4   8.5e-14   53.1   0.0   5.0   4   0   0   4   4   4   4 -
anno1.g23581.t1      -          PF13927_seed         -            2.5e-50  170.2   3.9   5.1e-13   50.6   0.3   5.0   5   0   0   5   5   4   4 -
anno1.g14401.t1      -          PF13927_seed         -              4e-50  169.5   3.4   4.5e-16   60.4   0.0   3.3   3   0   0   3   3   3   3 -
anno1.g32981.t1      -          PF13927_seed         -            1.4e-49  167.8  25.9   2.5e-11   45.2   0.1   8.0   8   0   0   8   8   7   6 -
anno1.g32976.t1      -          PF13927_seed         -            1.6e-49  167.6  18.1   5.4e-11   44.1   0.1   6.5   6   1   0   6   6   6   6 -
anno1.g30487.t1      -          PF13927_seed         -              2e-49  167.3  10.1   1.9e-13   52.0   0.1   4.7   4   0   0   4   4   4   4 -
anno1.g35696.t1      -          PF13927_seed         -            2.2e-49  167.1   2.4     7e-16   59.8   0.1   3.4   3   0   0   3   3   3   3 -
anno1.g28795.t1      -          PF13927_seed         -            2.5e-49  167.0   3.4   3.9e-15   57.4   0.0   3.2   3   0   0   3   3   3   3 -
anno1.g5326.t1       -          PF13927_seed         -            8.9e-49  165.2   1.7   1.5e-15   58.7   0.0   3.6   3   0   0   3   3   3   3 -
anno1.g18702.t1      -          PF13927_seed         -            1.3e-48  164.7   3.3     3e-12   48.2   0.0   5.1   5   0   0   5   5   4   4 -
anno1.g1126.t1       -          PF13927_seed         -            2.2e-48  163.9   5.4   2.7e-12   48.3   0.0   6.3   6   0   0   6   6   5   5 -
anno1.g35079.t1      -          PF13927_seed         -            2.4e-48  163.8   2.3     5e-17   63.5   0.2   3.3   3   0   0   3   3   3   3 -
anno1.g32191.t1      -          PF13927_seed         -            2.5e-48  163.8  10.8   1.3e-13   52.6   0.1   7.5   7   1   0   7   7   7   4 -
anno1.g36984.t1      -          PF13927_seed         -              3e-48  163.5   0.8   7.3e-18   66.2   0.1   3.7   3   0   0   3   3   3   3 -
anno1.g24057.t1      -          PF13927_seed         -            3.4e-48  163.3   4.8     2e-15   58.3   0.0   3.2   3   0   0   3   3   3   3 -
anno1.g33135.t1      -          PF13927_seed         -              4e-48  163.1  10.7     2e-15   58.4   0.2   4.9   4   1   0   4   4   4   4 -
anno1.g35913.t1      -          PF13927_seed         -            6.8e-48  162.4   0.3   1.4e-15   58.9   0.4   3.2   3   0   0   3   3   3   3 -
anno1.g22774.t1      -          PF13927_seed         -            6.9e-48  162.4  15.5   1.6e-16   61.8   0.1   6.8   6   0   0   6   6   6   5 -
anno1.g14407.t1      -          PF13927_seed         -            7.9e-48  162.2   3.2   7.3e-15   56.5   0.6   3.4   3   0   0   3   3   3   3 -
anno1.g5756.t1       -          PF13927_seed         -            9.6e-48  161.9   3.2   6.2e-17   63.2   0.1   3.8   3   0   0   3   3   3   3 -
anno1.g36364.t1      -          PF13927_seed         -            1.3e-47  161.5   5.8   1.1e-11   46.4   0.0   4.3   4   0   0   4   4   4   4 -
anno1.g39387.t1      -          PF13927_seed         -            1.6e-47  161.2  14.7   9.6e-13   49.7   0.3   5.4   5   0   0   5   5   5   5 -
anno1.g14405.t1      -          PF13927_seed         -            1.7e-47  161.1   0.9   2.7e-15   57.9   0.0   3.4   3   0   0   3   3   3   3 -
anno1.g14408.t1      -          PF13927_seed         -            2.2e-47  160.7   8.5   3.8e-16   60.6   0.1   3.3   3   0   0   3   3   3   3 -
anno1.g28886.t1      -          PF13927_seed         -            2.6e-47  160.5  12.0   9.4e-12   46.6   0.1   5.0   5   0   0   5   5   4   4 -
anno1.g27929.t1      -          PF13927_seed         -            2.7e-47  160.5   5.6   2.7e-15   57.9   0.7   4.2   4   0   0   4   4   4   3 -
anno1.g15442.t1      -          PF13927_seed         -            5.5e-47  159.5   0.3   6.7e-15   56.7   0.1   3.6   3   0   0   3   3   3   3 -
anno1.g15302.t1      -          PF13927_seed         -            8.3e-47  158.9   5.9   1.6e-16   61.8   0.7   4.2   4   0   0   4   4   3   3 -
anno1.g4030.t1       -          PF13927_seed         -            1.6e-46  158.0   3.2     2e-14   55.1   0.1   3.7   3   0   0   3   3   3   3 -
anno1.g28982.t1      -          PF13927_seed         -            1.8e-46  157.8   5.6   2.4e-15   58.1   0.0   3.3   3   0   0   3   3   3   3 -
anno1.g36038.t1      -          PF13927_seed         -            2.8e-46  157.2   4.0   4.1e-15   57.3   0.0   3.2   3   0   0   3   3   3   3 -
anno1.g754.t1        -          PF13927_seed         -            1.3e-45  155.0   2.7   9.5e-14   53.0   0.1   3.3   3   0   0   3   3   3   3 -
anno1.g11142.t1      -          PF13927_seed         -            1.7e-45  154.7   0.5   2.2e-14   55.0   0.0   5.8   5   0   0   5   5   4   3 -
anno1.g27397.t1      -          PF13927_seed         -            3.1e-45  153.8   5.5   1.3e-14   55.7   0.1   3.9   4   0   0   4   4   3   3 -
anno1.g15397.t1      -          PF13927_seed         -            3.4e-45  153.7   7.9   2.1e-14   55.1   0.0   3.8   4   0   0   4   4   3   3 -
anno1.g15394.t1      -          PF13927_seed         -            3.8e-45  153.6   5.0   3.8e-14   54.2   0.1   4.1   4   0   0   4   4   3   3 -
anno1.g5755.t1       -          PF13927_seed         -            4.5e-45  153.3   1.5   1.2e-15   59.0   0.1   3.6   3   0   0   3   3   3   3 -
anno1.g26407.t2      -          PF13927_seed         -            8.1e-45  152.5   7.0   5.5e-15   56.9   0.2   4.3   4   0   0   4   4   4   3 -
anno1.g17293.t1      -          PF13927_seed         -            8.3e-45  152.5   0.1   1.2e-14   55.9   0.0   3.7   3   0   0   3   3   3   3 -
anno1.g33214.t1      -          PF13927_seed         -            9.9e-45  152.2   1.1   2.4e-13   51.7   0.1   3.3   3   0   0   3   3   3   3 -
anno1.g35327.t1      -          PF13927_seed         -            1.1e-44  152.1   3.6   2.2e-14   55.0   0.2   3.7   3   0   0   3   3   3   3 -
anno1.g27396.t1      -          PF13927_seed         -            1.5e-44  151.6   8.9   1.4e-13   52.5   0.1   4.1   4   0   0   4   4   3   3 -
anno1.g32192.t1      -          PF13927_seed         -            1.8e-44  151.4   9.7   2.3e-15   58.1   0.5   5.6   5   0   0   5   5   5   4 -
anno1.g10334.t1      -          PF13927_seed         -            2.4e-44  151.0   5.7   3.1e-14   54.5   0.4   3.7   3   0   0   3   3   3   3 -
anno1.g14708.t1      -          PF13927_seed         -            3.9e-44  150.3   0.0   8.7e-17   62.7   0.0   4.0   4   0   0   4   4   3   3 -
anno1.g35326.t1      -          PF13927_seed         -            6.8e-44  149.6   6.6   8.6e-15   56.3   0.1   3.8   3   0   0   3   3   3   3 -
anno1.g35683.t1      -          PF13927_seed         -            1.5e-43  148.5   0.4   4.4e-15   57.2   0.1   3.5   3   0   0   3   3   3   3 -
anno1.g27063.t1      -          PF13927_seed         -            2.8e-43  147.6   5.9   4.6e-13   50.8   0.1   4.0   4   0   0   4   4   3   3 -
anno1.g36130.t2      -          PF13927_seed         -            4.1e-43  147.1   7.3   2.3e-14   54.9   0.3   3.2   3   0   0   3   3   3   3 -
anno1.g24714.t1      -          PF13927_seed         -            7.7e-43  146.2   1.2   3.5e-14   54.4   0.0   3.6   3   0   0   3   3   3   3 -
anno1.g35914.t1      -          PF13927_seed         -            1.3e-42  145.5   5.3   8.9e-15   56.3   0.4   3.6   3   0   0   3   3   3   3 -
anno1.g10157.t1      -          PF13927_seed         -              2e-42  144.9   1.3   9.2e-13   49.8   0.0   4.0   3   1   0   3   3   3   3 -
anno1.g37842.t1      -          PF13927_seed         -            2.3e-42  144.7   9.1   2.2e-14   55.0   0.8   3.1   3   0   0   3   3   3   3 -
anno1.g4026.t1       -          PF13927_seed         -            1.2e-41  142.3   2.1   2.3e-12   48.5   0.0   3.7   3   0   0   3   3   3   3 -
anno1.g35246.t1      -          PF13927_seed         -            1.4e-41  142.2  19.1   9.1e-12   46.6   0.6   6.6   5   2   0   5   5   5   5 -
anno1.g3128.t1       -          PF13927_seed         -            1.7e-41  141.9   0.0   6.2e-11   43.9   0.0   5.2   4   0   0   4   4   4   4 -
anno1.g37575.t1      -          PF13927_seed         -              2e-41  141.7   4.8   2.8e-13   51.5   0.0   5.2   5   1   1   6   6   4   3 -
anno1.g37938.t1      -          PF13927_seed         -            2.2e-41  141.5   0.4     2e-13   51.9   0.0   3.3   3   0   0   3   3   3   3 -
anno1.g27062.t1      -          PF13927_seed         -            3.7e-41  140.8   7.0   9.3e-14   53.0   0.0   4.0   4   0   0   4   4   3   3 -
anno1.g4024.t1       -          PF13927_seed         -              4e-41  140.7   8.5   2.9e-13   51.4   0.1   4.0   4   0   0   4   4   3   3 -
anno1.g39135.t1      -          PF13927_seed         -            2.8e-40  138.0   8.5   9.5e-12   46.6   0.2   4.3   4   0   0   4   4   4   4 -
anno1.g12900.t1      -          PF13927_seed         -            6.2e-40  136.9   3.6     5e-15   57.1   0.1   4.5   5   0   0   5   5   3   3 -
anno1.g23359.t1      -          PF13927_seed         -            6.5e-40  136.8   2.5   1.2e-16   62.2   0.2   3.3   3   0   0   3   3   3   3 -
anno1.g23035.t1      -          PF13927_seed         -            7.3e-40  136.6   5.3   4.6e-12   47.6   0.1   4.5   4   0   0   4   4   4   4 -
anno1.g9822.t1       -          PF13927_seed         -            9.3e-40  136.3   0.4   2.8e-13   51.5   0.0   3.4   3   0   0   3   3   3   3 -
anno1.g26717.t1      -          PF13927_seed         -            1.3e-39  135.8   5.1   1.5e-12   49.2   0.0   3.2   3   0   0   3   3   3   3 -
anno1.g18681.t1      -          PF13927_seed         -            2.8e-39  134.8  22.0     6e-09   37.6   0.5   8.1   8   0   0   8   8   7   6 -
anno1.g36079.t1      -          PF13927_seed         -            3.1e-39  134.6   3.2   3.8e-15   57.5   0.0   3.5   3   0   0   3   3   3   3 -
anno1.g29198.t1      -          PF13927_seed         -            4.4e-39  134.2   1.7     3e-18   67.4   0.1   2.7   2   0   0   2   2   2   2 -
anno1.g27460.t2      -          PF13927_seed         -            1.7e-38  132.3   9.3   2.5e-10   42.0   0.2   4.2   4   0   0   4   4   4   4 -
anno1.g1749.t1       -          PF13927_seed         -            3.3e-38  131.3   0.1   2.8e-11   45.1   0.0   5.0   4   0   0   4   4   4   4 -
anno1.g28340.t1      -          PF13927_seed         -            3.6e-38  131.2   0.4   4.2e-15   57.3   0.0   3.2   3   0   0   3   3   3   3 -
anno1.g38838.t1      -          PF13927_seed         -            1.4e-37  129.4   2.8   1.4e-13   52.4   0.4   3.4   3   0   0   3   3   3   3 -
anno1.g19647.t1      -          PF13927_seed         -            2.5e-37  128.5   0.8   2.1e-11   45.5   0.1   3.5   3   0   0   3   3   3   3 -
anno1.g6306.t1       -          PF13927_seed         -            9.6e-37  126.7   6.0   2.1e-15   58.3   0.1   4.0   4   0   0   4   4   3   3 -
anno1.g36580.t1      -          PF13927_seed         -            2.5e-36  125.3   5.6   5.8e-12   47.2   0.3   3.1   3   0   0   3   3   3   3 -
anno1.g21977.t1      -          PF13927_seed         -            5.7e-36  124.2  11.7   2.1e-15   58.2   1.0   4.3   5   0   0   5   5   3   3 -
anno1.g18744.t1      -          PF13927_seed         -            1.2e-35  123.2   0.0   2.8e-14   54.7   0.0   3.2   3   0   0   3   3   3   3 -
anno1.g33079.t1      -          PF13927_seed         -            1.4e-35  122.9   3.8   1.8e-12   48.9   0.1   3.5   3   0   0   3   3   3   3 -
anno1.g20419.t1      -          PF13927_seed         -            3.7e-35  121.6   3.3   3.6e-14   54.3   0.5   3.5   3   0   0   3   3   3   3 -
anno1.g31615.t1      -          PF13927_seed         -            6.7e-35  120.7   0.0   4.1e-15   57.3   0.0   3.7   4   0   0   4   4   3   3 -
anno1.g41854.t1      -          PF13927_seed         -            7.1e-35  120.7   8.5   6.9e-18   66.2   2.0   2.1   2   0   0   2   2   2   2 -
anno1.g14246.t1      -          PF13927_seed         -            1.2e-34  119.9  10.6   3.1e-11   44.9   0.9   4.2   4   0   0   4   4   3   3 -
anno1.g16944.t1      -          PF13927_seed         -              4e-34  118.3   2.6   4.5e-14   54.0   0.0   3.6   3   1   0   3   3   3   3 -
anno1.g4764.t1       -          PF13927_seed         -            4.6e-34  118.1   0.1   6.4e-12   47.1   0.0   3.7   3   1   0   3   3   3   3 -
anno1.g29512.t1      -          PF13927_seed         -            9.1e-34  117.1   1.1   4.2e-16   60.5   0.1   3.4   3   0   0   3   3   3   2 -
anno1.g573.t1        -          PF13927_seed         -            1.6e-33  116.3   0.0   6.3e-12   47.1   0.0   3.8   3   0   0   3   3   3   3 -
anno1.g33612.t1      -          PF13927_seed         -            4.8e-33  114.8   0.1   6.8e-16   59.8   0.0   2.3   2   0   0   2   2   2   2 -
anno1.g20876.t1      -          PF13927_seed         -              6e-33  114.5  16.1   4.6e-11   44.4   1.9   5.0   5   0   0   5   5   4   3 -
anno1.g20123.t1      -          PF13927_seed         -            7.1e-33  114.2   9.9   1.3e-15   59.0   0.4   4.1   3   1   0   3   3   3   3 -
anno1.g14075.t1      -          PF13927_seed         -              1e-32  113.7   1.0   4.5e-10   41.2   0.0   3.4   3   0   0   3   3   3   3 -
anno1.g26060.t1      -          PF13927_seed         -            1.8e-32  113.0   4.7   2.2e-16   61.4   0.5   2.8   3   0   0   3   3   2   2 -
anno1.g20565.t1      -          PF13927_seed         -            6.2e-32  111.2   6.9   8.6e-11   43.5   0.0   4.4   4   0   0   4   4   4   4 -
anno1.g17020.t1      -          PF13927_seed         -            8.7e-32  110.8  10.7   6.4e-11   43.9   0.3   3.8   3   0   0   3   3   3   3 -
anno1.g2780.t1       -          PF13927_seed         -            1.7e-31  109.8   0.6   1.1e-09   39.9   0.1   3.6   3   0   0   3   3   3   3 -
anno1.g16134.t2      -          PF13927_seed         -            7.6e-31  107.8   2.2   4.6e-16   60.4   0.0   3.2   3   0   0   3   3   2   2 -
anno1.g1100.t1       -          PF13927_seed         -            1.1e-30  107.2  11.9   6.8e-15   56.6   2.6   3.1   3   0   0   3   3   2   2 -
anno1.g28132.t1      -          PF13927_seed         -            1.1e-30  107.2   0.0   2.1e-08   35.8   0.0   6.2   6   0   0   6   6   5   4 -
anno1.g35962.t1      -          PF13927_seed         -            2.2e-30  106.3   1.3   1.8e-15   58.5   0.1   2.3   2   0   0   2   2   2   2 -
anno1.g38594.t1      -          PF13927_seed         -              4e-30  105.4   1.1   5.9e-15   56.8   0.1   2.1   2   0   0   2   2   2   2 -
anno1.g38661.t1      -          PF13927_seed         -              7e-30  104.7   0.1   1.9e-14   55.2   0.0   2.2   2   0   0   2   2   2   2 -
anno1.g8640.t1       -          PF13927_seed         -            7.6e-30  104.5   0.1   1.9e-11   45.6   0.0   4.3   3   1   0   3   3   3   3 -
anno1.g42018.t1      -          PF13927_seed         -            7.6e-30  104.5  10.4   8.1e-16   59.6   0.0   4.2   5   0   0   5   5   2   2 -
anno1.g15303.t1      -          PF13927_seed         -            7.9e-30  104.5   3.1   3.1e-15   57.7   0.0   4.0   4   0   0   4   4   3   2 -
anno1.g39384.t1      -          PF13927_seed         -            1.7e-29  103.5   0.5   1.8e-15   58.5   0.0   2.3   2   0   0   2   2   2   2 -
anno1.g40745.t1      -          PF13927_seed         -            1.7e-29  103.4   0.3   1.6e-13   52.3   0.0   2.2   2   0   0   2   2   2   2 -
anno1.g18980.t1      -          PF13927_seed         -            1.9e-29  103.3   3.9   0.00018   23.2   0.0   6.6   6   1   0   6   6   6   4 -
anno1.g2982.t1       -          PF13927_seed         -            4.3e-29  102.1   0.4   1.1e-10   43.1   0.0   3.5   3   0   0   3   3   3   3 -
anno1.g33052.t1      -          PF13927_seed         -            4.3e-29  102.1   2.6   2.9e-15   57.8   0.3   2.7   2   0   0   2   2   2   2 -
anno1.g36055.t1      -          PF13927_seed         -            4.5e-29  102.1   3.9   4.9e-14   53.9   0.1   4.0   4   0   0   4   4   3   2 -
anno1.g21917.t1      -          PF13927_seed         -            6.6e-29  101.5   4.8     3e-14   54.6   0.4   3.3   3   0   0   3   3   3   3 -
anno1.g16948.t1      -          PF13927_seed         -            7.6e-29  101.3   5.2   1.9e-11   45.6   0.0   3.8   3   0   0   3   3   3   3 -
anno1.g4522.t1       -          PF13927_seed         -            1.5e-28  100.4   1.3   3.5e-11   44.7   0.0   3.5   3   0   0   3   3   3   3 -
anno1.g24054.t1      -          PF13927_seed         -            1.6e-28  100.3   5.0   4.3e-15   57.3   0.5   2.9   3   0   0   3   3   2   2 -
anno1.g42202.t2      -          PF13927_seed         -            2.2e-28   99.9   8.1   3.9e-16   60.6   0.3   4.4   4   0   0   4   4   2   2 -
