#                                                               --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
anno1.g23091.t1      -          PF13895_full         -                  0 2679.2   0.0   7.7e-16   59.0   0.0  73.6  11   8  58  73  73  73  72 -
anno1.g7845.t1       -          PF13895_full         -                  0 1804.6 206.0   3.3e-16   60.2   1.0  48.5   6   5  34  48  48  48  47 -
anno1.g27950.t2      -          PF13895_full         -           1.9e-173  571.8  49.2   1.2e-18   68.2   0.9  11.4   2   2   9  11  11  11  11 -
anno1.g594.t1        -          PF13895_full         -           1.4e-149  494.1  18.3   1.3e-14   55.0   0.1  11.5   1   1  10  11  11  11  11 -
anno1.g11977.t1      -          PF13895_full         -           2.5e-145  480.3  32.2   2.1e-15   57.6   0.1  12.1   1   1  11  12  12  12  12 -
anno1.g23784.t1      -          PF13895_full         -           4.9e-134  443.6 104.1   5.9e-12   46.4   0.1  15.1   2   1  13  15  15  14  14 -
anno1.g23794.t1      -          PF13895_full         -           1.2e-127  422.8  91.3   7.6e-13   49.3   0.5  13.9   2   1  12  14  14  13  13 -
anno1.g23797.t1      -          PF13895_full         -           1.3e-112  373.9  92.9   1.1e-11   45.5   3.7  14.3   1   1  13  14  14  14  13 -
anno1.g23796.t1      -          PF13895_full         -           7.1e-106  351.9  86.8   3.4e-13   50.4   1.2  12.0   2   1  10  12  12  11  11 -
anno1.g23795.t1      -          PF13895_full         -           4.9e-104  346.0  77.9     5e-13   49.8   1.2  11.6   2   1   9  12  12  11  11 -
anno1.g3647.t2       -          PF13895_full         -           4.8e-103  342.8  81.2   2.5e-13   50.8   0.5  12.9   2   1  11  13  13  13  11 -
anno1.g23820.t1      -          PF13895_full         -            5.8e-98  326.2  30.9   5.6e-15   56.2   0.9   9.9   1   1   8   9   9   9   9 -
anno1.g23738.t1      -          PF13895_full         -            5.7e-93  309.9  33.0   7.1e-15   55.9   2.5   7.6   1   1   6   7   7   7   7 -
anno1.g23802.t1      -          PF13895_full         -            4.6e-89  297.3  41.7   8.7e-21   75.1   1.7   9.1   1   1   8   9   9   8   8 -
anno1.g15758.t1      -          PF13895_full         -            8.6e-88  293.1  16.8   5.9e-11   43.1   0.0  13.7   3   3   9  12  12  12  12 -
anno1.g30484.t1      -          PF13895_full         -            9.8e-87  289.7  45.6   2.7e-16   60.5   3.0   8.8   2   2   6   8   8   8   8 -
anno1.g21922.t1      -          PF13895_full         -            5.1e-86  287.3  33.6   3.5e-13   50.3   0.0  10.9   3   1   6  10  10   9   8 -
anno1.g27519.t2      -          PF13895_full         -            1.5e-80  269.5  22.5   1.5e-16   61.3   4.1   7.1   1   1   6   7   7   7   7 -
anno1.g10973.t1      -          PF13895_full         -              1e-79  266.8  36.1     1e-14   55.3   0.4  12.3   5   4   7  12  12  12  11 -
anno1.g23739.t1      -          PF13895_full         -            3.7e-79  265.0  17.0   1.5e-16   61.3   1.7   6.1   1   1   5   6   6   6   5 -
anno1.g12858.t1      -          PF13895_full         -            3.6e-77  258.6  42.2   2.4e-12   47.6   1.3   8.1   1   1   7   8   8   8   8 -
anno1.g23800.t1      -          PF13895_full         -              6e-73  244.8  48.1     2e-12   47.9   1.0   7.2   1   1   6   7   7   7   7 -
anno1.g27521.t1      -          PF13895_full         -            2.9e-71  239.3   2.2     4e-14   53.4   0.2   6.1   1   1   5   6   6   6   6 -
anno1.g10974.t1      -          PF13895_full         -            1.3e-70  237.3  28.7   1.6e-11   45.0   0.1  11.0   3   3   7  10  10  10   8 -
anno1.g27991.t2      -          PF13895_full         -            2.2e-68  230.0   0.3   1.9e-11   44.7   0.0   8.3   1   1   7   8   8   8   8 -
anno1.g7846.t1       -          PF13895_full         -              3e-68  229.5   8.0     7e-13   49.4   0.4   6.2   2   1   3   6   6   6   6 -
anno1.g16591.t1      -          PF13895_full         -            2.8e-67  226.4   6.8     6e-14   52.8   0.3   8.8   1   1   5   6   6   6   6 -
anno1.g31566.t1      -          PF13895_full         -            1.5e-66  224.0  23.3   4.9e-14   53.1   0.0   6.5   1   1   5   6   6   6   6 -
anno1.g27693.t1      -          PF13895_full         -            8.5e-66  221.5  35.9   1.1e-10   42.2   0.5   7.2   1   1   6   7   7   7   7 -
anno1.g13806.t1      -          PF13895_full         -              1e-65  221.3  14.7   1.8e-14   54.5   0.6   7.4   2   2   5   7   7   7   6 -
anno1.g8723.t1       -          PF13895_full         -            7.3e-65  218.5   1.8   1.4e-15   58.1   0.2   4.6   1   1   3   4   4   4   4 -
anno1.g17187.t1      -          PF13895_full         -            3.3e-63  213.1  11.5   3.6e-15   56.8   0.4   6.5   1   1   5   6   6   6   6 -
anno1.g11412.t1      -          PF13895_full         -              3e-61  206.8   8.9   6.5e-14   52.7   0.0   7.7   3   2   4   7   7   6   6 -
anno1.g15759.t1      -          PF13895_full         -            5.8e-60  202.6  11.5   4.4e-10   40.3   0.0  10.2   4   2   5   9   9   9   7 -
anno1.g12886.t2      -          PF13895_full         -            3.1e-54  183.9  24.5   2.5e-15   57.3   0.5   4.3   1   1   3   4   4   4   4 -
anno1.g5170.t1       -          PF13895_full         -            2.1e-53  181.2   4.8   2.4e-15   57.4   0.6   4.3   1   1   3   4   4   4   4 -
anno1.g9250.t1       -          PF13895_full         -            6.8e-53  179.6   2.7   7.2e-15   55.8   0.0   6.2   2   1   4   6   6   5   4 -
anno1.g27955.t1      -          PF13895_full         -            9.9e-53  179.0   5.2     3e-13   50.6   0.1   6.2   1   1   5   6   6   6   5 -
anno1.g2412.t1       -          PF13895_full         -            2.8e-51  174.3  10.7   5.1e-16   59.6   0.3   4.3   1   1   3   4   4   4   4 -
anno1.g2111.t1       -          PF13895_full         -              5e-51  173.5  41.2   2.6e-15   57.3   1.4   6.5   4   1   3   7   7   4   4 -
anno1.g28839.t1      -          PF13895_full         -            9.5e-51  172.6   5.2   2.3e-16   60.7   0.1   4.5   1   1   3   4   4   4   4 -
anno1.g31594.t1      -          PF13895_full         -            1.2e-50  172.3  34.2   4.7e-10   40.2   4.9   6.5   1   1   5   6   6   6   5 -
anno1.g27952.t1      -          PF13895_full         -            2.4e-50  171.3   7.0   2.6e-13   50.8   0.3   6.1   3   3   3   6   6   6   5 -
anno1.g23735.t1      -          PF13895_full         -            2.8e-50  171.1  10.3   7.3e-15   55.8   0.2   5.5   1   1   4   5   5   5   5 -
anno1.g15757.t1      -          PF13895_full         -            8.4e-49  166.3   0.6     3e-06   27.8   0.1   7.1   4   3   3   7   7   7   7 -
anno1.g15766.t1      -          PF13895_full         -            1.1e-47  162.7  14.6     9e-11   42.5   0.0   8.2   2   2   5   7   7   7   6 -
anno1.g28845.t1      -          PF13895_full         -            1.3e-47  162.4   0.8   4.7e-11   43.4   0.0   4.4   1   1   3   4   4   4   4 -
anno1.g27951.t1      -          PF13895_full         -            3.1e-47  161.1   1.7   1.8e-12   48.1   0.0   6.4   2   2   4   6   6   6   5 -
anno1.g17719.t1      -          PF13895_full         -            1.1e-42  146.4   1.1   2.9e-17   63.6   1.7   3.3   1   1   2   3   3   3   3 -
anno1.g3645.t1       -          PF13895_full         -            4.8e-42  144.3  37.9   6.9e-11   42.9   4.1   6.5   1   1   5   6   6   6   5 -
anno1.g6906.t1       -          PF13895_full         -            8.5e-42  143.4   4.2   1.7e-09   38.3   0.1   5.1   1   1   4   5   5   5   5 -
anno1.g21342.t1      -          PF13895_full         -            2.7e-41  141.8  12.6   6.1e-16   59.3   1.0   3.7   2   1   2   4   4   3   3 -
anno1.g16103.t1      -          PF13895_full         -            2.8e-41  141.8   5.2   2.3e-14   54.2   1.3   3.7   2   1   2   4   4   3   3 -
anno1.g18247.t1      -          PF13895_full         -              4e-41  141.3   6.9   2.5e-15   57.3   0.1   3.2   1   1   2   3   3   3   3 -
anno1.g16695.t1      -          PF13895_full         -            1.3e-40  139.6   0.2   4.9e-18   66.1   0.0   3.2   1   1   2   3   3   3   3 -
anno1.g13374.t1      -          PF13895_full         -            1.6e-40  139.3   5.6   5.3e-14   53.0   0.0   3.4   1   1   2   3   3   3   3 -
anno1.g18248.t1      -          PF13895_full         -            2.3e-40  138.8   8.1   1.3e-15   58.3   0.1   3.3   1   1   1   3   3   3   3 -
anno1.g18245.t1      -          PF13895_full         -            2.9e-40  138.4   9.8     1e-15   58.6   0.1   3.4   1   1   2   3   3   3   3 -
anno1.g2045.t1       -          PF13895_full         -            5.2e-40  137.6   8.9     4e-13   50.2   0.4   3.2   2   1   1   3   3   3   3 -
anno1.g15662.t1      -          PF13895_full         -            9.9e-40  136.7   0.0     4e-16   59.9   0.3   4.8   1   1   2   4   4   4   4 -
anno1.g21117.t1      -          PF13895_full         -            2.6e-39  135.4   6.0   2.9e-14   53.9   0.1   3.2   1   1   2   3   3   3   3 -
anno1.g23808.t1      -          PF13895_full         -            2.3e-38  132.3  14.0   6.7e-12   46.2   0.9   4.5   1   1   3   4   4   4   4 -
anno1.g31604.t1      -          PF13895_full         -            2.5e-38  132.1   7.5   5.3e-15   56.3   0.0   5.3   1   1   4   5   5   5   4 -
anno1.g13373.t1      -          PF13895_full         -              5e-38  131.2  10.6     1e-12   48.8   0.0   3.4   1   1   2   3   3   3   3 -
anno1.g13366.t1      -          PF13895_full         -            2.1e-37  129.2   7.8     2e-12   47.9   0.0   3.2   1   1   2   3   3   3   3 -
anno1.g7262.t1       -          PF13895_full         -            1.4e-36  126.5   0.0   3.8e-20   73.0   0.0   2.4   1   1   1   2   2   2   2 -
anno1.g31603.t2      -          PF13895_full         -            3.2e-36  125.3  15.5   7.4e-11   42.8   0.0   5.3   1   1   4   5   5   5   5 -
anno1.g1768.t1       -          PF13895_full         -              8e-36  124.0   8.6   8.4e-16   58.9   0.9   3.6   1   1   2   3   3   3   3 -
anno1.g12917.t1      -          PF13895_full         -            1.7e-35  122.9   0.3   0.00015   22.2   0.0   6.1   3   3   3   6   6   6   6 -
anno1.g18246.t1      -          PF13895_full         -            1.8e-35  122.9   7.5   2.1e-10   41.3   0.0   4.2   1   1   3   4   4   4   4 -
anno1.g23563.t1      -          PF13895_full         -            2.6e-35  122.4   9.7     1e-11   45.6   0.1   5.7   2   1   3   5   5   5   4 -
anno1.g26670.t1      -          PF13895_full         -            2.6e-35  122.4   4.2   8.3e-15   55.6   1.6   4.3   1   1   2   4   4   3   3 -
anno1.g25822.t1      -          PF13895_full         -            7.5e-35  120.8  19.3   3.4e-21   76.4   1.2   3.5   2   1   2   4   4   3   3 -
anno1.g25825.t1      -          PF13895_full         -            1.4e-34  120.0  15.2   3.4e-21   76.4   1.5   3.5   2   1   2   4   4   3   3 -
anno1.g1687.t1       -          PF13895_full         -            1.7e-34  119.7   0.2   1.1e-11   45.5   0.0   3.1   1   1   2   3   3   3   3 -
anno1.g27808.t1      -          PF13895_full         -            1.8e-34  119.6  11.8   1.2e-16   61.6   0.5   3.6   2   1   1   4   4   3   3 -
anno1.g17811.t1      -          PF13895_full         -            3.5e-34  118.7  10.3   5.5e-14   53.0   0.1   3.3   1   1   2   3   3   3   3 -
anno1.g17897.t1      -          PF13895_full         -            3.2e-33  115.5   0.3   1.4e-11   45.1   0.0   3.3   1   1   2   3   3   3   3 -
anno1.g15726.t1      -          PF13895_full         -            4.7e-33  115.0   1.0   1.5e-13   51.5   0.0   3.3   1   1   2   3   3   3   3 -
anno1.g16316.t1      -          PF13895_full         -            5.2e-33  114.9   0.6   4.8e-11   43.4   0.0   3.3   1   1   2   3   3   3   3 -
anno1.g7345.t1       -          PF13895_full         -            8.2e-33  114.2   4.5   1.8e-14   54.6   0.1   3.5   1   1   1   3   3   3   2 -
anno1.g25824.t1      -          PF13895_full         -            8.6e-33  114.2  21.2   5.5e-21   75.8   1.0   4.7   3   2   2   6   6   3   3 -
anno1.g19598.t2      -          PF13895_full         -            9.5e-33  114.0  11.5   3.2e-11   44.0   0.4   4.0   1   1   3   4   4   4   3 -
anno1.g6932.t1       -          PF13895_full         -            1.2e-32  113.7   0.5     5e-12   46.6   0.1   3.2   1   1   2   3   3   3   3 -
anno1.g1776.t1       -          PF13895_full         -            1.5e-32  113.4   1.1   4.3e-13   50.0   0.0   3.8   2   2   1   3   3   3   3 -
anno1.g660.t1        -          PF13895_full         -            1.8e-32  113.1   3.9   2.2e-13   51.0   0.4   3.5   1   1   2   3   3   3   3 -
anno1.g16169.t1      -          PF13895_full         -            3.1e-32  112.4   0.4   2.6e-11   44.2   0.0   3.4   1   1   2   3   3   3   3 -
anno1.g17900.t1      -          PF13895_full         -            7.9e-32  111.0   3.6   2.5e-14   54.1   2.2   3.8   2   1   2   4   4   3   3 -
anno1.g16303.t1      -          PF13895_full         -            8.9e-32  110.8   0.2     7e-11   42.9   0.0   3.3   1   1   2   3   3   3   3 -
anno1.g17574.t1      -          PF13895_full         -            9.7e-32  110.7   3.0   1.8e-11   44.8   0.0   3.7   1   1   3   4   4   3   3 -
anno1.g30282.t1      -          PF13895_full         -            1.9e-31  109.8   9.8   7.7e-12   46.0   3.3   3.2   1   1   2   3   3   3   3 -
anno1.g17898.t1      -          PF13895_full         -            2.3e-31  109.5   3.7   9.5e-14   52.2   0.6   3.8   2   1   2   4   4   3   3 -
anno1.g15863.t1      -          PF13895_full         -            3.6e-31  108.9   0.1     1e-10   42.3   0.0   3.3   1   1   2   3   3   3   3 -
anno1.g4803.t1       -          PF13895_full         -              5e-31  108.4  13.1   9.2e-14   52.2   3.2   3.3   1   1   2   3   3   3   3 -
anno1.g13003.t1      -          PF13895_full         -            7.4e-31  107.9   1.3   1.1e-18   68.3   0.3   3.0   1   1   1   2   2   2   2 -
anno1.g16193.t2      -          PF13895_full         -            1.7e-30  106.7  19.6     3e-10   40.8   2.1   5.7   4   1   2   6   6   4   4 -
anno1.g25821.t1      -          PF13895_full         -            4.1e-30  105.5   8.2   1.9e-18   67.5   0.5   3.3   2   1   1   3   3   3   3 -
anno1.g7261.t1       -          PF13895_full         -            4.9e-30  105.2   1.2   6.2e-17   62.6   0.3   2.2   1   1   1   2   2   2   2 -
anno1.g9664.t1       -          PF13895_full         -            2.1e-29  103.1   0.0   1.8e-13   51.3   0.0   3.1   1   1   1   2   2   2   2 -
anno1.g18573.t1      -          PF13895_full         -            4.7e-29  102.0   1.8   1.2e-11   45.4   0.1   3.2   1   1   2   3   3   3   3 -
anno1.g9221.t1       -          PF13895_full         -            5.7e-29  101.7  10.5     2e-09   38.1   2.8   4.9   2   1   2   4   4   4   3 -
anno1.g2032.t1       -          PF13895_full         -            5.8e-29  101.7   0.3   1.8e-15   57.8   0.1   3.0   1   1   1   2   2   2   2 -
anno1.g3643.t1       -          PF13895_full         -              6e-29  101.6  15.5   2.6e-10   41.0   0.1   4.9   2   1   3   5   5   5   3 -
anno1.g23798.t1      -          PF13895_full         -            6.2e-29  101.6  24.8   2.4e-10   41.1   6.0   3.5   1   1   2   3   3   3   3 -
