Species	Pfam_domains_compared	Isoform_ID
a_hyactintus	PF00560_ PF07723_ PF12799_ PF13306_ PF13516_ PF13855_ PF14580	anno1.g30312.t1
a_hyactintus	PF00560_ PF07723_ PF12799_ PF13306_ PF13516_ PF13855_ PF14580	anno1.g16212.t1
a_hyactintus	PF00560_ PF07723_ PF12799_ PF13306_ PF13516_ PF13855_ PF14580	anno1.g21034.t1
a_hyactintus	PF00560_ PF07723_ PF12799_ PF13306_ PF13516_ PF13855_ PF14580	anno1.g21375.t1
a_hyactintus	PF00560_ PF07723_ PF12799_ PF13306_ PF13516_ PF13855_ PF14580	anno1.g22394.t1
a_hyactintus	PF00560_ PF07723_ PF12799_ PF13306_ PF13516_ PF13855_ PF14580	anno1.g250.t1
a_hyactintus	PF00560_ PF07723_ PF12799_ PF13306_ PF13516_ PF13855_ PF14580	anno1.g4604.t1
a_hyactintus	PF00560_ PF07723_ PF12799_ PF13306_ PF13516_ PF13855_ PF14580	anno1.g9278.t1
a_hyactintus	PF00560_ PF07723_ PF12799_ PF13306_ PF13516_ PF13855_ PF14580	anno1.g25560.t1
a_hyactintus	PF00560_ PF07723_ PF12799_ PF13306_ PF13516_ PF13855_ PF14580	anno1.g18535.t1
a_hyactintus	PF00560_ PF07723_ PF12799_ PF13306_ PF13516_ PF13855_ PF14580	anno1.g25561.t1
a_hyactintus	PF00560_ PF07723_ PF12799_ PF13306_ PF13516_ PF13855_ PF14580	anno1.g18900.t1
a_hyactintus	PF00560_ PF07723_ PF12799_ PF13306_ PF13516_ PF13855_ PF14580	anno1.g23296.t1
