#                                                               --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
g737.t1              -          PF00047_full         -                  0 2369.3   0.0   1.2e-17   65.3   0.0  73.2  18  14  53  73  73  73  71 -
g15993.t2            -          PF00047_full         -             6e-298  978.7 103.2   4.2e-12   47.2   0.4  28.7   5   3  23  29  29  29  27 -
g15993.t1            -          PF00047_full         -           5.5e-252  828.9  97.2   3.4e-12   47.5   0.4  24.8   4   2  19  25  25  25  23 -
g26710.t1            -          PF00047_full         -           5.6e-151  499.8  29.1   2.8e-14   54.3   0.1  12.1   1   1  11  12  12  12  12 -
g26710.t2            -          PF00047_full         -           1.9e-150  498.1  28.8   2.9e-14   54.2   0.1  12.2   1   1  11  12  12  12  12 -
g10447.t1            -          PF00047_full         -           1.5e-139  462.5  64.9   1.7e-13   51.7   0.3  13.1   1   1  11  13  13  13  12 -
g15994.t1            -          PF00047_full         -           6.4e-138  457.2  53.9   1.1e-13   52.4   0.1  14.2   1   1  12  14  14  14  14 -
g9116.t1             -          PF00047_full         -             5e-131  434.7  16.8   8.1e-13   49.5   0.0  11.5   1   1  10  11  11  11  11 -
g7723.t1             -          PF00047_full         -           3.9e-124  412.3  45.9   1.2e-14   55.5   0.0  12.9   2   2  10  12  12  12  12 -
g10446.t1            -          PF00047_full         -           8.8e-103  342.7  40.9   5.7e-14   53.3   0.1  10.2   1   1   8  10  10  10  10 -
g20821.t1            -          PF00047_full         -            8.1e-96  320.0  51.7   6.9e-12   46.5   0.2  15.3   6   5   9  15  15  14  13 -
g8490.t1             -          PF00047_full         -            7.6e-90  300.5  38.7   2.8e-14   54.3   1.1   8.6   2   2   6   8   8   8   8 -
g30161.t1            -          PF00047_full         -            4.4e-89  298.1  30.6   6.1e-13   49.9   0.2   9.8   2   1   8  10  10   9   9 -
g30142.t1            -          PF00047_full         -            2.5e-77  259.8  34.3   5.9e-18   66.3   2.3   9.5   1   1   8   9   9   9   8 -
g3381.t1             -          PF00047_full         -            3.3e-76  256.1  15.7   4.7e-14   53.5   1.8   7.1   2   2   5   7   7   7   6 -
g20822.t1            -          PF00047_full         -            3.4e-71  239.8  32.1   1.5e-10   42.2   0.0  10.7   2   2   8  10  10  10   9 -
g12420.t1            -          PF00047_full         -              5e-71  239.2  42.4   2.2e-14   54.6   1.7   6.0   1   1   5   6   6   6   6 -
g3379.t1             -          PF00047_full         -            2.2e-70  237.1   9.0   2.1e-13   51.4   0.0   6.1   1   1   5   6   6   6   6 -
g7730.t1             -          PF00047_full         -              1e-68  231.7  10.4   3.3e-15   57.3   0.0   9.3   4   4   4   9   9   9   8 -
