#                                                               --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
anno1.g7577.t3       -          PF13519_full         -                  0 1667.9  87.5   1.4e-13   52.0   0.3  62.2  56   6   3  62  62  62  57 -
anno1.g12286.t1      -          PF13519_full         -           1.7e-274  906.5 150.9     8e-15   56.1   0.8  35.1  34   1   0  35  35  35  35 -
anno1.g13998.t1      -          PF13519_full         -           4.7e-117  390.9  25.1   6.9e-18   66.2   0.0   8.4   8   0   0   8   8   8   8 -
anno1.g14000.t2      -          PF13519_full         -           1.1e-115  386.5  36.2   6.3e-16   59.7   0.4  11.6  11   0   0  11  11  11  11 -
anno1.g20782.t1      -          PF13519_full         -           2.8e-109  365.5  46.4     2e-14   54.8   0.0  10.1  10   0   0  10  10  10   9 -
anno1.g16940.t1      -          PF13519_full         -           1.5e-105  353.2  58.3   1.1e-07   32.7   0.2  18.2  18   0   0  18  18  18  18 -
anno1.g12289.t1      -          PF13519_full         -            2.6e-93  313.2  24.0   1.7e-12   48.5   0.1   9.2   9   0   0   9   9   9   9 -
anno1.g20781.t3      -          PF13519_full         -            5.9e-90  302.2   1.0   7.3e-17   62.8   0.0   6.2   6   0   0   6   6   6   6 -
anno1.g12288.t1      -          PF13519_full         -            2.7e-78  264.0  20.0   6.8e-14   53.1   0.0   7.3   6   1   1   7   7   7   7 -
anno1.g13340.t1      -          PF13519_full         -            5.1e-77  259.8  13.5   5.8e-15   56.6   0.1   6.6   7   0   0   7   7   6   6 -
anno1.g20962.t1      -          PF13519_full         -            9.4e-73  245.8  18.5   1.6e-15   58.4   0.1  10.2  10   0   0  10  10  10   8 -
anno1.g12285.t1      -          PF13519_full         -              1e-59  203.2  18.4   1.7e-13   51.7   1.4   6.1   6   0   0   6   6   6   6 -
anno1.g13997.t1      -          PF13519_full         -            4.3e-54  184.7  15.0   1.4e-15   58.6   0.4   5.2   5   0   0   5   5   5   4 -
anno1.g13999.t1      -          PF13519_full         -            9.3e-54  183.6  19.0   6.8e-14   53.1   0.0   6.2   5   1   0   6   6   6   6 -
anno1.g11988.t3      -          PF13519_full         -            3.7e-53  181.6   5.6   7.9e-13   49.6   0.0   5.3   3   1   1   5   5   5   5 -
anno1.g12291.t1      -          PF13519_full         -            1.2e-49  170.1  17.5   2.1e-13   51.5   0.0   6.3   6   0   0   6   6   6   6 -
anno1.g10441.t2      -          PF13519_full         -            4.2e-45  155.3   0.0   7.1e-15   56.3   0.0   3.3   3   0   0   3   3   3   3 -
anno1.g2108.t1       -          PF13519_full         -            9.6e-39  134.5   0.0   6.9e-13   49.8   0.0   3.5   2   1   1   3   3   3   3 -
anno1.g30175.t1      -          PF13519_full         -            6.2e-36  125.3   0.0   2.4e-10   41.5   0.0   3.4   4   0   0   4   4   3   3 -
anno1.g31826.t1      -          PF13519_full         -            1.1e-35  124.5   6.0   3.3e-05   24.6   0.1   9.1   9   0   0   9   9   9   4 -
anno1.g12287.t1      -          PF13519_full         -            6.1e-35  122.0   0.2   2.5e-11   44.7   0.0   3.1   3   0   0   3   3   3   3 -
anno1.g31824.t2      -          PF13519_full         -            7.3e-35  121.7  30.4   1.1e-14   55.7   0.0   4.9   4   1   1   5   5   4   4 -
anno1.g12290.t1      -          PF13519_full         -            4.1e-31  109.5   8.5   8.3e-13   49.5   0.0   3.3   3   1   0   3   3   3   3 -
anno1.g27217.t2      -          PF13519_full         -            4.2e-31  109.4   0.1   2.3e-11   44.8   0.0   4.0   3   0   0   3   3   3   3 -
anno1.g19992.t1      -          PF13519_full         -            1.1e-27   98.2   0.0   4.2e-05   24.3   0.0   4.5   4   0   0   4   4   4   4 -
