#                                                               --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
g2199.t1             -          PF13927_full         -                  0 3501.5   0.0   1.3e-19   72.1   0.0  72.3  14  10  58  72  72  72  72 -
g7199.t1             -          PF13927_full         -                  0 1339.0 147.7   4.4e-20   73.6   3.6  26.1   9   7  16  26  26  26  26 -
g20124.t1            -          PF13927_full         -           1.4e-274  904.8 187.0   5.4e-19   70.1   1.1  21.9   1   1  18  21  21  21  21 -
g20832.t1            -          PF13927_full         -           9.2e-209  689.9  33.6   9.1e-23   82.4   0.1  11.3   1   1  10  11  11  11  11 -
g5174.t1             -          PF13927_full         -           3.2e-207  684.8  57.3   1.1e-22   82.1   1.0  12.2   1   1  11  12  12  12  12 -
g7197.t1             -          PF13927_full         -           4.7e-184  609.1  52.3   8.5e-17   62.9   0.2  14.2   3   3  10  14  14  14  14 -
g28987.t1            -          PF13927_full         -           3.1e-150  498.7  53.3     7e-22   79.5   2.2   8.6   2   1   7   9   9   8   8 -
g1105.t1             -          PF13927_full         -           3.8e-147  488.6  60.7   5.4e-22   79.8   0.4  10.9   3   1   8  11  11  10   9 -
g7198.t1             -          PF13927_full         -           1.4e-127  424.7  50.4   5.6e-19   70.0   1.3   8.2   1   1   4   8   8   8   8 -
g5709.t1             -          PF13927_full         -           1.5e-117  392.0  33.1   1.6e-22   81.6   1.0   7.8   1   1   6   7   7   7   7 -
g31618.t1            -          PF13927_full         -           2.4e-117  391.3  25.2   1.2e-22   82.0   0.7   7.1   1   1   5   7   7   7   7 -
g11785.t1            -          PF13927_full         -           3.5e-115  384.2  47.8   1.2e-18   68.9   0.3  10.2   5   1   6  11  11   8   8 -
g17646.t1            -          PF13927_full         -           6.1e-107  357.3  23.2   2.2e-20   74.6   0.1   6.4   1   1   5   6   6   6   6 -
g20122.t1            -          PF13927_full         -            7.3e-92  308.1  27.1   1.7e-15   58.6   1.0   8.9   3   1   6   9   9   8   7 -
g18239.t2            -          PF13927_full         -            5.1e-88  295.5  21.6   3.1e-19   70.8   0.2   6.5   1   1   5   6   6   6   6 -
g18239.t1            -          PF13927_full         -            1.6e-87  293.9  21.3   3.7e-19   70.6   0.4   6.6   1   1   5   6   6   6   6 -
g11721.t1            -          PF13927_full         -            1.6e-85  287.3  14.7   5.2e-18   66.8   0.7   5.0   1   1   4   5   5   5   5 -
g9315.t1             -          PF13927_full         -            1.8e-85  287.2  22.5   1.5e-19   71.9   0.2   7.1   2   1   4   6   6   6   6 -
g33071.t1            -          PF13927_full         -            1.7e-82  277.5  22.7   1.1e-22   82.1   0.1   5.4   2   1   4   6   6   4   4 -
g16156.t1            -          PF13927_full         -            1.9e-78  264.2   5.1   2.3e-18   68.0   0.1   6.4   1   1   4   6   6   6   6 -
g27974.t1            -          PF13927_full         -            4.4e-78  263.0   7.6   2.6e-16   61.3   0.0   6.2   2   2   4   6   6   6   5 -
g20562.t1            -          PF13927_full         -            2.2e-73  247.7  44.3   1.6e-17   65.2   1.9   8.4   3   2   5   8   8   8   5 -
g10430.t1            -          PF13927_full         -              4e-67  227.3   8.6   5.5e-23   83.1   0.1   3.3   1   1   2   3   3   3   3 -
