,target_name,accession,query_name,accession,E-value_full_seq,score_full_seq,bias_full_seq,E-value,score,bias,exp,reg,clu,ov,env,dom,rep,inc,description_of_target,motif,species,gene_family,gene_id
59,anno1.g4949.t1,-,PF14580_full,-,1e-19,71.7,49.3,5.4e-08,33.3,3.0,5.3,3,1,1,4,4,4,3,-,LRR,o_faveolata,TLR,g4949
62,anno1.g22558.t1,-,PF14580_full,-,1e-18,68.4,43.1,7.8e-06,26.2,11.5,6.1,3,2,2,5,5,5,4,-,LRR,o_faveolata,TLR,g22558
127,anno1.g4949.t1,-,PF13855_full,-,2.1e-39,134.4,42.0,9.2e-11,41.7,7.3,7.9,3,2,4,8,8,8,6,-,LRR,o_faveolata,TLR,g4949
130,anno1.g22558.t1,-,PF13855_full,-,5.4999999999999995e-39,133.0,47.9,6.3e-11,42.3,4.8,8.5,3,2,5,8,8,8,6,-,LRR,o_faveolata,TLR,g22558
186,anno1.g4947.t1,-,PF13855_full,-,4.6e-16,58.9,10.4,3.5e-08,33.4,3.1,4.0,1,1,3,4,4,4,3,-,LRR,o_faveolata,TLR,g4947
187,anno1.g4948.t1,-,PF13855_full,-,4.6e-16,58.9,10.4,3.5e-08,33.4,3.1,4.0,1,1,3,4,4,4,3,-,LRR,o_faveolata,TLR,g4948
294,anno1.g4949.t1,-,PF13306_full,-,1.7e-16,61.2,16.8,1.7e-16,61.2,16.8,2.6,3,1,0,3,3,2,1,-,LRR,o_faveolata,TLR,g4949
354,anno1.g22558.t1,-,PF12799_full,-,1.4e-17,63.8,47.8,0.00013,22.1,2.0,9.2,3,2,4,8,8,8,4,-,LRR,o_faveolata,TLR,g22558
359,anno1.g4949.t1,-,PF12799_full,-,4.6e-17,62.1,42.5,0.00014,22.1,0.6,7.6,3,1,5,8,8,8,4,-,LRR,o_faveolata,TLR,g4949
405,anno1.g4947.t1,-,PF01582_full,-,1.1e-33,117.7,3.2,1.9e-33,117.0,3.2,1.3,1,0,0,1,1,1,1,-,TIR,o_faveolata,TLR,g4947
406,anno1.g4948.t1,-,PF01582_full,-,1.1e-33,117.7,3.2,1.9e-33,117.0,3.2,1.3,1,0,0,1,1,1,1,-,TIR,o_faveolata,TLR,g4948
407,anno1.g22558.t1,-,PF01582_full,-,3e-32,113.1,2.3,5.7e-32,112.2,2.3,1.4,1,0,0,1,1,1,1,-,TIR,o_faveolata,TLR,g22558
408,anno1.g4949.t1,-,PF01582_full,-,1.2e-28,101.3,0.6,2.4e-28,100.2,0.6,1.5,1,0,0,1,1,1,1,-,TIR,o_faveolata,TLR,g4949
