#                                                               --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
anno1.g737.t1        -          PF13895_full         -                  0 2676.7   0.0   6.6e-16   59.2   0.0  73.7  12   9  55  73  73  73  72 -
anno1.g15993.t2      -          PF13895_full         -                  0 1089.5  96.2   4.4e-15   56.5   1.1  29.1   4   3  23  29  29  29  27 -
anno1.g7723.t1       -          PF13895_full         -           6.2e-203  667.8  57.7   2.1e-18   67.3   1.2  12.3   1   1  10  12  12  12  12 -
anno1.g10447.t1      -          PF13895_full         -           1.8e-162  536.1  56.2   1.2e-16   61.7   0.7  13.2   2   2  11  13  13  13  12 -
anno1.g15994.t1      -          PF13895_full         -           3.7e-150  496.0  41.4   3.1e-13   50.6   0.1  14.6   2   1   9  14  14  14  13 -
anno1.g9116.t1       -          PF13895_full         -           1.7e-146  484.2  18.7   5.5e-14   53.0   0.1  11.5   1   1  10  11  11  11  11 -
anno1.g26710.t2      -          PF13895_full         -           1.5e-144  477.8  31.3   1.8e-15   57.8   0.1  12.2   1   1  11  12  12  12  12 -
anno1.g10446.t1      -          PF13895_full         -           1.9e-116  386.3  32.6   1.5e-13   51.6   0.1  10.8   1   1   9  10  10  10  10 -
anno1.g20821.t1      -          PF13895_full         -            3.5e-98  326.9  38.7   1.1e-14   55.3   0.3  14.3   6   5   8  14  14  14  13 -
anno1.g30161.t1      -          PF13895_full         -            2.4e-95  317.7  31.5   4.1e-15   56.6   0.8   9.9   1   1   8   9   9   9   9 -
anno1.g31139.t1      -          PF13895_full         -            1.9e-93  311.5  31.9   1.5e-15   58.0   1.3   7.6   1   1   6   7   7   7   7 -
anno1.g30142.t1      -          PF13895_full         -            4.4e-89  297.3  36.7   1.4e-20   74.5   1.9   8.7   1   1   7   8   8   8   8 -
anno1.g23625.t1      -          PF13895_full         -            1.9e-88  295.3  53.3   2.1e-13   51.1   1.4   8.4   1   1   7   8   8   8   8 -
anno1.g8490.t1       -          PF13895_full         -            8.8e-85  283.3  47.0   1.5e-15   58.1   2.7   8.8   1   1   7   8   8   8   8 -
anno1.g3381.t1       -          PF13895_full         -            4.1e-83  277.9  19.3   1.1e-16   61.8   3.5   7.1   1   1   6   7   7   7   7 -
anno1.g31517.t1      -          PF13895_full         -              3e-81  271.8  15.4   2.7e-15   57.2   0.1   8.3   2   2   6   8   8   8   7 -
anno1.g12420.t1      -          PF13895_full         -            6.9e-80  267.4  51.4   5.7e-17   62.7   3.5   6.0   1   1   5   6   6   6   6 -
anno1.g12789.t2      -          PF13895_full         -            2.5e-75  252.5  42.8   3.1e-13   50.6   1.5   7.5   1   1   6   7   7   7   7 -
anno1.g3379.t1       -          PF13895_full         -            3.1e-71  239.3   4.4   4.1e-14   53.4   0.2   6.1   1   1   5   6   6   6   6 -
anno1.g7730.t1       -          PF13895_full         -            3.7e-71  239.0   4.4   1.3e-12   48.5   0.3   8.6   4   4   4   8   8   8   8 -
anno1.g23619.t1      -          PF13895_full         -            7.3e-71  238.0  30.8   3.5e-20   73.1   2.2   6.7   1   1   6   7   7   7   6 -
anno1.g20822.t1      -          PF13895_full         -            3.3e-70  235.9  27.0   1.6e-11   45.0   0.1  10.9   3   3   7  10  10  10   8 -
anno1.g9052.t1       -          PF13895_full         -            5.3e-69  232.0  30.2   1.3e-14   55.0   2.0   7.6   3   1   4   7   7   6   6 -
anno1.g8168.t1       -          PF13895_full         -            2.6e-68  229.7  19.0   2.4e-11   44.4   0.0  11.7   4   3   6  10  10  10   9 -
anno1.g31133.t1      -          PF13895_full         -            9.6e-68  227.9  23.5     5e-14   53.1   0.0   6.5   1   1   5   6   6   6   6 -
anno1.g23623.t1      -          PF13895_full         -              2e-67  226.8  38.4   3.2e-13   50.5   0.2   6.5   1   1   5   6   6   6   6 -
anno1.g31140.t1      -          PF13895_full         -            1.9e-65  220.4  14.4   3.5e-16   60.1   2.1   5.2   1   1   4   5   5   5   4 -
anno1.g21826.t1      -          PF13895_full         -              4e-65  219.4   1.4   1.3e-15   58.3   0.0   4.6   1   1   3   4   4   4   4 -
anno1.g30136.t1      -          PF13895_full         -            1.6e-56  191.4  39.1   2.9e-14   53.9   2.1   5.3   1   1   4   5   5   5   5 -
anno1.g7177.t1       -          PF13895_full         -            5.2e-55  186.5   0.0     6e-11   43.1   0.0   6.3   1   1   4   6   6   6   6 -
anno1.g8324.t1       -          PF13895_full         -              7e-55  186.0   4.6   4.8e-13   49.9   0.0   6.3   2   2   4   6   6   6   5 -
anno1.g22410.t1      -          PF13895_full         -            3.6e-54  183.7  10.5   1.5e-16   61.3   1.3   4.3   1   1   3   4   4   4   4 -
anno1.g6540.t1       -          PF13895_full         -            5.5e-54  183.1   7.2   4.7e-13   50.0   0.0   6.4   2   1   4   6   6   5   5 -
anno1.g8166.t1       -          PF13895_full         -            5.9e-54  183.0   4.1   1.2e-10   42.2   1.2   6.8   2   2   5   7   7   6   6 -
anno1.g5658.t2       -          PF13895_full         -            9.5e-54  182.4   0.0     5e-16   59.6   0.3   5.7   1   1   3   5   5   5   5 -
anno1.g22107.t1      -          PF13895_full         -            2.8e-53  180.8  24.6   1.8e-12   48.0   3.2   7.3   3   1   4   7   7   6   5 -
anno1.g31137.t1      -          PF13895_full         -            7.4e-53  179.5  15.5   1.5e-15   58.1   0.7   5.5   1   1   4   5   5   5   5 -
anno1.g7727.t1       -          PF13895_full         -            1.6e-51  175.2   6.7   2.9e-13   50.6   0.1   6.2   2   2   4   6   6   6   5 -
anno1.g8169.t1       -          PF13895_full         -              3e-51  174.2  16.8   7.8e-11   42.7   0.0   8.4   2   2   5   7   7   7   7 -
anno1.g7724.t1       -          PF13895_full         -              3e-51  174.2   2.3   1.1e-12   48.8   0.0   6.4   2   2   4   6   6   6   5 -
