#                                                               --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
anno1.g43578.t1      -          PF00047_full         -                  0 2753.3   0.0   2.2e-15   58.1   0.9  80.2  16  11  62  80  80  80  77 -
anno1.g10847.t1      -          PF00047_full         -                  0 2005.4 284.1     7e-15   56.5   0.3  57.1  12   9  41  57  57  57  57 -
anno1.g41491.t1      -          PF00047_full         -           2.1e-263  866.4 148.7   7.3e-18   66.2   1.2  27.3   2   2  23  27  27  27  27 -
anno1.g11643.t1      -          PF00047_full         -           6.3e-184  607.3  33.1   6.8e-15   56.5   0.0  16.4   4   2  13  17  17  15  15 -
anno1.g15105.t1      -          PF00047_full         -           3.2e-152  504.0  35.7   8.5e-17   62.7   0.1  11.1   1   1  10  11  11  11  11 -
anno1.g10848.t1      -          PF00047_full         -             3e-110  367.3  44.6   5.3e-13   50.3   1.0  11.1   3   2   6  11  11  11  11 -
anno1.g33603.t1      -          PF00047_full         -            2.5e-98  328.4  27.0   1.2e-13   52.4   0.2   9.3   2   2   7   9   9   9   9 -
anno1.g18325.t1      -          PF00047_full         -            4.7e-92  308.0  50.5   2.5e-13   51.4   0.0  13.4   4   3   8  13  13  12  11 -
anno1.g39580.t1      -          PF00047_full         -              3e-86  289.0  17.4     6e-14   53.4   0.2   8.3   2   2   5   8   8   8   8 -
anno1.g33777.t1      -          PF00047_full         -            6.5e-82  274.9  58.8   2.4e-16   61.2   1.2   9.4   1   1   8   9   9   9   8 -
anno1.g21656.t1      -          PF00047_full         -            1.7e-81  273.6  14.0   3.6e-13   50.9   3.3   7.2   1   1   6   7   7   7   7 -
anno1.g34351.t1      -          PF00047_full         -            3.9e-79  265.9  39.5   1.8e-15   58.3   0.1  10.4   5   4   5  10  10   9   7 -
anno1.g35417.t2      -          PF00047_full         -            8.9e-79  264.7  27.5   2.4e-13   51.5   0.1  10.4   3   1   8  11  11   9   7 -
anno1.g18326.t2      -          PF00047_full         -            2.9e-77  259.7  42.6   1.2e-11   45.9   1.7  10.8   5   3   5  10  10  10   9 -
anno1.g21655.t1      -          PF00047_full         -            8.2e-77  258.3   1.1   3.2e-13   51.0   0.0   6.0   1   1   5   6   6   6   6 -
anno1.g39550.t1      -          PF00047_full         -            3.6e-76  256.2  21.1   1.4e-15   58.7   1.0   6.0   2   1   4   6   6   6   6 -
anno1.g3398.t1       -          PF00047_full         -            8.1e-73  245.3  14.7   8.6e-12   46.4   0.3   6.2   1   1   5   6   6   6   6 -
anno1.g39624.t1      -          PF00047_full         -            5.6e-72  242.5  24.0   4.6e-15   57.0   0.4   6.2   1   1   5   6   6   6   6 -
anno1.g33981.t1      -          PF00047_full         -            4.7e-71  239.5  59.1   4.9e-11   43.9   2.9  10.6   1   1   9  10  10  10   8 -
anno1.g34134.t1      -          PF00047_full         -              2e-69  234.2  67.0   4.8e-13   50.5   3.2  10.1   2   2   7   9   9   9   7 -
anno1.g33796.t1      -          PF00047_full         -            4.2e-68  229.9  56.0     6e-18   66.5   2.9   8.1   2   1   6   8   8   7   7 -
