#                                                               --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
anno1.g30001.t1      -          PF14580_full         -           5.5e-152  505.5 108.2   1.2e-32  114.1   8.7  10.1   2   2   6   9   9   9   9 -
anno1.g25248.t3      -          PF14580_full         -            3.5e-75  253.6  44.0     7e-30  105.1  15.0   4.4   1   1   3   4   4   4   4 -
anno1.g7473.t1       -          PF14580_full         -            4.5e-73  246.7 116.4   1.5e-11   44.9   3.7  11.4   4   3   7  11  11  11  11 -
anno1.g25442.t1      -          PF14580_full         -            6.3e-72  242.9  45.6   6.3e-35  121.6   4.6   4.0   1   1   3   4   4   4   4 -
anno1.g16000.t1      -          PF14580_full         -            5.7e-64  216.9  38.5   9.4e-37  127.6   5.9   3.2   1   1   2   3   3   3   3 -
anno1.g9428.t1       -          PF14580_full         -            7.2e-64  216.5 105.1   3.8e-16   60.0   9.2   8.1   2   2   6   8   8   8   8 -
anno1.g2024.t2       -          PF14580_full         -            2.4e-57  195.1   8.2   3.1e-57  194.7   8.2   1.1   1   0   0   1   1   1   1 -
anno1.g552.t1        -          PF14580_full         -            2.9e-57  194.8   8.2   4.3e-57  194.3   8.2   1.2   1   0   0   1   1   1   1 -
anno1.g14757.t1      -          PF14580_full         -            2.3e-54  185.3  47.3   1.4e-20   74.6   5.9   4.1   1   1   3   4   4   4   4 -
anno1.g12732.t1      -          PF14580_full         -            4.2e-53  181.2  33.5   3.5e-14   53.6   3.3   5.0   1   1   5   6   6   6   6 -
anno1.g26826.t1      -          PF14580_full         -            5.9e-52  177.4  20.6   2.2e-41  142.8   8.2   3.0   1   1   2   3   3   3   3 -
anno1.g12108.t1      -          PF14580_full         -            2.6e-51  175.3  24.6   3.8e-47  161.7  13.8   2.5   1   1   1   2   2   2   2 -
