#                                                               --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
g4901.t2             -          PF00560_full         -            5.3e-42  143.2 111.0   2.1e-05   25.7   6.0  15.6   2   2   9  12  12  12  10 -
g4901.t1             -          PF00560_full         -            7.4e-42  142.8 110.8   3.8e-05   24.9   6.2  15.6   2   2  10  13  13  13  10 -
g24717.t1            -          PF00560_full         -            1.3e-18   68.1  74.4     0.014   16.7  10.8  13.6   1   1  11  12  12  12   4 -
g5798.t2             -          PF00560_full         -            5.6e-17   62.9  74.8   0.00038   21.7   3.2   9.6   2   2   6   8   8   8   4 -
g5798.t1             -          PF00560_full         -            5.7e-17   62.9  74.8   0.00038   21.7   3.2   9.6   2   2   6   8   8   8   4 -
g2197.t1             -          PF00560_full         -            8.8e-16   59.1  27.6     2e-05   25.8   0.4   7.5   2   2   5   7   7   6   5 -
g2792.t1             -          PF00560_full         -            7.8e-14   52.8  18.9   2.8e-05   25.3   0.3   5.4   1   1   3   4   4   4   4 -
g43460.t1            -          PF00560_full         -            2.1e-13   51.4  32.4     8e-06   27.1   0.8   7.8   4   3   3   7   7   6   3 -
g4898.t1             -          PF00560_full         -            5.2e-13   50.2  22.9   2.7e-05   25.4   0.4   6.0   1   1   3   4   4   4   3 -
g22271.t1            -          PF00560_full         -            2.7e-11   44.7  20.6     0.025   15.9   0.1   7.4   2   1   6   8   8   7   2 -
g20549.t1            -          PF00560_full         -            1.6e-10   42.2  82.6      0.43   11.9   3.9  12.3   1   1  11  12  12  12   3 -
g2195.t1             -          PF00560_full         -            2.2e-10   41.8  27.4   0.00099   20.4   1.7   6.7   3   3   3   6   6   6   2 -
g25974.t1            -          PF00560_full         -            1.2e-09   39.3  25.2     0.026   15.8   0.3   6.6   2   2   4   6   6   6   2 -
g14812.t1            -          PF00560_full         -            2.4e-09   38.4  14.4     0.023   16.0   6.7   5.1   1   1   4   5   5   5   2 -
g28979.t1            -          PF00560_full         -            2.6e-09   38.3  52.5    0.0002   22.6   6.7   7.6   3   2   3   7   7   7   3 -
g15274.t1            -          PF00560_full         -            1.9e-08   35.5  47.8    0.0015   19.8   0.4   9.8   1   1  11  12  12  12   3 -
g29194.t1            -          PF00560_full         -            2.8e-08   35.0  45.8    0.0093   17.2   0.5   9.9   4   4   4  10  10   9   1 -
g29195.t1            -          PF00560_full         -            2.8e-08   35.0  45.8    0.0093   17.2   0.5   9.9   4   4   4  10  10   9   1 -
g10655.t1            -          PF00560_full         -            2.2e-07   32.1  52.2     0.014   16.7   8.4   8.4   2   2   5   8   8   7   3 -
g29069.t1            -          PF00560_full         -            5.1e-07   30.9  40.1      0.66   11.3   0.8   7.5   1   1   6   7   7   7   3 -
g35853.t1            -          PF00560_full         -            5.8e-07   30.7  15.3     0.017   16.4   0.1   5.4   3   2   2   5   5   5   2 -
g22918.t1            -          PF00560_full         -            7.8e-07   30.3  26.6      0.43   11.9   0.1   5.9   1   1   4   5   5   5   3 -
g9355.t2             -          PF00560_full         -            1.6e-06   29.3  30.0    0.0028   18.9   0.3   5.4   1   1   4   5   5   5   2 -
g11364.t1            -          PF00560_full         -            1.7e-06   29.3  64.9       0.1   13.9   0.5   8.4   1   1   8   9   9   8   3 -
g42807.t2            -          PF00560_full         -            1.9e-06   29.1  24.0     0.012   16.8   0.2   5.4   2   1   3   5   5   4   2 -
g22917.t1            -          PF00560_full         -            2.2e-06   28.9  17.1       1.5   10.2   0.1   6.9   1   1   5   6   6   6   1 -
g42807.t1            -          PF00560_full         -            2.7e-06   28.6  24.2     0.013   16.8   0.2   5.3   2   1   2   5   5   4   2 -
g23321.t2            -          PF00560_full         -            2.9e-06   28.5  14.5       0.3   12.4   0.1   4.6   1   1   3   5   5   4   3 -
g9355.t1             -          PF00560_full         -            3.4e-06   28.3  29.4    0.0034   18.7   0.4   5.3   1   1   3   4   4   4   2 -
g4011.t1             -          PF00560_full         -            6.8e-06   27.3  44.5      0.31   12.4   6.0   6.9   1   1   6   7   7   7   4 -
g30832.t2            -          PF00560_full         -            7.1e-06   27.2  11.7     0.004   18.4   4.5   2.3   1   1   1   2   2   2   2 -
g25061.t1            -          PF00560_full         -            8.1e-06   27.1  55.5      0.38   12.1   7.5   9.9   4   4   6  10  10   9   1 -
g13765.t1            -          PF00560_full         -              1e-05   26.7  39.1       6.9    8.0   2.0   9.3   3   2   5   9   9   8   0 -
g24641.t1            -          PF00560_full         -            1.2e-05   26.6   9.5        28    6.1   0.1   5.6   1   1   4   5   5   5   0 -
g38608.t1            -          PF00560_full         -            1.2e-05   26.5  19.1   0.00018   22.8   2.8   4.0   1   1   3   4   4   4   1 -
g11646.t1            -          PF00560_full         -            1.4e-05   26.4  26.6      0.05   14.9   3.5   4.9   2   1   2   4   4   4   2 -
g40852.t1            -          PF00560_full         -            2.2e-05   25.7  15.5     0.012   16.8   2.1   4.0   1   1   3   4   4   4   2 -
g34562.t1            -          PF00560_full         -            2.3e-05   25.6  12.5     0.012   16.8   0.6   4.2   3   1   0   3   3   3   1 -
g30026.t1            -          PF00560_full         -            3.2e-05   25.2  42.9   0.00035   21.8   2.0   7.0   2   2   5   8   8   7   2 -
g30026.t2            -          PF00560_full         -            3.2e-05   25.1  42.9   0.00035   21.8   2.0   7.0   2   2   5   8   8   7   2 -
g7242.t1             -          PF00560_full         -            5.1e-05   24.5  34.4       4.4    8.7   1.6   7.1   1   1   6   7   7   7   0 -
g23321.t1            -          PF00560_full         -            5.5e-05   24.4  28.1      0.66   11.3   0.2   6.9   2   1   5   7   7   6   2 -
g10807.t2            -          PF00560_full         -            5.9e-05   24.3  28.9     0.042   15.2   3.7   5.5   1   1   2   5   5   4   2 -
g34562.t2            -          PF00560_full         -            7.2e-05   24.0  15.9     0.013   16.8   0.6   4.3   3   1   0   3   3   3   1 -
g40271.t1            -          PF00560_full         -            7.4e-05   24.0  25.3     0.015   16.6   3.2   5.0   1   1   4   5   5   4   2 -
g12680.t1            -          PF00560_full         -            8.9e-05   23.7  13.8       2.3    9.6   1.4   6.2   4   1   2   6   6   5   1 -
g27201.t1            -          PF00560_full         -            9.7e-05   23.6  17.7      0.14   13.5   3.8   3.7   1   1   3   4   4   3   2 -
g25059.t2            -          PF00560_full         -            9.9e-05   23.6  34.5      0.15   13.3   0.5   8.7   3   2   5   9   9   8   2 -
g33426.t1            -          PF00560_full         -            0.00012   23.4  16.4       1.6   10.1   0.3   5.1   3   1   2   5   5   4   1 -
g37189.t1            -          PF00560_full         -            0.00013   23.2  26.5     0.069   14.5   3.2   5.9   1   1   4   5   5   5   1 -
g33284.t1            -          PF00560_full         -            0.00013   23.2  18.3      0.01   17.1   4.6   4.1   1   1   2   3   3   3   2 -
g36456.t1            -          PF00560_full         -            0.00014   23.1  14.0     0.067   14.5   5.9   3.7   1   1   1   2   2   2   1 -
g33919.t1            -          PF00560_full         -            0.00014   23.1  12.6      0.22   12.8   2.2   3.4   1   1   2   3   3   3   3 -
g28531.t1            -          PF00560_full         -            0.00015   23.0  28.6      0.23   12.8   1.4   6.8   2   1   5   7   7   6   1 -
g23794.t1            -          PF00560_full         -            0.00016   23.0  12.6       2.9    9.2   2.5   5.3   3   1   0   4   4   4   0 -
g14161.t1            -          PF00560_full         -            0.00016   22.9  27.3       1.9    9.8   2.5   4.3   1   1   3   4   4   4   1 -
g10807.t1            -          PF00560_full         -            0.00019   22.7  27.6     0.057   14.7   3.5   5.3   1   1   2   4   4   4   2 -
g30832.t1            -          PF00560_full         -            0.00019   22.7   5.0   0.00032   22.0   5.0   1.4   1   0   0   1   1   1   1 -
g2233.t2             -          PF00560_full         -            0.00022   22.5   8.5     0.058   14.7   0.0   4.0   1   1   2   3   3   3   1 -
g31243.t2            -          PF00560_full         -            0.00026   22.3  23.8      0.33   12.3   0.4   5.8   1   1   4   5   5   5   2 -
g39915.t2            -          PF00560_full         -            0.00026   22.2  17.8       0.6   11.4   0.3   4.0   1   1   2   3   3   3   2 -
g24912.t1            -          PF00560_full         -            0.00029   22.1  13.5      0.13   13.5   0.5   4.9   1   1   4   5   5   4   1 -
g3221.t2             -          PF00560_full         -            0.00034   21.9  42.3      0.82   11.0   0.1   9.0   1   1   7   9   9   9   1 -
