,target_name,accession,query_name,accession,E-value_full_seq,score_full_seq,bias_full_seq,E-value,score,bias,exp,reg,clu,ov,env,dom,rep,inc,description_of_target,motif,species,gene_family,gene_id
58,anno1.g44194.t1,-,PF14580_full,-,9.500000000000001e-22,79.0,57.0,3.5e-08,34.5,2.2,5.3,3,1,2,5,5,5,4,-,LRR,g_aspera,TLR,g44194
66,anno1.g44192.t1,-,PF14580_full,-,4.9e-20,73.4,62.8,3e-07,31.4,5.9,5.6,4,1,2,6,6,5,4,-,LRR,g_aspera,TLR,g44192
68,anno1.g24275.t1,-,PF14580_full,-,2.8e-19,70.9,46.7,4.8e-07,30.7,0.7,5.6,3,1,2,5,5,5,4,-,LRR,g_aspera,TLR,g24275
98,anno1.g24272.t1,-,PF14580_full,-,2e-14,55.0,21.6,2e-09,38.6,0.4,5.9,4,2,2,6,6,3,3,-,LRR,g_aspera,TLR,g24272
155,anno1.g24275.t1,-,PF13855_full,-,1.6e-39,135.4,51.4,1.1e-14,55.0,5.6,8.4,4,2,5,9,9,8,6,-,LRR,g_aspera,TLR,g24275
165,anno1.g44194.t1,-,PF13855_full,-,5.0000000000000005e-37,127.3,60.4,1.1e-10,42.0,18.2,8.0,3,2,3,8,8,7,4,-,LRR,g_aspera,TLR,g44194
169,anno1.g44192.t1,-,PF13855_full,-,7.8e-37,126.7,62.7,1.4e-10,41.7,20.1,7.2,4,2,3,7,7,7,4,-,LRR,g_aspera,TLR,g44192
174,anno1.g24272.t1,-,PF13855_full,-,6.500000000000001e-33,114.0,48.0,1.3e-11,45.1,3.2,6.5,2,2,3,6,6,6,4,-,LRR,g_aspera,TLR,g24272
435,anno1.g24275.t1,-,PF12799_full,-,3.1e-21,76.1,49.1,8.9e-06,26.5,2.2,8.8,3,2,5,8,8,8,5,-,LRR,g_aspera,TLR,g24275
456,anno1.g24272.t1,-,PF12799_full,-,1.1e-16,61.5,48.1,3.4e-05,24.6,2.3,7.2,3,3,3,6,6,6,3,-,LRR,g_aspera,TLR,g24272
468,anno1.g44194.t1,-,PF12799_full,-,7e-15,55.7,65.5,3.3e-05,24.7,5.0,8.3,2,2,6,8,8,7,5,-,LRR,g_aspera,TLR,g44194
487,anno1.g44192.t1,-,PF12799_full,-,2.1e-13,51.0,66.3,2e-05,25.3,3.6,7.8,4,2,4,8,8,7,4,-,LRR,g_aspera,TLR,g44192
522,anno1.g44194.t1,-,PF01582_full_up,-,7.600000000000001e-38,132.0,4.5,7.600000000000001e-38,132.0,4.5,1.6,2,0,0,2,2,1,1,-,TIR,g_aspera,TLR,g44194
523,anno1.g24275.t1,-,PF01582_full_up,-,2.0000000000000003e-34,120.8,2.4,3.8e-34,119.9,2.4,1.4,1,0,0,1,1,1,1,-,TIR,g_aspera,TLR,g24275
524,anno1.g44192.t1,-,PF01582_full_up,-,9.2e-34,118.6,5.0,1.5e-33,117.9,5.0,1.2,1,0,0,1,1,1,1,-,TIR,g_aspera,TLR,g44192
525,anno1.g24272.t1,-,PF01582_full_up,-,2e-31,110.9,4.5,2e-31,110.9,4.5,2.7,2,0,0,2,2,2,1,-,TIR,g_aspera,TLR,g24272
