#                                                               --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
g6633.t1             -          PF13516_full         -           3.6e-111  363.9 114.2   4.9e-06   27.3   0.1  33.7   5   5  31  36  36  33  21 -
g4036.t1             -          PF13516_full         -            1.1e-78  259.8  85.6   8.9e-07   29.6   0.1  15.0   1   1  14  15  15  15  15 -
g5554.t1             -          PF13516_full         -            4.2e-76  251.6 152.5   6.1e-06   26.9   0.6  28.2  11   6  19  30  30  27  19 -
g5554.t2             -          PF13516_full         -            5.8e-76  251.1 152.5   6.2e-06   26.9   0.6  28.2  11   6  19  30  30  27  19 -
g21710.t1            -          PF13516_full         -            6.5e-68  225.4  61.0   2.1e-06   28.4   1.0  13.5   1   1  12  13  13  13  11 -
g21704.t1            -          PF13516_full         -            1.4e-61  205.1 108.0   9.7e-06   26.3   0.2  17.0   2   1  15  17  17  16  16 -
g8266.t2             -          PF13516_full         -            2.2e-57  191.7  52.9   1.9e-05   25.3   0.1  14.9   1   1  14  15  15  14  10 -
g21706.t1            -          PF13516_full         -            3.3e-57  191.1  71.0   2.1e-07   31.6   0.5  11.4   1   1  10  11  11  11  11 -
g8266.t1             -          PF13516_full         -            5.9e-57  190.3  52.8   2.1e-05   25.2   0.1  14.9   1   1  14  15  15  14  10 -
g5765.t1             -          PF13516_full         -              1e-50  170.3  30.6   2.6e-06   28.1   0.1   9.4   2   2   7   9   9   9   9 -
g6510.t1             -          PF13516_full         -            2.7e-46  156.1  61.4   4.5e-06   27.4   1.9  13.9   4   3   9  13  13  13  11 -
g23338.t1            -          PF13516_full         -            1.1e-43  147.7  95.9   5.3e-08   33.5   0.7  17.2   7   3  11  18  18  16   7 -
g18273.t1            -          PF13516_full         -            5.2e-42  142.4  29.2   9.7e-07   29.5   0.2  11.2   2   2  10  12  12  10   8 -
g18274.t1            -          PF13516_full         -            5.2e-42  142.4  29.2   9.7e-07   29.5   0.2  11.2   2   2  10  12  12  10   8 -
g5550.t2             -          PF13516_full         -            1.2e-38  131.7  39.8   5.1e-05   24.0   0.1  12.1   5   3   8  13  13  11   9 -
g5550.t1             -          PF13516_full         -            1.5e-38  131.4  39.7   5.3e-05   23.9   0.1  12.1   5   3   8  13  13  11   9 -
g21708.t1            -          PF13516_full         -            8.4e-38  128.9  25.7     8e-08   33.0   0.2   6.7   1   1   5   6   6   6   6 -
g15453.t1            -          PF13516_full         -            2.8e-36  124.1  19.7   5.7e-05   23.8   0.0   9.2   2   2   7   9   9   9   7 -
g27120.t1            -          PF13516_full         -            8.7e-36  122.5  34.9   6.8e-06   26.8   0.7   8.0   1   1   7   8   8   8   7 -
g3874.t1             -          PF13516_full         -              6e-35  119.8  17.6   2.5e-07   31.4   0.1   9.9   2   1   8  10  10  10   7 -
g12394.t1            -          PF13516_full         -            1.2e-34  118.8  26.5   1.3e-07   32.3   0.2   8.6   2   1   7   9   9   8   7 -
g4000.t1             -          PF13516_full         -            1.1e-31  109.4  50.5   6.7e-06   26.8   1.9  10.6   2   1   9  11  11  10   5 -
g24174.t1            -          PF13516_full         -            2.3e-31  108.4  12.6   0.00034   21.4   0.0   8.9   1   1   8   9   9   8   7 -
g22186.t1            -          PF13516_full         -            1.2e-30  106.1   9.0   2.3e-05   25.1   0.1   6.1   1   1   5   6   6   6   6 -
g6350.t1             -          PF13516_full         -            2.4e-30  105.1  32.8   1.5e-05   25.7   0.7   9.0   3   1   6   9   9   8   5 -
g6321.t1             -          PF13516_full         -            7.4e-30  103.5  24.9   1.9e-06   28.5   0.2   6.1   2   1   4   6   6   6   5 -
g27662.t2            -          PF13516_full         -            2.3e-29  101.9  41.6   6.4e-05   23.7   0.1  10.1   4   2   4   9   9   9   7 -
g27662.t1            -          PF13516_full         -            3.2e-29  101.5  41.7   6.6e-05   23.6   0.1  10.1   4   2   4   9   9   9   7 -
g12401.t1            -          PF13516_full         -            5.4e-29  100.7   8.9   3.6e-05   24.5   0.0   8.6   2   2   6   8   8   8   6 -
g18511.t1            -          PF13516_full         -            2.3e-28   98.8  56.9   9.9e-05   23.1   0.3  11.4   5   2   6  11  11  11   8 -
g31060.t1            -          PF13516_full         -            3.5e-28   98.2  26.0     8e-05   23.4   0.3   8.6   2   2   7   9   9   9   5 -
g12402.t1            -          PF13516_full         -            7.3e-28   97.1  39.6   6.6e-05   23.6   0.2   8.3   2   2   6   8   8   8   6 -
g2139.t1             -          PF13516_full         -            7.9e-28   97.0  13.0   1.1e-05   26.1   0.0   8.4   2   2   6   8   8   8   5 -
