#                                                               --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
anno1.g24282.t1      -          PF12799_full         -            5.8e-76  251.1 112.7   1.1e-08   35.2   7.5  13.7   5   4   8  13  13  12  12 -
anno1.g16402.t1      -          PF12799_full         -            5.4e-70  231.9  97.2   5.7e-09   36.1   1.3  11.9   2   2  10  12  12  12  11 -
anno1.g4927.t1       -          PF12799_full         -            8.1e-59  196.1  90.0   5.9e-13   48.9   5.0   6.6   1   1   8   9   9   9   9 -
anno1.g2862.t1       -          PF12799_full         -            2.6e-56  188.0  83.0   9.1e-10   38.7   4.0  11.3   3   2   7  12  12  10  10 -
anno1.g13492.t1      -          PF12799_full         -              1e-48  163.7  45.3   2.9e-07   30.7   0.1   9.1   1   1   7   8   8   8   8 -
anno1.g17484.t1      -          PF12799_full         -            1.3e-43  147.3  46.7   9.7e-13   48.2   0.4   6.5   1   1   5   6   6   6   6 -
anno1.g24780.t1      -          PF12799_full         -              2e-43  146.7  42.1   4.9e-07   29.9   0.2   8.0   1   1   6   7   7   7   7 -
anno1.g19217.t1      -          PF12799_full         -            1.7e-39  134.1  24.6   8.6e-09   35.6   0.2   7.2   1   1   7   8   8   8   7 -
anno1.g7674.t1       -          PF12799_full         -              2e-39  133.8  56.8   4.6e-10   39.6   0.2   4.9   1   1   6   7   7   7   7 -
anno1.g26995.t1      -          PF12799_full         -            1.7e-36  124.4  41.5   7.6e-06   26.1   1.4   8.0   1   1   7   8   8   8   7 -
anno1.g313.t1        -          PF12799_full         -              3e-36  123.7  42.8   2.7e-08   33.9   0.6   8.4   1   1   7   8   8   8   6 -
anno1.g18994.t1      -          PF12799_full         -            5.2e-35  119.7  52.6   5.7e-09   36.1   1.9   8.5   1   1   7   8   8   8   7 -
anno1.g7119.t2       -          PF12799_full         -            2.8e-34  117.4  23.4   2.3e-10   40.6   2.5   6.4   2   2   4   6   6   6   6 -
anno1.g9482.t1       -          PF12799_full         -            4.3e-33  113.5  62.2   0.00025   21.2   1.2  12.4   1   1  16  17  17  17  16 -
anno1.g32002.t1      -          PF12799_full         -            5.5e-32  110.0  38.1   2.8e-10   40.4   5.8   6.2   1   1   7   8   8   8   6 -
anno1.g18985.t2      -          PF12799_full         -            8.4e-32  109.4  36.6   1.4e-07   31.7   3.0   6.7   1   1   5   6   6   6   6 -
anno1.g25342.t1      -          PF12799_full         -              2e-31  108.2  38.8   3.4e-08   33.6   0.2   7.7   3   2   4   7   7   7   7 -
anno1.g24679.t1      -          PF12799_full         -            5.8e-31  106.7  30.6   1.4e-09   38.1   2.0   4.1   1   1   4   5   5   5   5 -
anno1.g12369.t1      -          PF12799_full         -            9.1e-31  106.1  34.3   6.4e-09   36.0   2.1   5.3   1   1   4   5   5   5   4 -
anno1.g27786.t1      -          PF12799_full         -            1.8e-30  105.1  46.0     9e-08   32.3   9.8   6.9   1   1   5   6   6   5   5 -
anno1.g25340.t1      -          PF12799_full         -            2.6e-30  104.6  39.9   3.4e-08   33.6   0.2   7.7   3   2   4   7   7   7   6 -
anno1.g30699.t1      -          PF12799_full         -            3.2e-29  101.1  13.0   8.4e-08   32.4   1.0   4.2   1   1   3   4   4   4   4 -
