#                                                               --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
anno1.g19701.t1      -          PF13516_full         -            6.5e-86  282.9  79.9   2.1e-06   28.3   0.5  15.4   1   1  14  15  15  15  14 -
anno1.g18156.t1      -          PF13516_full         -            3.6e-85  280.4 152.7   6.7e-05   23.5   1.4  25.1   1   1  24  25  25  25  20 -
anno1.g22418.t1      -          PF13516_full         -            1.4e-80  265.8 116.8   6.2e-07   30.0   0.9  18.4   5   4  14  19  19  17  16 -
anno1.g28541.t1      -          PF13516_full         -              6e-78  257.4  74.1   1.8e-06   28.5   1.4  15.3   2   1  14  16  16  15  12 -
anno1.g14721.t1      -          PF13516_full         -            1.3e-74  246.6  89.7   6.1e-07   30.0   0.8  13.5   1   1  12  13  13  13  13 -
anno1.g28210.t1      -          PF13516_full         -            1.4e-73  243.3  71.3     9e-07   29.5   1.1  13.1   1   1  12  13  13  13  12 -
anno1.g17282.t1      -          PF13516_full         -            1.2e-62  208.3  42.6   7.8e-06   26.5   0.4  11.3   2   1   9  11  11  11  11 -
anno1.g14494.t1      -          PF13516_full         -            1.9e-62  207.7  64.0   3.9e-08   33.8   0.9   9.4   1   1   8   9   9   9   9 -
anno1.g13914.t1      -          PF13516_full         -            6.6e-50  167.6  41.9   3.6e-06   27.5   0.3  10.3   2   1   8  10  10  10   9 -
anno1.g27697.t1      -          PF13516_full         -            9.9e-50  167.0  54.5     4e-07   30.6   0.4  14.9   4   3  12  16  16  13   7 -
anno1.g12482.t1      -          PF13516_full         -            3.4e-46  155.7  79.2   4.7e-06   27.2   1.8  13.6   2   1  12  14  14  13   9 -
anno1.g15186.t1      -          PF13516_full         -            9.7e-45  151.0  45.8   2.6e-06   28.0   0.6  10.4   1   1   9  10  10  10   8 -
anno1.g26184.t1      -          PF13516_full         -              1e-43  147.7  16.5   0.00095   19.8   0.2  12.5   2   2  10  12  12  12  11 -
anno1.g7380.t1       -          PF13516_full         -            1.4e-41  140.9  49.3   0.00017   22.2   0.9  11.5   2   2   9  11  11  11  10 -
