#                                                               --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
g1290.t1             -          PF13519_full         -                  0 1533.1  71.0   5.7e-13   49.8   0.4  59.0  53   6   4  59  59  59  56 -
g22030.t1            -          PF13519_full         -           2.4e-193  640.5  86.3   1.3e-12   48.7   0.1  25.2  23   2   2  25  25  25  24 -
g17858.t1            -          PF13519_full         -           4.5e-173  574.1  45.8   5.6e-15   56.4   0.0  18.4  18   0   0  18  18  18  17 -
g20795.t1            -          PF13519_full         -           1.3e-170  566.1  67.8   1.4e-15   58.3   0.0  18.4  12   3   6  18  18  18  18 -
g23251.t1            -          PF13519_full         -           1.1e-156  520.5  60.0   4.5e-11   43.6   0.1  23.3  23   0   0  23  23  23  23 -
g22029.t2            -          PF13519_full         -           2.7e-141  470.0  33.0   1.4e-14   55.1   0.7  12.3  12   0   0  12  12  12  12 -
g22029.t1            -          PF13519_full         -           1.3e-140  467.8  32.5   4.9e-14   53.3   0.0  12.3  12   0   0  12  12  12  12 -
g8221.t1             -          PF13519_full         -            4.1e-96  322.1  40.0     2e-14   54.6   0.0  10.1  10   0   0  10  10  10  10 -
g8220.t2             -          PF13519_full         -            2.8e-83  280.1   0.7   1.2e-16   61.8   0.2   6.2   6   0   0   6   6   6   6 -
g8220.t1             -          PF13519_full         -            3.5e-83  279.7   0.7   1.3e-16   61.8   0.2   6.2   6   0   0   6   6   6   6 -
g1154.t1             -          PF13519_full         -            5.9e-83  279.0   4.2   2.3e-14   54.4   0.0  10.6  11   0   0  11  11  10   9 -
g22028.t1            -          PF13519_full         -            1.9e-62  211.9  23.9   6.5e-13   49.6   0.2   7.3   7   0   0   7   7   7   7 -
g17857.t1            -          PF13519_full         -            1.3e-56  192.7   9.2   4.4e-14   53.5   0.2   5.3   5   0   0   5   5   5   4 -
