#                                                               --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
anno1.g20980.t1      -          PF13927_seed         -                  0 3305.9  19.3   6.3e-16   59.5   0.0  78.7  79   0   0  79  79  78  77 -
anno1.g441.t1        -          PF13927_seed         -           2.1e-290  939.0  57.0   8.2e-16   59.1   0.5  23.9  23   0   0  23  23  23  23 -
anno1.g440.t1        -          PF13927_seed         -           9.6e-178  578.0  26.8   5.7e-13   50.0   0.0  16.7  16   0   0  16  16  16  16 -
anno1.g10762.t1      -          PF13927_seed         -           7.9e-175  568.7  28.1   1.4e-16   61.6   1.2  13.5  13   0   0  13  13  12  12 -
anno1.g6245.t1       -          PF13927_seed         -           3.1e-169  550.8  19.8   6.6e-15   56.2   0.0  12.7  12   0   0  12  12  11  11 -
anno1.g24418.t1      -          PF13927_seed         -           1.1e-147  481.7  49.3   8.2e-15   55.9   1.3  12.5  11   1   0  11  11  11  11 -
anno1.g24417.t2      -          PF13927_seed         -           6.5e-145  472.8  45.4   2.7e-17   63.9   0.6  11.3  11   0   0  11  11  11  10 -
anno1.g28240.t1      -          PF13927_seed         -           5.4e-140  457.1  74.0   1.7e-15   58.1   0.1  13.4  13   0   0  13  13  13  13 -
anno1.g13841.t1      -          PF13927_seed         -           2.1e-123  403.9  19.0   5.8e-17   62.8   0.1   9.3   9   0   0   9   9   8   8 -
anno1.g14595.t1      -          PF13927_seed         -           7.2e-116  379.8  43.1   4.2e-17   63.3   1.0  10.0   9   0   0   9   9   9   9 -
anno1.g1509.t2       -          PF13927_seed         -           1.8e-109  359.2  18.2   2.3e-15   57.7   0.0   9.9   9   0   0   9   9   9   9 -
anno1.g1646.t1       -          PF13927_seed         -           5.4e-106  348.1  20.7   5.5e-18   66.1   0.0   9.1   8   0   0   8   8   8   8 -
anno1.g18060.t1      -          PF13927_seed         -           1.5e-102  337.1  11.8   1.8e-12   48.4   0.0  12.7  11   0   0  11  11  11  11 -
anno1.g19309.t1      -          PF13927_seed         -            3.1e-95  313.6  18.4   1.8e-15   58.1   0.0   7.3   7   0   0   7   7   7   7 -
