#                                                               --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
anno1.g20980.t1      -          PF18452_full         -           4.9e-124  411.0 101.3   2.6e-05   24.6   0.0  61.1  33  17  24  65  65  58  19 -
anno1.g441.t1        -          PF18452_full         -            5.3e-64  215.6   8.6   0.00011   22.5   0.0  19.7  16   3   3  20  20  18   7 -
anno1.g10402.t1      -          PF18452_full         -            1.7e-33  116.4   6.6   1.9e-05   25.1   0.1   6.3   4   2   1   6   6   6   5 -
anno1.g6245.t1       -          PF18452_full         -            1.1e-32  113.7   2.2   0.00014   22.2   0.0  10.5   6   3   3  10  10   9   5 -
anno1.g18060.t1      -          PF18452_full         -            1.4e-28  100.4   4.3    0.0042   17.4   0.0  10.6   8   1   2  11  11  10   5 -
anno1.g440.t1        -          PF18452_full         -            8.6e-26   91.3   7.7    0.0052   17.1   0.0  11.1   9   3   2  12  12  10   4 -
anno1.g1509.t2       -          PF18452_full         -            3.4e-24   86.1   7.1    0.0072   16.7   0.0   7.7   5   2   3   8   8   6   5 -
anno1.g19309.t1      -          PF18452_full         -            1.2e-23   84.3  17.8   3.6e-05   24.1   0.0   8.4   3   1   5   8   8   7   5 -
anno1.g10400.t1      -          PF18452_full         -            1.4e-20   74.3   0.2   2.8e-05   24.5   0.0   3.2   2   1   1   3   3   3   3 -
anno1.g20497.t1      -          PF18452_full         -            1.8e-19   70.7  11.0   6.6e-05   23.3   0.1   6.4   3   3   2   6   6   6   4 -
anno1.g18204.t1      -          PF18452_full         -            1.8e-19   70.7   5.1   8.7e-06   26.2   0.0   5.8   4   2   1   6   6   5   3 -
anno1.g25722.t1      -          PF18452_full         -            6.7e-18   65.6   7.3     0.028   14.7   0.0   6.6   4   2   3   7   7   5   5 -
anno1.g29128.t1      -          PF18452_full         -            1.1e-17   64.9  10.5    0.0067   16.8   0.0   6.8   3   2   2   6   6   6   4 -
anno1.g1646.t1       -          PF18452_full         -            1.7e-17   64.2   7.3   0.00024   21.5   0.0   5.8   2   2   1   5   5   5   3 -
anno1.g25718.t1      -          PF18452_full         -            2.8e-16   60.3   4.8    0.0004   20.8   0.1   4.3   3   1   0   4   4   4   3 -
anno1.g98.t1         -          PF18452_full         -              3e-16   60.2   7.0   2.1e-06   28.2   0.0   4.9   6   0   0   6   6   3   2 -
anno1.g25176.t1      -          PF18452_full         -            6.3e-16   59.2   0.1   8.8e-09   35.9   0.1   3.3   1   1   2   3   3   3   2 -
anno1.g13841.t1      -          PF18452_full         -            1.9e-15   57.6  16.5   0.00085   19.7   0.0   7.6   4   3   1   8   8   7   2 -
anno1.g14349.t1      -          PF18452_full         -            2.6e-15   57.2   5.1   3.7e-05   24.1   0.1   5.1   4   1   0   5   5   5   2 -
