#                                                               --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
g14786.t1            -          PF13519_full         -                  0 1591.9  40.6   1.3e-11   46.2   0.0  61.4  57   4   3  61  61  61  56 -
g13219.t1            -          PF13519_full         -           9.3e-197  652.6  37.1   2.8e-14   55.0   0.0  18.2  18   0   0  18  18  18  17 -
g2317.t1             -          PF13519_full         -           3.1e-177  588.6  89.1   2.2e-13   52.0   0.6  21.0  21   0   0  21  21  20  20 -
g2317.t2             -          PF13519_full         -           4.1e-140  467.1  64.9   1.3e-10   43.0   0.0  17.2  17   0   0  17  17  17  17 -
g210.t2              -          PF13519_full         -             5e-114  381.6  36.9   1.1e-10   43.2   0.1  21.2  21   0   0  21  21  21  17 -
g210.t1              -          PF13519_full         -           5.1e-114  381.6  36.9   1.1e-10   43.2   0.1  21.2  21   0   0  21  21  21  17 -
g2315.t1             -          PF13519_full         -           3.6e-110  369.0  46.7   1.1e-14   56.3   0.7  13.1  11   2   2  13  13  13  13 -
g2316.t1             -          PF13519_full         -           5.8e-103  345.4  49.2   1.2e-10   43.0   0.1  15.2  14   1   0  15  15  15  15 -
g2313.t1             -          PF13519_full         -           6.1e-103  345.3  38.7   1.4e-13   52.7   0.0  11.1  11   0   0  11  11  11  11 -
g2312.t1             -          PF13519_full         -            1.2e-80  272.3   1.2   1.1e-17   66.1   0.0   5.1   5   0   0   5   5   5   5 -
g17993.t1            -          PF13519_full         -            3.3e-67  228.3  18.8     3e-08   35.2   0.0   9.3   9   0   0   9   9   9   9 -
g19711.t1            -          PF13519_full         -            1.9e-49  170.1   0.2   8.4e-15   56.7   0.1   3.3   3   0   0   3   3   3   3 -
g2314.t1             -          PF13519_full         -            1.8e-44  153.8   9.0   1.8e-14   55.6   0.2   5.2   5   0   0   5   5   5   4 -
g17309.t1            -          PF13519_full         -            9.2e-33  115.5   0.0   1.8e-09   39.2   0.0   3.2   3   0   0   3   3   3   3 -
g32054.t1            -          PF13519_full         -            6.6e-30  106.1   2.5     9e-12   46.7   0.0   4.4   3   1   2   5   5   3   3 -
g32779.t1            -          PF13519_full         -            8.7e-30  105.8   4.1   9.5e-09   36.9   0.0   4.7   4   0   0   4   4   4   4 -
g1431.t1             -          PF13519_full         -            1.3e-28  101.9   0.0   4.5e-28  100.1   0.0   2.0   1   0   0   1   1   1   1 -
g17065.t1            -          PF13519_full         -            2.1e-28  101.2   1.5   1.6e-08   36.1   0.0   4.2   3   1   1   4   4   4   4 -
g8546.t1             -          PF13519_full         -            2.2e-28  101.1   1.0   5.9e-13   50.6   0.0   2.1   2   0   0   2   2   2   2 -
g29084.t1            -          PF13519_full         -            4.7e-26   93.5   5.5   3.2e-08   35.1   0.2   3.2   3   0   0   3   3   3   3 -
g3268.t1             -          PF13519_full         -            1.3e-24   88.8   0.0   2.4e-24   87.9   0.0   1.4   1   0   0   1   1   1   1 -
g42926.t1            -          PF13519_full         -            9.3e-24   86.0   0.0   1.6e-13   52.5   0.0   2.2   2   0   0   2   2   2   2 -
g42926.t2            -          PF13519_full         -              1e-23   85.9   0.0   1.6e-13   52.4   0.0   2.2   2   0   0   2   2   2   2 -
g34781.t1            -          PF13519_full         -            2.2e-23   84.8   0.0   3.9e-23   84.0   0.0   1.3   1   0   0   1   1   1   1 -
g2112.t2             -          PF13519_full         -            3.3e-23   84.2   0.0   9.3e-08   33.6   0.0   3.3   3   0   0   3   3   3   3 -
g2112.t1             -          PF13519_full         -            3.8e-23   84.0   0.0   9.8e-08   33.5   0.0   3.3   3   0   0   3   3   3   3 -
g36397.t1            -          PF13519_full         -            4.6e-23   83.7   0.1   7.7e-23   83.0   0.1   1.3   1   0   0   1   1   1   1 -
g2114.t1             -          PF13519_full         -              1e-22   82.6   0.1   3.8e-08   34.9   0.0   3.3   3   0   0   3   3   3   3 -
g41995.t1            -          PF13519_full         -            5.4e-22   80.2   0.1   1.4e-09   39.6   0.1   2.2   2   0   0   2   2   2   2 -
g41995.t2            -          PF13519_full         -            6.5e-22   80.0   0.1   1.5e-09   39.5   0.1   2.2   2   0   0   2   2   2   2 -
g5363.t1             -          PF13519_full         -            2.7e-21   77.9   0.0   4.4e-21   77.3   0.0   1.3   1   0   0   1   1   1   1 -
g5366.t1             -          PF13519_full         -            8.5e-21   76.3   0.1   1.7e-20   75.3   0.1   1.4   1   0   0   1   1   1   1 -
g5807.t1             -          PF13519_full         -              3e-20   74.5   0.4   4.3e-07   31.4   0.1   3.5   3   0   0   3   3   3   3 -
g16134.t3            -          PF13519_full         -            2.5e-19   71.5   0.0   7.4e-10   40.5   0.0   2.2   2   0   0   2   2   2   2 -
g24393.t1            -          PF13519_full         -            4.6e-19   70.6   0.2   2.7e-06   28.8   0.0   4.4   4   0   0   4   4   4   4 -
g16134.t1            -          PF13519_full         -            1.1e-18   69.4   0.0   1.6e-09   39.4   0.0   2.2   2   0   0   2   2   2   2 -
g5356.t1             -          PF13519_full         -            1.1e-18   69.4   0.0   1.9e-18   68.6   0.0   1.3   1   0   0   1   1   1   1 -
g16134.t2            -          PF13519_full         -            1.3e-18   69.1   0.0   1.8e-09   39.2   0.0   2.2   2   0   0   2   2   2   2 -
g27342.t1            -          PF13519_full         -              5e-18   67.2   0.1     5e-18   67.2   0.1   2.0   2   0   0   2   2   1   1 -
g29891.t1            -          PF13519_full         -            1.2e-17   66.0   3.1   3.3e-08   35.1   0.3   2.3   2   0   0   2   2   2   2 -
g24636.t1            -          PF13519_full         -            1.8e-17   65.4   0.3   3.6e-17   64.4   0.3   1.4   1   0   0   1   1   1   1 -
g21010.t1            -          PF13519_full         -            1.9e-16   62.1   0.0   2.6e-16   61.6   0.0   1.1   1   0   0   1   1   1   1 -
