#                                                               --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
anno1.g11706.t1      -          PF13895_full         -                  0 4030.2   0.0   2.4e-17   63.9   0.3 108.4  14  12  86 108 108 108 107 -
anno1.g20721.t1      -          PF13895_full         -                  0 2437.7 296.9   1.1e-15   58.5   2.8  66.1  15  13  44  66  66  66  66 -
anno1.g3243.t1       -          PF13895_full         -             3e-218  717.6 129.8   1.2e-13   51.8   2.0  21.1   3   3  18  21  21  21  21 -
anno1.g20722.t1      -          PF13895_full         -           3.9e-176  580.5  60.6   4.4e-15   56.5   0.9  13.3   2   2  10  13  13  13  13 -
anno1.g9837.t1       -          PF13895_full         -           7.6e-157  517.8  29.8   1.9e-15   57.8   0.6  12.3   1   1  11  12  12  12  12 -
anno1.g5260.t1       -          PF13895_full         -           7.3e-149  491.8  17.8   5.1e-15   56.3   0.0  11.5   1   1  10  11  11  11  11 -
anno1.g5904.t2       -          PF13895_full         -           1.7e-137  454.8  75.5   2.7e-18   67.0   2.5  11.4   2   2   8  11  11  11  11 -
anno1.g21477.t1      -          PF13895_full         -           4.1e-133  440.6  33.2   2.4e-16   60.7   0.0   9.5   2   2   7   9   9   9   9 -
anno1.g7985.t1       -          PF13895_full         -           1.2e-131  435.7  50.7   5.1e-18   66.1   0.8  11.1   4   4   7  11  11  11  10 -
anno1.g14985.t1      -          PF13895_full         -           7.3e-104  345.4  62.8     3e-14   53.8   2.1   9.5   2   1   8  10  10   9   9 -
anno1.g15387.t1      -          PF13895_full         -            1.2e-97  325.2  15.2   3.5e-12   47.1   1.3  10.1   3   2   7  10  10  10  10 -
anno1.g10252.t1      -          PF13895_full         -            2.8e-96  320.7  71.3   1.3e-15   58.3   2.8   9.2   1   1   8   9   9   9   9 -
anno1.g28580.t1      -          PF13895_full         -            2.1e-91  304.9  22.0   3.3e-12   47.2   0.5  10.4   3   2   6  10  10  10   8 -
anno1.g7260.t1       -          PF13895_full         -            1.1e-89  299.3  29.8   2.8e-18   67.0   1.9   8.9   2   2   5   8   8   8   8 -
anno1.g4899.t2       -          PF13895_full         -            5.4e-87  290.5  29.6   1.7e-14   54.6   1.1  10.8   4   1   7  11  11  10   8 -
anno1.g4168.t1       -          PF13895_full         -            1.4e-83  279.4  42.4   7.6e-16   59.0   0.2   9.9   1   1   7   9   9   9   9 -
anno1.g3261.t1       -          PF13895_full         -            4.9e-83  277.6  35.2   5.5e-19   69.2   0.0   6.7   2   1   4   7   7   6   6 -
anno1.g6666.t1       -          PF13895_full         -            6.1e-81  270.8  28.1   1.7e-18   67.7   0.4   6.4   4   1   1   6   6   6   5 -
anno1.g8446.t1       -          PF13895_full         -            9.6e-81  270.2  17.9     2e-13   51.1   2.1   7.1   2   2   5   7   7   7   7 -
