#                                                               --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
anno1.g3466.t1       -          PF13895_full         -                  0 3018.5   0.0   8.5e-17   62.1   0.0  78.3  11   8  62  78  78  78  78 -
anno1.g3109.t1       -          PF13895_full         -                  0 1949.2 248.6   4.2e-16   59.8   2.2  53.2  15  13  35  53  53  53  52 -
anno1.g8769.t1       -          PF13895_full         -           1.4e-166  549.4 138.4   4.1e-16   59.9   5.9  15.4   1   1  14  15  15  15  15 -
anno1.g7913.t1       -          PF13895_full         -           3.1e-140  463.7  73.4   3.5e-16   60.1   1.0  10.1   1   1   9  10  10  10  10 -
anno1.g3184.t1       -          PF13895_full         -           7.4e-122  403.9  26.3   5.7e-15   56.1   0.2   9.9   3   2   7  10  10   9   9 -
anno1.g2080.t1       -          PF13895_full         -           2.5e-115  382.7  59.8   4.8e-13   49.9   1.1  19.3   8   6   9  19  19  17  13 -
anno1.g23924.t1      -          PF13895_full         -           1.3e-108  360.8  95.3   2.3e-12   47.6   5.5  13.1   1   1  12  13  13  13  12 -
anno1.g2939.t1       -          PF13895_full         -           7.1e-100  332.4  80.2   6.1e-12   46.3   2.6  12.2   2   2  10  12  12  12  12 -
anno1.g10469.t1      -          PF13895_full         -            6.2e-97  322.8  38.9     1e-10   42.3   0.3  17.3   2   1  14  17  17  17  14 -
anno1.g19745.t1      -          PF13895_full         -            1.9e-89  298.5  66.1   1.3e-13   51.7   1.2   9.8   3   1   7  10  10   9   9 -
anno1.g22771.t1      -          PF13895_full         -            1.5e-83  279.3  20.4   1.2e-14   55.1   1.0   7.1   2   2   5   7   7   7   7 -
anno1.g20369.t1      -          PF13895_full         -            2.2e-79  265.7  54.3   2.2e-12   47.7   1.4   9.1   1   1   8   9   9   9   9 -
anno1.g18484.t2      -          PF13895_full         -            4.8e-78  261.4  11.6   6.5e-18   65.7   0.0   6.0   1   1   5   6   6   6   6 -
anno1.g21494.t1      -          PF13895_full         -            4.1e-76  255.1  47.3   2.1e-12   47.8   3.7   7.1   1   1   6   7   7   7   7 -
anno1.g19375.t1      -          PF13895_full         -            2.4e-75  252.6  12.8   9.9e-19   68.4   1.0   5.4   1   1   4   5   5   5   5 -
anno1.g26997.t1      -          PF13895_full         -            1.1e-74  250.4  23.4     2e-13   51.1   0.3   8.1   1   1   6   7   7   7   7 -
anno1.g5814.t1       -          PF13895_full         -            3.6e-70  235.7  16.2   1.3e-11   45.2   0.2   7.8   2   2   6   8   8   7   7 -
anno1.g8766.t1       -          PF13895_full         -              6e-70  235.0  43.8   2.4e-13   50.8   0.3   8.1   3   1   6   9   9   7   7 -
anno1.g3491.t1       -          PF13895_full         -            1.9e-66  223.6  10.8   3.5e-13   50.3   0.8   5.2   1   1   4   5   5   5   5 -
anno1.g3312.t1       -          PF13895_full         -              2e-63  213.8   0.2   3.7e-16   60.0   0.0   4.5   1   1   2   4   4   4   4 -
anno1.g14084.t1      -          PF13895_full         -            1.9e-60  204.1   4.5   1.8e-13   51.3   0.1   5.0   1   1   4   5   5   5   5 -
anno1.g8768.t2       -          PF13895_full         -            5.9e-57  192.7  29.5     2e-20   73.9   1.1   5.1   2   1   3   5   5   5   5 -
anno1.g17677.t1      -          PF13895_full         -            3.9e-56  190.1  24.7   1.4e-15   58.1   2.7   5.5   1   1   5   6   6   5   5 -
anno1.g12534.t1      -          PF13895_full         -            2.9e-54  184.0   7.4   9.5e-16   58.7   0.2   5.7   1   1   4   5   5   5   4 -
anno1.g8004.t1       -          PF13895_full         -            4.6e-53  180.1  32.9   2.4e-15   57.4   3.0   7.1   3   1   4   7   7   5   5 -
anno1.g15030.t1      -          PF13895_full         -            1.1e-52  178.8   8.6   5.6e-12   46.4   0.3   6.8   1   1   5   6   6   6   5 -
anno1.g603.t1        -          PF13895_full         -            1.8e-51  174.9   2.7   7.7e-15   55.7   0.0   4.5   1   1   3   4   4   4   4 -
anno1.g8765.t1       -          PF13895_full         -            5.7e-51  173.3   9.0     7e-15   55.9   0.3   4.9   1   1   4   5   5   4   4 -
anno1.g17903.t1      -          PF13895_full         -            3.4e-50  170.8  40.4   8.2e-16   58.9   8.9   5.6   2   1   3   5   5   5   5 -
anno1.g24293.t1      -          PF13895_full         -            1.5e-49  168.7   6.9   2.6e-14   54.0   0.0   4.3   2   1   1   4   4   4   4 -
anno1.g19373.t1      -          PF13895_full         -            2.1e-48  164.9  14.5   1.9e-12   47.9   0.8   5.3   2   2   3   5   5   5   4 -
anno1.g16192.t1      -          PF13895_full         -            5.5e-48  163.6  39.6   3.2e-14   53.7   2.6   5.1   1   1   4   5   5   5   4 -
anno1.g23912.t1      -          PF13895_full         -            7.1e-48  163.2  39.1   2.6e-13   50.8   1.3   5.0   1   1   4   5   5   5   4 -
anno1.g21492.t1      -          PF13895_full         -            1.2e-47  162.4  33.5   1.6e-10   41.7   1.6   5.1   1   1   4   5   5   5   5 -
anno1.g6324.t1       -          PF13895_full         -            2.1e-46  158.4  10.9   2.1e-13   51.0   0.0   5.1   2   1   3   5   5   4   4 -
anno1.g13676.t1      -          PF13895_full         -            2.2e-46  158.3   1.1   6.3e-15   56.0   0.3   4.0   1   1   2   3   3   3   3 -
anno1.g19372.t1      -          PF13895_full         -            9.1e-46  156.3  21.3   7.7e-13   49.2   0.6   6.6   3   2   4   7   7   6   4 -
anno1.g12719.t2      -          PF13895_full         -            2.9e-44  151.4   6.0   1.2e-15   58.4   0.3   3.4   1   1   2   3   3   3   3 -
anno1.g588.t1        -          PF13895_full         -            6.1e-44  150.4   7.1   7.3e-10   39.5   0.0   4.5   2   1   2   5   5   4   4 -
anno1.g19641.t1      -          PF13895_full         -            1.4e-43  149.2   3.7   6.6e-13   49.4   0.0   4.6   1   1   3   4   4   4   4 -
anno1.g21459.t2      -          PF13895_full         -            1.7e-43  148.9  23.2   1.1e-13   52.0   4.0   5.3   1   1   4   5   5   5   4 -
anno1.g15798.t1      -          PF13895_full         -            1.2e-42  146.1   9.7   4.8e-11   43.4   0.0   4.8   3   1   1   4   4   4   4 -
anno1.g12723.t1      -          PF13895_full         -            1.3e-42  146.1   0.8   6.6e-14   52.7   0.1   3.6   1   1   2   3   3   3   3 -
anno1.g22271.t1      -          PF13895_full         -              4e-42  144.5   7.3   4.1e-11   43.6   0.0   4.5   2   1   2   4   4   4   4 -
anno1.g24919.t1      -          PF13895_full         -            5.5e-42  144.0   7.1   1.5e-14   54.8   0.4   3.3   1   1   2   3   3   3   3 -
anno1.g20022.t1      -          PF13895_full         -            2.2e-41  142.1   9.6   2.2e-13   51.0   1.2   3.3   1   1   2   3   3   3   3 -
anno1.g15027.t1      -          PF13895_full         -            1.7e-40  139.2   4.1   5.6e-14   52.9   2.2   3.6   3   1   1   4   4   3   3 -
anno1.g2044.t1       -          PF13895_full         -            1.7e-40  139.2   8.2   4.3e-15   56.5   0.0   3.3   1   1   2   3   3   3   3 -
anno1.g12721.t1      -          PF13895_full         -            4.1e-40  137.9   2.9   4.7e-16   59.7   0.1   3.7   2   1   2   4   4   3   3 -
anno1.g25880.t1      -          PF13895_full         -            2.8e-39  135.2   9.4   6.9e-15   55.9   0.0   3.1   1   1   2   3   3   3   3 -
anno1.g27001.t1      -          PF13895_full         -            4.3e-39  134.6   7.9   1.8e-13   51.3   0.8   4.1   1   1   3   4   4   4   4 -
anno1.g9055.t1       -          PF13895_full         -            6.6e-39  134.0   7.5   1.8e-14   54.5   0.3   3.5   1   1   2   3   3   3   3 -
anno1.g2034.t1       -          PF13895_full         -            3.2e-38  131.8   9.9   9.2e-14   52.2   0.2   3.6   1   1   2   3   3   3   3 -
