#                                                               --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
anno1.g737.t1        -          PF13927_seed         -                  0 3139.6  11.2   4.5e-18   66.4   0.1  73.5  73   0   0  73  73  73  73 -
anno1.g15993.t2      -          PF13927_seed         -                  0 1096.9  62.8     9e-14   52.6   0.1  29.9  29   0   0  29  29  29  27 -
anno1.g7723.t1       -          PF13927_seed         -           7.8e-173  562.3  52.7   3.1e-14   54.1   0.6  13.2  12   1   1  13  13  12  12 -
anno1.g26710.t2      -          PF13927_seed         -           3.2e-172  560.3  21.0   2.2e-16   61.0   0.1  12.4  12   0   0  12  12  12  12 -
anno1.g9116.t1       -          PF13927_seed         -           2.6e-159  519.0  16.7   2.9e-15   57.4   0.0  11.7  11   0   0  11  11  11  11 -
anno1.g10447.t1      -          PF13927_seed         -           1.8e-156  509.8  39.3   2.5e-14   54.4   0.1  14.5  13   2   0  13  13  13  12 -
anno1.g15994.t1      -          PF13927_seed         -           1.1e-154  504.2  15.0   6.6e-13   49.8   0.0  14.6  14   0   0  14  14  14  13 -
anno1.g20821.t1      -          PF13927_seed         -           2.2e-125  410.2  37.9   2.5e-13   51.2   0.2  17.1  17   0   0  17  17  15  14 -
anno1.g10446.t1      -          PF13927_seed         -           2.2e-120  394.2   4.4   4.3e-13   50.4   0.0  10.5  10   0   0  10  10  10  10 -
anno1.g30161.t1      -          PF13927_seed         -           4.9e-115  377.1  15.7   4.3e-15   56.8   0.2   9.9   9   0   0   9   9   9   9 -
anno1.g8490.t1       -          PF13927_seed         -           1.7e-101  333.7  29.0     2e-16   61.1   0.2  10.0  11   0   0  11  11   8   8 -
anno1.g12420.t1      -          PF13927_seed         -            2.8e-94  310.6  35.6   1.1e-17   65.1   0.8   6.1   6   0   0   6   6   6   6 -
anno1.g30142.t1      -          PF13927_seed         -            8.7e-93  305.8  35.8   1.6e-13   51.8   0.1  10.1  10   0   0  10  10   9   8 -
anno1.g3381.t1       -          PF13927_seed         -            3.6e-92  303.8  22.7   1.6e-17   64.6   0.7   7.3   7   0   0   7   7   7   7 -
anno1.g3379.t1       -          PF13927_seed         -            2.7e-85  281.8   2.1   4.8e-15   56.7   0.0   6.2   6   0   0   6   6   6   6 -
anno1.g7730.t1       -          PF13927_seed         -            5.6e-81  267.9   5.8   7.5e-11   43.2   0.2   9.7   9   0   0   9   9   9   8 -
anno1.g31517.t1      -          PF13927_seed         -            9.9e-81  267.2   8.6   1.7e-13   51.7   0.1   8.7   8   0   0   8   8   8   7 -
anno1.g23625.t1      -          PF13927_seed         -            1.6e-80  266.5  32.4   1.6e-13   51.8   0.1   8.8   8   0   0   8   8   8   8 -
anno1.g31139.t1      -          PF13927_seed         -            7.6e-79  261.1  25.0   1.8e-13   51.7   0.1   9.2   9   0   0   9   9   7   7 -
anno1.g20822.t1      -          PF13927_seed         -            1.4e-77  257.1  30.1   4.8e-12   47.1   0.4  11.7  10   1   0  10  10  10   8 -
anno1.g31133.t1      -          PF13927_seed         -            2.1e-76  253.3  22.9   3.9e-13   50.6   0.0   7.5   8   0   0   8   8   6   6 -
anno1.g8168.t1       -          PF13927_seed         -            5.5e-74  245.6  30.5     2e-12   48.3   0.0  11.7  11   3   0  11  11  10   9 -
anno1.g21826.t1      -          PF13927_seed         -            2.4e-73  243.5   0.3   1.2e-17   65.0   0.2   4.6   4   0   0   4   4   4   4 -
anno1.g9052.t1       -          PF13927_seed         -            2.5e-70  233.8  24.1   9.6e-15   55.7   0.7   8.2   9   0   0   9   9   6   6 -
anno1.g23619.t1      -          PF13927_seed         -            5.5e-69  229.5  23.6   2.8e-13   51.0   0.2   7.3   7   0   0   7   7   7   6 -
anno1.g7177.t1       -          PF13927_seed         -            5.6e-68  226.3   1.3     1e-13   52.4   0.0   6.7   6   0   0   6   6   6   6 -
anno1.g6540.t1       -          PF13927_seed         -            1.2e-67  225.2  10.1   7.2e-13   49.7   0.0   7.3   7   0   0   7   7   6   5 -
anno1.g22107.t1      -          PF13927_seed         -            5.9e-66  219.8  19.8   7.5e-14   52.9   0.0   7.4   8   0   0   8   8   6   5 -
anno1.g12789.t2      -          PF13927_seed         -            6.1e-65  216.6  26.2   5.2e-14   53.4   0.2   8.5   8   0   0   8   8   7   7 -
anno1.g31140.t1      -          PF13927_seed         -            8.2e-65  216.2  14.7   6.5e-15   56.3   0.1   6.1   5   1   0   5   5   5   5 -
anno1.g22344.t1      -          PF13927_seed         -            1.5e-64  215.3   3.1   2.8e-15   57.4   0.4   5.2   4   0   0   4   4   4   4 -
anno1.g23623.t1      -          PF13927_seed         -            2.9e-61  204.8  22.8   1.4e-13   51.9   0.0   6.8   6   0   0   6   6   6   6 -
anno1.g7319.t1       -          PF13927_seed         -            1.4e-59  199.4   1.3   4.5e-16   60.0   0.3   4.1   4   0   0   4   4   4   4 -
anno1.g8169.t1       -          PF13927_seed         -            1.4e-59  199.4  20.9   4.2e-13   50.5   0.0   8.0   7   3   0   7   7   7   6 -
anno1.g7033.t1       -          PF13927_seed         -            5.9e-59  197.4   1.5   7.4e-15   56.1   0.0   5.2   5   0   0   5   5   4   4 -
anno1.g25544.t1      -          PF13927_seed         -              1e-58  196.6   0.3     3e-16   60.5   0.0   4.5   4   0   0   4   4   4   4 -
anno1.g7727.t1       -          PF13927_seed         -            2.1e-58  195.6   4.0     1e-10   42.8   0.1   6.7   6   0   0   6   6   6   5 -
anno1.g8167.t1       -          PF13927_seed         -            2.5e-56  189.0  18.1   2.2e-11   44.9   0.1   8.0   7   2   0   7   7   7   7 -
anno1.g8166.t1       -          PF13927_seed         -            3.7e-56  188.4  10.0   7.4e-12   46.5   0.1   7.5   7   0   0   7   7   7   6 -
anno1.g8324.t1       -          PF13927_seed         -            4.2e-56  188.2   1.3   3.6e-11   44.3   0.0   6.7   6   0   0   6   6   6   5 -
anno1.g7724.t1       -          PF13927_seed         -              9e-56  187.2   0.3   1.6e-10   42.2   0.0   6.7   6   0   0   6   6   6   5 -
anno1.g9908.t1       -          PF13927_seed         -              2e-55  186.1  13.6   6.1e-17   62.7   0.2   6.2   6   0   0   6   6   5   5 -
anno1.g19890.t1      -          PF13927_seed         -            2.7e-54  182.4   2.2   1.7e-14   55.0   0.1   5.8   4   2   0   4   4   4   4 -
anno1.g22410.t1      -          PF13927_seed         -            1.1e-53  180.5  11.0   3.5e-16   60.3   0.5   5.4   6   0   0   6   6   4   4 -
anno1.g31137.t1      -          PF13927_seed         -            1.2e-53  180.4  17.6     1e-14   55.6   0.4   5.8   6   0   0   6   6   5   4 -
anno1.g5658.t2       -          PF13927_seed         -            1.5e-53  180.1   0.0   6.6e-13   49.8   0.0   6.2   5   0   0   5   5   5   5 -
anno1.g3423.t1       -          PF13927_seed         -              8e-53  177.7   5.5   3.5e-14   53.9   0.1   5.1   5   0   0   5   5   4   4 -
anno1.g9898.t1       -          PF13927_seed         -            4.3e-51  172.2   6.5   2.2e-14   54.6   0.0   6.0   6   0   0   6   6   5   5 -
anno1.g9905.t1       -          PF13927_seed         -            9.2e-51  171.1   7.4   1.8e-16   61.2   0.1   4.1   4   0   0   4   4   4   4 -
anno1.g20181.t1      -          PF13927_seed         -            1.8e-50  170.2   2.6     2e-08   35.4   0.0   5.3   5   0   0   5   5   5   5 -
anno1.g20184.t1      -          PF13927_seed         -            2.4e-49  166.6   3.6   5.3e-09   37.3   0.2   5.3   5   0   0   5   5   5   5 -
anno1.g31028.t1      -          PF13927_seed         -            7.5e-49  165.0   5.2   1.9e-15   58.0   0.1   3.9   4   0   0   4   4   3   3 -
anno1.g18488.t1      -          PF13927_seed         -            3.1e-48  163.0   3.2   3.9e-17   63.4   0.0   3.5   3   0   0   3   3   3   3 -
anno1.g31025.t1      -          PF13927_seed         -            6.1e-48  162.1   3.8   1.3e-15   58.5   0.1   3.6   3   0   0   3   3   3   3 -
