#                                                               --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
g10902.t1            -          PF14580_full         -           2.5e-150  500.5 101.3   6.3e-32  112.2   6.3  10.5   2   2   6   8   8   8   8 -
g12005.t3            -          PF14580_full         -           5.4e-113  378.0  85.8   2.9e-34  119.8   5.2   7.0   1   1   6   7   7   7   7 -
g12005.t2            -          PF14580_full         -            2.6e-99  333.1  74.0   1.6e-34  120.6   4.7   6.0   1   1   5   6   6   6   6 -
g12005.t1            -          PF14580_full         -            5.5e-99  332.1  72.7   1.4e-34  120.8   4.9   6.0   1   1   5   6   6   6   6 -
g14381.t1            -          PF14580_full         -            8.4e-72  242.9  56.8   5.7e-37  128.7  14.1   3.9   2   1   2   4   4   4   4 -
g34931.t1            -          PF14580_full         -            1.3e-61  209.5 104.6   5.6e-16   59.8   9.7   8.9   2   2   7   9   9   9   9 -
g21855.t1            -          PF14580_full         -            2.2e-61  208.7  66.6   2.7e-14   54.3   0.7   7.0   2   2   6   8   8   8   8 -
g21855.t2            -          PF14580_full         -              4e-60  204.6  48.1   2.9e-14   54.2   0.7   7.3   2   2   5   8   8   8   8 -
g25515.t1            -          PF14580_full         -              2e-59  202.3   2.8   2.9e-59  201.8   2.8   1.2   1   0   0   1   1   1   1 -
g14903.t1            -          PF14580_full         -            8.1e-59  200.3  97.4     6e-12   46.6   3.2   7.8   1   1   7   8   8   8   8 -
g14909.t1            -          PF14580_full         -            5.6e-57  194.3 102.6   1.5e-16   61.8   4.6   7.8   1   1   7   8   8   8   8 -
g25550.t1            -          PF14580_full         -            8.4e-57  193.7  80.8   1.4e-11   45.4  15.0  10.6   5   2   5  10  10  10   9 -
g22134.t1            -          PF14580_full         -            4.9e-56  191.2  41.6   3.8e-22   80.1   4.4   4.1   1   1   3   4   4   4   4 -
g22570.t1            -          PF14580_full         -            7.9e-55  187.3  32.5   6.1e-33  115.5  11.5   3.1   1   1   2   3   3   3   3 -
g21801.t1            -          PF14580_full         -            2.2e-54  185.8  29.4   3.7e-42  145.7  11.6   3.2   1   1   2   3   3   3   3 -
g3223.t1             -          PF14580_full         -              5e-52  178.1  25.2   6.4e-41  141.6  10.4   3.1   1   1   1   2   2   2   2 -
g16107.t1            -          PF14580_full         -            2.4e-51  175.8  24.1   3.1e-47  162.3  11.4   2.5   2   1   1   3   3   2   2 -
g26927.t1            -          PF14580_full         -              9e-49  167.4  57.1     4e-12   47.2   3.9   6.8   2   2   4   6   6   6   6 -
g33335.t1            -          PF14580_full         -            1.7e-48  166.5  85.7   8.4e-12   46.1  15.2   7.0   2   2   3   5   5   5   5 -
g37076.t1            -          PF14580_full         -            2.8e-46  159.2  25.6   2.8e-46  159.2  25.6   2.2   1   1   1   2   2   2   1 -
g13488.t1            -          PF14580_full         -            6.5e-43  148.2  21.9     1e-18   68.8   0.3   3.3   2   2   1   3   3   3   3 -
g474.t1              -          PF14580_full         -            3.9e-42  145.6  11.1   3.9e-42  145.6  11.1   3.0   1   1   2   3   3   1   1 -
g21516.t1            -          PF14580_full         -            1.8e-41  143.4  30.4   3.3e-19   70.5   0.7   4.2   2   1   2   4   4   4   4 -
g37856.t1            -          PF14580_full         -            8.2e-41  141.3  52.4   2.8e-11   44.4   5.6   5.8   2   2   3   5   5   5   5 -
g10804.t1            -          PF14580_full         -            1.7e-40  140.2   3.5   2.1e-40  140.0   3.5   1.2   1   0   0   1   1   1   1 -
g22482.t1            -          PF14580_full         -            8.6e-40  137.9  66.7   2.1e-10   41.6   2.4   8.2   2   2   4   7   7   7   6 -
g8418.t1             -          PF14580_full         -            2.3e-39  136.6  25.6   2.3e-39  136.6  25.6   3.0   1   1   1   2   2   1   1 -
g2656.t3             -          PF14580_full         -            1.1e-38  134.3  61.9   7.1e-14   53.0  15.7   6.2   1   1   5   6   6   6   6 -
g8417.t1             -          PF14580_full         -            5.5e-38  132.0  28.9   5.5e-38  132.0  28.9   6.5   3   2   2   6   6   1   1 -
g6831.t1             -          PF14580_full         -            1.5e-37  130.5   0.1   1.8e-37  130.3   0.1   1.1   1   0   0   1   1   1   1 -
g19003.t1            -          PF14580_full         -            3.2e-37  129.5  60.7     2e-11   44.9   0.8   7.2   3   1   4   7   7   5   5 -
g28010.t3            -          PF14580_full         -            4.8e-37  128.9  61.8   5.5e-15   56.6  11.4   4.2   1   1   3   4   4   4   4 -
g2656.t1             -          PF14580_full         -            1.1e-36  127.7  52.9     1e-15   59.0  14.5   5.2   1   1   4   5   5   5   5 -
g2656.t2             -          PF14580_full         -            1.5e-36  127.3  54.0   2.7e-15   57.6  16.8   5.2   1   1   4   5   5   5   5 -
g21587.t1            -          PF14580_full         -              6e-36  125.3   6.1     6e-36  125.3   6.1   2.9   2   1   0   2   2   1   1 -
g2757.t1             -          PF14580_full         -            6.1e-36  125.3  85.3   1.8e-12   48.4  15.4   7.6   3   3   3   6   6   5   5 -
g3037.t2             -          PF14580_full         -            3.9e-35  122.7   3.8   3.9e-35  122.7   3.8   1.9   1   1   0   2   2   2   1 -
g37539.t1            -          PF14580_full         -            4.2e-35  122.6  36.6   1.8e-25   91.0  11.2   2.1   1   1   1   2   2   2   2 -
g3037.t1             -          PF14580_full         -            5.3e-35  122.2   5.1   5.3e-35  122.2   5.1   1.8   1   1   1   2   2   2   1 -
g19678.t1            -          PF14580_full         -            2.2e-34  120.2  14.8   4.4e-21   76.6   0.3   2.1   1   1   1   2   2   2   2 -
g6354.t1             -          PF14580_full         -              4e-34  119.4  57.0   1.6e-17   64.9  13.3   9.0   1   1   6   7   7   4   4 -
g37886.t1            -          PF14580_full         -            1.2e-33  117.7  14.1   3.9e-18   66.9   3.8   3.3   1   1   2   3   3   3   3 -
g8824.t1             -          PF14580_full         -            2.1e-32  113.7   0.2   2.4e-32  113.5   0.2   1.1   1   0   0   1   1   1   1 -
g5323.t1             -          PF14580_full         -            2.6e-32  113.4  38.7     5e-08   33.8  15.4   5.3   1   1   2   4   4   4   4 -
g16645.t1            -          PF14580_full         -            2.7e-32  113.4  65.8   3.3e-16   60.6   1.1   7.1   3   2   3   6   6   4   4 -
g7704.t1             -          PF14580_full         -            6.7e-32  112.1  15.6   3.5e-13   50.7   2.1   5.3   5   0   0   5   5   5   4 -
g19999.t1            -          PF14580_full         -            2.3e-31  110.3  59.2     2e-09   38.4  19.3   6.1   1   1   4   5   5   5   5 -
g15915.t1            -          PF14580_full         -            3.3e-31  109.8   8.0     3e-19   70.6   0.1   2.8   2   0   0   2   2   2   2 -
g16128.t1            -          PF14580_full         -            4.4e-31  109.4  10.0   9.5e-31  108.3  10.0   1.5   1   1   0   1   1   1   1 -
g23384.t2            -          PF14580_full         -            7.3e-31  108.7  20.0   1.2e-30  107.9   9.3   2.6   2   1   1   3   3   2   1 -
g37885.t1            -          PF14580_full         -            5.5e-30  105.8   8.5   4.8e-18   66.6   4.7   3.1   1   1   2   3   3   3   3 -
g32508.t1            -          PF14580_full         -              1e-29  104.9   5.1   1.3e-22   81.6   0.2   3.2   4   0   0   4   4   2   2 -
g32508.t2            -          PF14580_full         -              3e-29  103.4   7.7   1.3e-22   81.6   0.2   3.2   4   0   0   4   4   2   2 -
g4970.t1             -          PF14580_full         -            6.8e-29  102.2  21.6   1.6e-14   55.1   4.7   3.5   1   1   2   3   3   3   3 -
g32591.t1            -          PF14580_full         -            7.3e-29  102.1  18.4   6.5e-18   66.2   2.2   2.5   1   1   1   2   2   2   2 -
g20426.t2            -          PF14580_full         -            1.2e-28  101.4  34.7   1.1e-09   39.2   3.7   4.4   1   1   3   4   4   4   4 -
g19737.t1            -          PF14580_full         -              5e-28   99.3  36.4   1.1e-10   42.5   2.1   3.8   1   1   2   3   3   3   3 -
g28010.t2            -          PF14580_full         -            7.5e-28   98.8  27.1   5.5e-15   56.6  11.4   4.0   1   1   2   3   3   3   3 -
g20426.t1            -          PF14580_full         -            1.8e-27   97.5  34.6   8.6e-09   36.3   5.1   4.5   1   1   3   4   4   4   4 -
g7231.t1             -          PF14580_full         -            1.9e-27   97.5  26.1   9.6e-07   29.6   0.7   6.4   2   2   2   4   4   4   4 -
g35558.t1            -          PF14580_full         -              2e-27   97.4  62.6   9.1e-06   26.4   2.8   8.7   1   1   3   5   5   4   4 -
g12795.t1            -          PF14580_full         -            2.5e-27   97.1  34.6   5.5e-14   53.3   5.4   3.2   1   1   2   3   3   3   3 -
g2654.t1             -          PF14580_full         -            2.6e-27   97.0   1.4   6.3e-27   95.7   1.4   1.6   1   0   0   1   1   1   1 -
g16250.t1            -          PF14580_full         -            7.6e-26   92.2  23.2   1.6e-21   78.1   4.2   2.7   1   1   1   2   2   2   2 -
