#                                                               --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
g20566.t1            -          PF13927_seed         -                  0 2149.1 211.3     9e-15   57.3   0.2  57.2  56   1   0  56  56  56  56 -
g53200.t1            -          PF13927_seed         -                  0 1832.0   9.3   6.3e-16   61.0   0.0  40.9  41   0   0  41  41  40  39 -
g53203.t1            -          PF13927_seed         -             3e-250  811.9   0.0   5.5e-15   58.0   0.2  19.3  19   0   0  19  19  19  19 -
g13035.t1            -          PF13927_seed         -           2.5e-202  658.3  69.8   9.1e-21   76.5   0.6  11.1  11   0   0  11  11  11  11 -
g46623.t2            -          PF13927_seed         -           1.5e-173  566.1  16.4   2.1e-17   65.7   0.1  12.3  12   0   0  12  12  12  12 -
g46623.t1            -          PF13927_seed         -           1.7e-173  565.9  16.4   2.1e-17   65.7   0.1  12.3  12   0   0  12  12  12  12 -
g77688.t1            -          PF13927_seed         -           3.8e-166  542.3  10.3   2.3e-17   65.6   0.1  11.5  11   0   0  11  11  11  11 -
g63763.t1            -          PF13927_seed         -           2.6e-164  536.5  25.6     7e-16   60.9   0.0  13.3  13   0   0  13  13  11  11 -
g30722.t1            -          PF13927_seed         -           3.8e-139  455.8  18.5   1.9e-12   49.9   0.1  12.6  12   0   0  12  12  12  12 -
g58475.t1            -          PF13927_seed         -           5.2e-128  420.1   0.0   7.8e-14   54.3   0.0   9.2   9   0   0   9   9   9   9 -
g30723.t1            -          PF13927_seed         -           9.5e-117  384.1  12.2   1.1e-12   50.6   0.1  10.6  10   0   0  10  10  10  10 -
g47589.t1            -          PF13927_seed         -           1.5e-114  377.0  36.9   8.6e-21   76.6   0.7   6.1   6   0   0   6   6   6   6 -
g15818.t1            -          PF13927_seed         -           3.7e-103  340.5  31.2   1.8e-13   53.2   0.1  13.8  14   0   0  14  14  12  11 -
g63760.t1            -          PF13927_seed         -            3.2e-99  327.9   6.7   2.1e-16   62.5   0.0   6.5   6   0   0   6   6   6   6 -
g68852.t1            -          PF13927_seed         -            6.7e-99  326.9  45.1   8.4e-16   60.6   3.0   8.8   9   0   0   9   9   8   8 -
g47316.t1            -          PF13927_seed         -            3.2e-97  321.5  48.5   2.5e-12   49.5   0.4   9.5   9   0   0   9   9   9   9 -
g12813.t1            -          PF13927_seed         -            2.6e-95  315.4  46.3   4.5e-15   58.3   0.7   8.8   9   0   0   9   9   8   8 -
g42233.t1            -          PF13927_seed         -            9.7e-91  300.7  12.6   9.8e-17   63.6   0.0   7.3   7   0   0   7   7   7   7 -
g42445.t1            -          PF13927_seed         -            2.2e-89  296.4  32.6   7.9e-13   51.1   0.0   9.3   9   0   0   9   9   8   8 -
g22759.t2            -          PF13927_seed         -            1.6e-85  284.0   6.8   4.4e-18   67.9   0.1   6.1   6   0   0   6   6   6   6 -
g22759.t1            -          PF13927_seed         -            1.8e-85  283.9   7.1   4.3e-18   67.9   0.1   6.1   6   0   0   6   6   6   6 -
g43296.t1            -          PF13927_seed         -              1e-84  281.4  20.2   3.4e-14   55.5   0.4   6.3   6   0   0   6   6   6   6 -
g62362.t1            -          PF13927_seed         -            9.1e-83  275.2   9.5   7.2e-16   60.8   0.1   5.2   5   0   0   5   5   5   5 -
g79538.t1            -          PF13927_seed         -            4.3e-82  273.0  17.4   1.4e-23   85.5   0.7   5.2   5   0   0   5   5   5   4 -
g47864.t1            -          PF13927_seed         -            7.9e-82  272.2   8.5   6.5e-18   67.4   0.1   6.3   6   0   0   6   6   6   6 -
g21771.t1            -          PF13927_seed         -            8.4e-81  268.9  24.3     2e-20   75.4   0.7   4.2   4   0   0   4   4   4   4 -
g21770.t1            -          PF13927_seed         -            1.2e-80  268.4  22.9   3.3e-20   74.7   0.7   4.2   4   0   0   4   4   4   4 -
g70262.t1            -          PF13927_seed         -            3.2e-79  263.8  20.4     2e-15   59.4   0.1   7.5   7   1   0   7   7   5   5 -
g81442.t1            -          PF13927_seed         -            1.9e-78  261.3   8.9   5.9e-15   57.9   0.2   6.2   6   0   0   6   6   6   6 -
g81442.t2            -          PF13927_seed         -            4.2e-78  260.2   8.9   6.8e-15   57.7   0.2   6.2   6   0   0   6   6   6   6 -
g16736.t1            -          PF13927_seed         -            1.4e-77  258.6   7.7   2.1e-12   49.7   0.2   9.4   8   0   0   8   8   8   8 -
g45366.t1            -          PF13927_seed         -            4.3e-77  257.0  32.9   2.5e-10   43.1   1.4  11.7  10   1   0  10  10  10   8 -
g8984.t1             -          PF13927_seed         -            1.1e-76  255.7   0.5   2.1e-15   59.3   0.0   5.1   5   0   0   5   5   5   5 -
g10723.t1            -          PF13927_seed         -            2.9e-75  251.2  25.9   1.5e-17   66.2   1.2   7.6   7   0   0   7   7   6   6 -
g31292.t1            -          PF13927_seed         -            6.3e-75  250.1  20.9   1.5e-13   53.4   0.3   6.6   6   0   0   6   6   6   6 -
g19604.t1            -          PF13927_seed         -            3.6e-74  247.6  16.2   6.3e-16   61.0   0.1   7.1   7   0   0   7   7   6   6 -
g77230.t2            -          PF13927_seed         -            1.3e-73  245.8  19.7   4.9e-11   45.3   0.1   9.5   9   0   0   9   9   8   7 -
g51762.t1            -          PF13927_seed         -              2e-73  245.3   2.5   7.3e-18   67.2   0.0   4.3   4   0   0   4   4   4   4 -
g22755.t1            -          PF13927_seed         -              2e-73  245.2   3.9     4e-18   68.0   0.1   5.5   5   0   0   5   5   5   5 -
g77230.t1            -          PF13927_seed         -            2.4e-73  245.0  19.7   5.3e-11   45.2   0.1   9.5   9   0   0   9   9   7   7 -
g13927.t1            -          PF13927_seed         -            5.6e-73  243.8  13.4   8.8e-15   57.3   0.1   7.6   7   0   0   7   7   6   6 -
g54951.t1            -          PF13927_seed         -            3.7e-72  241.2  13.2   2.2e-17   65.7   0.0   6.6   6   1   0   6   6   6   6 -
g77231.t1            -          PF13927_seed         -            1.4e-71  239.3  21.9   6.8e-13   51.3   0.2   7.3   7   0   0   7   7   7   7 -
g38314.t1            -          PF13927_seed         -            3.9e-71  237.9   2.4   3.4e-17   65.1   0.0   4.4   4   0   0   4   4   4   4 -
g43296.t2            -          PF13927_seed         -            4.1e-71  237.8  15.6   2.4e-14   55.9   0.4   5.3   5   0   0   5   5   5   5 -
g56918.t1            -          PF13927_seed         -            1.8e-70  235.8  12.5   9.3e-16   60.5   0.1   7.1   6   0   0   6   6   6   6 -
g10722.t1            -          PF13927_seed         -            5.1e-66  221.5  13.7   2.9e-18   68.5   0.8   5.2   5   0   0   5   5   5   5 -
g12610.t1            -          PF13927_seed         -            1.6e-65  219.9  21.7   1.4e-14   56.6   0.8   7.1   7   0   0   7   7   6   5 -
g7133.t1             -          PF13927_seed         -            2.6e-63  212.8   0.6   7.2e-13   51.2   0.0   5.8   5   0   0   5   5   5   5 -
g53110.t1            -          PF13927_seed         -            4.2e-63  212.2   0.4     4e-16   61.6   0.0   5.4   5   0   0   5   5   4   4 -
g43715.t1            -          PF13927_seed         -            9.2e-63  211.1   6.2   1.1e-13   53.8   0.0   5.6   5   1   0   5   5   5   5 -
g43715.t2            -          PF13927_seed         -            9.3e-63  211.1   6.2   1.1e-13   53.8   0.0   5.6   5   1   0   5   5   5   5 -
g31293.t1            -          PF13927_seed         -            3.2e-62  209.3   4.2   3.6e-14   55.4   0.0   6.3   6   0   0   6   6   6   5 -
g47585.t1            -          PF13927_seed         -            3.4e-62  209.3  18.3   3.6e-21   77.8   1.2   3.1   3   0   0   3   3   3   3 -
g77201.t2            -          PF13927_seed         -            4.6e-62  208.8   5.4   2.1e-16   62.6   0.1   6.4   6   0   0   6   6   6   5 -
g47585.t2            -          PF13927_seed         -              5e-62  208.7  18.3   4.1e-21   77.6   1.2   3.1   3   0   0   3   3   3   3 -
g47586.t1            -          PF13927_seed         -              5e-62  208.7  18.3   4.1e-21   77.6   1.2   3.1   3   0   0   3   3   3   3 -
