#                                                               --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
anno1.g20566.t1      -          PF13895_full         -                  0 2111.9 249.2   1.4e-17   66.1   1.8  56.2  11  11  39  56  56  56  56 -
anno1.g53200.t1      -          PF13895_full         -                  0 1644.2   0.0   3.4e-17   64.8   0.0  40.7   5   3  34  40  40  40  39 -
anno1.g53203.t1      -          PF13895_full         -           3.2e-208  686.3   0.0   1.3e-15   59.6   0.1  19.1   4   4  14  19  19  19  19 -
anno1.g13035.t1      -          PF13895_full         -           3.4e-189  624.4 104.9   1.5e-21   79.0   3.1  11.0   1   1  10  11  11  11  11 -
anno1.g63763.t1      -          PF13895_full         -           1.1e-149  495.8  18.1     7e-15   57.3   0.0  11.6   1   1  10  11  11  11  11 -
anno1.g46623.t1      -          PF13895_full         -           1.7e-148  492.0  29.3     1e-15   60.0   0.1  12.1   1   1  11  12  12  12  12 -
anno1.g77688.t1      -          PF13895_full         -           1.6e-141  469.3  19.8   1.2e-15   59.8   0.1  11.3   1   1  10  11  11  11  11 -
anno1.g30722.t1      -          PF13895_full         -           4.6e-135  448.3  35.6   4.8e-14   54.5   0.1  12.2   3   2   9  12  12  12  12 -
anno1.g30723.t1      -          PF13895_full         -             3e-112  374.1  28.0   3.4e-14   55.0   0.1  10.2   3   2   6  10  10  10  10 -
anno1.g47589.t1      -          PF13895_full         -           2.2e-107  358.2  54.8   9.7e-23   82.8   4.2   6.0   1   1   5   6   6   6   6 -
anno1.g58475.t1      -          PF13895_full         -           4.4e-101  337.7   0.0   2.3e-14   55.6   0.0   9.1   1   1   8   9   9   9   9 -
anno1.g12813.t1      -          PF13895_full         -              4e-98  328.1  49.8   2.1e-19   72.0   3.1   8.4   1   1   7   8   8   8   8 -
anno1.g47316.t1      -          PF13895_full         -            2.3e-97  325.6  76.4   1.8e-15   59.2   5.6   9.1   1   1   8   9   9   9   9 -
anno1.g42445.t1      -          PF13895_full         -            1.1e-94  316.9  30.9   9.1e-19   69.9   0.0   8.4   1   1   6   8   8   8   8 -
anno1.g63760.t1      -          PF13895_full         -            1.9e-89  299.9   7.4   2.6e-15   58.7   0.0   6.2   1   1   5   6   6   6   6 -
anno1.g59525.t1      -          PF13895_full         -            9.1e-89  297.7  46.9   1.8e-13   52.6   0.3   9.1   1   1   8   9   9   9   8 -
anno1.g15818.t1      -          PF13895_full         -              6e-88  295.0  38.0   5.9e-16   60.7   2.2  12.7   5   4   6  12  12  12  11 -
anno1.g68852.t1      -          PF13895_full         -            2.5e-85  286.5  44.1   1.4e-15   59.6   2.4   8.8   2   1   7   9   9   8   7 -
anno1.g42233.t1      -          PF13895_full         -            2.2e-83  280.1   8.4   7.3e-14   53.9   0.9   7.1   2   2   5   7   7   7   7 -
anno1.g31292.t1      -          PF13895_full         -              6e-80  269.0  30.2   7.3e-14   53.9   2.9   6.2   2   2   4   6   6   6   6 -
anno1.g47864.t1      -          PF13895_full         -            1.8e-79  267.4   6.8   2.4e-15   58.8   0.1   6.1   1   1   5   6   6   6   6 -
anno1.g77231.t1      -          PF13895_full         -            2.2e-79  267.1  36.9   3.5e-13   51.8   2.3   7.1   1   1   6   7   7   7   7 -
anno1.g77230.t1      -          PF13895_full         -            2.4e-77  260.5  40.4   1.8e-12   49.4   1.4   8.5   2   1   6   8   8   7   7 -
anno1.g62362.t1      -          PF13895_full         -              8e-74  249.0  16.6   8.5e-16   60.2   0.7   5.1   1   1   4   5   5   5   5 -
anno1.g22759.t2      -          PF13895_full         -            1.1e-70  238.8  19.8   3.7e-18   67.9   2.4   6.1   2   2   4   6   6   6   6 -
anno1.g12610.t1      -          PF13895_full         -            1.6e-70  238.3  21.9   8.2e-19   70.1   0.1   5.6   2   1   3   5   5   5   5 -
anno1.g13927.t1      -          PF13895_full         -            2.7e-70  237.5  18.1   3.5e-15   58.2   0.0   7.1   2   1   5   7   7   6   6 -
anno1.g70262.t1      -          PF13895_full         -            8.3e-70  236.0  28.1   2.2e-15   58.9   0.6   6.4   2   1   4   6   6   5   5 -
anno1.g21770.t1      -          PF13895_full         -            1.2e-69  235.4  40.0   9.8e-19   69.8   2.1   4.0   1   1   3   4   4   4   4 -
anno1.g10723.t1      -          PF13895_full         -            2.6e-69  234.4  41.6   1.4e-17   66.0   3.6   7.8   3   1   4   7   7   7   6 -
anno1.g43296.t1      -          PF13895_full         -            2.8e-69  234.3  22.6   2.2e-11   45.9   0.8   6.3   2   2   4   6   6   6   6 -
anno1.g81442.t2      -          PF13895_full         -            1.1e-68  232.3  16.7   6.6e-13   50.8   0.0   6.1   1   1   5   6   6   6   6 -
anno1.g79538.t1      -          PF13895_full         -            5.9e-68  229.9  29.0   4.4e-23   83.9   2.4   4.2   1   1   3   4   4   4   4 -
anno1.g21771.t1      -          PF13895_full         -            3.1e-67  227.6  42.7   1.1e-18   69.7   2.6   4.0   1   1   3   4   4   4   4 -
anno1.g45366.t1      -          PF13895_full         -            7.3e-67  226.4  36.3   3.8e-09   38.6   0.3  11.0   4   4   6  10  10   9   8 -
anno1.g22755.t1      -          PF13895_full         -              2e-66  225.0  12.8     2e-18   68.8   1.9   5.1   1   1   4   5   5   5   5 -
anno1.g34578.t1      -          PF13895_full         -            1.4e-62  212.4  22.5   2.3e-14   55.6   0.1   6.0   1   1   5   6   6   6   5 -
anno1.g34579.t1      -          PF13895_full         -            1.4e-62  212.4  22.5   2.3e-14   55.6   0.1   6.0   1   1   5   6   6   6   5 -
anno1.g54951.t1      -          PF13895_full         -            3.9e-62  211.0  39.1   4.5e-19   70.9   0.5   6.7   1   1   5   6   6   6   6 -
anno1.g51762.t1      -          PF13895_full         -            4.7e-62  210.8   0.5   2.7e-14   55.4   0.0   4.1   1   1   3   4   4   4   4 -
anno1.g72669.t1      -          PF13895_full         -            5.5e-62  210.5  46.8   1.4e-10   43.2   4.1   7.1   1   1   5   7   7   7   7 -
anno1.g43715.t2      -          PF13895_full         -            1.2e-61  209.4  14.5   1.1e-14   56.7   0.2   5.2   1   1   4   5   5   5   5 -
anno1.g38314.t1      -          PF13895_full         -              1e-60  206.4   0.9   4.2e-14   54.7   0.0   4.3   1   1   3   4   4   4   4 -
anno1.g19604.t1      -          PF13895_full         -            1.6e-60  205.7  33.0   4.5e-13   51.4   0.6   7.4   3   1   4   7   7   6   6 -
anno1.g8984.t1       -          PF13895_full         -            2.2e-59  202.0   1.8   4.5e-11   44.9   0.1   5.0   1   1   4   5   5   5   5 -
anno1.g56918.t1      -          PF13895_full         -            3.4e-59  201.5  11.2   6.7e-13   50.8   0.5   6.5   2   1   4   6   6   6   6 -
anno1.g7133.t1       -          PF13895_full         -            5.8e-59  200.7   4.1   2.8e-15   58.6   0.0   5.2   1   1   4   5   5   5   5 -
