#                                                               --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
g24282.t1            -          PF12799_full         -            6.8e-76  251.1 112.7   1.3e-08   35.2   7.5  13.7   5   4   8  13  13  12  12 -
g16402.t1            -          PF12799_full         -            6.4e-70  231.9  97.2   6.7e-09   36.1   1.3  11.9   2   2  10  12  12  12  11 -
g4927.t1             -          PF12799_full         -              1e-58  196.0  90.0   6.9e-13   48.9   5.0   6.6   1   1   8   9   9   9   9 -
g2862.t1             -          PF12799_full         -            3.1e-56  188.0  83.0   1.1e-09   38.7   4.0  11.3   3   2   7  12  12  10  10 -
g13492.t1            -          PF12799_full         -            1.2e-48  163.7  45.3   3.4e-07   30.7   0.1   9.1   1   1   7   8   8   8   8 -
g17484.t1            -          PF12799_full         -            1.6e-43  147.2  46.8   1.1e-12   48.2   0.4   6.5   1   1   5   6   6   6   6 -
g24780.t1            -          PF12799_full         -            2.3e-43  146.7  42.1   5.8e-07   29.9   0.2   8.0   1   1   6   7   7   7   7 -
g19217.t1            -          PF12799_full         -              2e-39  134.1  24.6     1e-08   35.6   0.2   7.2   1   1   7   8   8   8   7 -
g7674.t1             -          PF12799_full         -            2.4e-39  133.8  56.8   5.3e-10   39.6   0.2   4.9   1   1   6   7   7   7   7 -
g26995.t1            -          PF12799_full         -              2e-36  124.4  41.5   8.8e-06   26.1   1.4   8.0   1   1   7   8   8   8   7 -
g313.t1              -          PF12799_full         -            3.5e-36  123.7  42.8   3.2e-08   33.9   0.6   8.4   1   1   7   8   8   8   6 -
g18994.t1            -          PF12799_full         -            6.1e-35  119.7  52.6   6.6e-09   36.1   1.9   8.5   1   1   7   8   8   8   7 -
g7119.t2             -          PF12799_full         -            3.3e-34  117.3  23.4   2.7e-10   40.6   2.5   6.4   2   2   4   6   6   6   6 -
g26995.t2            -          PF12799_full         -            1.1e-33  115.7  45.5   1.6e-06   28.5   1.1   8.0   1   1   6   8   8   8   7 -
g9482.t1             -          PF12799_full         -            4.7e-33  113.6  62.1   0.00029   21.2   1.2  12.4   1   1  16  17  17  17  16 -
g32002.t1            -          PF12799_full         -            6.4e-32  110.0  38.1   3.2e-10   40.4   5.8   6.2   1   1   7   8   8   8   6 -
g18985.t2            -          PF12799_full         -              1e-31  109.4  36.6   1.6e-07   31.7   3.0   6.7   1   1   5   6   6   6   6 -
g25342.t1            -          PF12799_full         -            2.3e-31  108.2  38.8     4e-08   33.6   0.2   7.7   3   2   4   7   7   7   6 -
g24679.t1            -          PF12799_full         -            7.1e-31  106.6  30.6   1.7e-09   38.1   2.0   4.1   1   1   4   5   5   5   5 -
g12369.t1            -          PF12799_full         -            1.1e-30  106.0  34.3   7.4e-09   36.0   2.1   5.3   1   1   4   5   5   5   4 -
g13243.t2            -          PF12799_full         -            1.5e-30  105.6  43.6   2.4e-10   40.8   5.3   7.5   3   3   4   7   7   7   5 -
g27786.t1            -          PF12799_full         -            2.1e-30  105.1  46.0   1.1e-07   32.3   9.8   6.9   1   1   5   6   6   5   5 -
g25340.t1            -          PF12799_full         -            3.1e-30  104.6  39.9     4e-08   33.6   0.2   7.7   3   2   4   7   7   7   5 -
g30699.t1            -          PF12799_full         -            3.8e-29  101.1  13.1   9.9e-08   32.4   1.0   4.2   1   1   3   4   4   4   4 -
g7601.t1             -          PF12799_full         -            4.7e-29  100.8  48.1   1.5e-07   31.8   7.1   7.2   2   1   4   6   6   6   5 -
g13243.t1            -          PF12799_full         -            2.9e-28   98.3  43.1   5.6e-10   39.6   5.3   7.5   3   3   4   7   7   7   6 -
g10909.t1            -          PF12799_full         -            3.2e-28   98.1  49.4     3e-05   24.4   0.8  11.5   1   1  11  12  12  12   8 -
g2034.t2             -          PF12799_full         -            3.5e-28   98.0  27.1   2.7e-07   31.0   6.8   5.2   1   1   4   5   5   5   5 -
g28085.t1            -          PF12799_full         -            3.7e-28   97.9  41.4   3.4e-10   40.3   7.2   5.5   1   1   4   5   5   5   4 -
g2034.t1             -          PF12799_full         -            4.2e-28   97.7  27.1   2.8e-07   30.9   6.8   5.2   1   1   4   5   5   5   5 -
g7119.t1             -          PF12799_full         -            1.7e-27   95.8  17.5     1e-10   41.9   1.4   4.5   1   1   3   4   4   4   4 -
g8812.t3             -          PF12799_full         -            1.8e-27   95.7  24.9   3.8e-11   43.3   7.4   4.6   1   1   3   4   4   4   4 -
g8812.t1             -          PF12799_full         -            2.1e-27   95.5  24.9   1.3e-11   44.8   5.5   4.6   1   1   3   4   4   4   4 -
g8812.t2             -          PF12799_full         -            2.4e-27   95.3  24.9   1.4e-11   44.7   5.5   4.5   1   1   3   4   4   4   4 -
g977.t3              -          PF12799_full         -            7.9e-27   93.6  37.5   1.4e-05   25.5   7.4   5.3   1   1   4   5   5   5   5 -
g28742.t2            -          PF12799_full         -            7.9e-27   93.6  42.8   1.4e-08   35.0   4.1   5.2   1   1   4   5   5   5   5 -
g9603.t1             -          PF12799_full         -            3.1e-26   91.7  35.7   2.4e-11   44.0   4.5   5.1   1   1   4   5   5   4   4 -
g15826.t1            -          PF12799_full         -            7.2e-26   90.6  65.2   0.00013   22.4   0.9  12.1   1   1  15  16  16  16  13 -
g25347.t1            -          PF12799_full         -            4.7e-25   88.0  50.8   2.1e-07   31.3   0.8   9.0   3   3   6   9   9   9   5 -
g18980.t1            -          PF12799_full         -            1.6e-24   86.2  26.1   2.7e-07   30.9   1.0   4.9   1   1   3   4   4   4   4 -
g25348.t1            -          PF12799_full         -            4.9e-24   84.7  40.4   2.9e-05   24.4   0.9   7.5   3   2   4   7   7   7   5 -
g349.t1              -          PF12799_full         -            4.9e-24   84.7  33.1   1.7e-09   38.0   3.4   5.0   1   1   4   5   5   5   4 -
g28361.t1            -          PF12799_full         -            1.5e-23   83.1  21.0   7.4e-08   32.8   0.5   4.1   1   1   3   4   4   4   4 -
g18985.t1            -          PF12799_full         -            3.4e-23   82.0  19.2   9.5e-08   32.4   2.4   5.2   2   1   3   5   5   4   4 -
g16579.t1            -          PF12799_full         -            4.2e-23   81.7  32.4   1.9e-06   28.3   2.0   6.4   1   1   6   7   7   7   6 -
g18662.t1            -          PF12799_full         -            1.9e-22   79.6  20.1   2.9e-11   43.7   3.6   4.0   2   1   2   4   4   3   2 -
g16841.t3            -          PF12799_full         -            2.2e-22   79.4  23.9   1.2e-07   32.1   1.1   5.5   1   1   4   5   5   5   4 -
g16841.t2            -          PF12799_full         -            2.2e-22   79.4  24.0   1.2e-07   32.1   1.1   5.5   1   1   4   5   5   5   4 -
g8039.t1             -          PF12799_full         -            5.1e-22   78.2  44.0   3.2e-07   30.7   7.3   4.5   1   1   3   4   4   4   4 -
g8039.t2             -          PF12799_full         -            5.3e-22   78.2  44.0   3.3e-07   30.7   7.3   4.5   1   1   3   4   4   4   4 -
g16841.t1            -          PF12799_full         -              6e-22   78.0  24.3   1.2e-07   32.1   2.4   5.4   1   1   4   5   5   5   4 -
g31842.t1            -          PF12799_full         -            8.4e-22   77.5  18.5   3.2e-06   27.5  10.6   5.4   1   1   4   5   5   5   4 -
g18993.t1            -          PF12799_full         -            8.9e-22   77.4  23.3     1e-07   32.3   2.1   5.1   2   1   3   5   5   5   3 -
g25344.t1            -          PF12799_full         -            1.2e-21   77.0  36.7   1.9e-06   28.3   1.0   7.0   3   1   4   7   7   6   5 -
g25343.t1            -          PF12799_full         -            1.4e-21   76.8  43.6   2.2e-05   24.9   0.5   7.7   3   2   4   7   7   7   5 -
g977.t1              -          PF12799_full         -            1.8e-21   76.4  26.3   1.3e-05   25.6   1.6   4.3   1   1   4   5   5   5   5 -
g977.t2              -          PF12799_full         -            1.8e-21   76.4  26.3   1.3e-05   25.6   1.6   4.3   1   1   4   5   5   5   5 -
g29130.t1            -          PF12799_full         -            2.7e-21   75.9  19.7   2.9e-09   37.3   5.9   3.7   1   1   2   3   3   3   3 -
g22543.t1            -          PF12799_full         -            4.6e-21   75.1  31.0   1.9e-09   37.9   5.3   4.6   1   1   2   3   3   3   3 -
