#                                                               --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
anno1.g12384.t1      -          PF13516_full         -            2.3e-93  308.0 110.4   1.1e-06   30.5   0.1  16.1   1   1  15  16  16  16  16 -
anno1.g33037.t1      -          PF13516_full         -            5.2e-86  284.5  72.9   1.1e-06   30.5   0.2  15.0   1   1  14  15  15  15  14 -
anno1.g33039.t1      -          PF13516_full         -            3.3e-85  281.9  77.0   1.7e-06   29.9   0.2  16.1   2   1  14  16  16  16  14 -
anno1.g47445.t1      -          PF13516_full         -              3e-63  211.6  69.4   6.6e-06   28.0   0.1  13.2   1   1  12  13  13  13  11 -
anno1.g1492.t1       -          PF13516_full         -            2.7e-62  208.5  91.2   1.2e-06   30.4   1.5  13.0   1   1  12  13  13  13  11 -
anno1.g39010.t1      -          PF13516_full         -            4.5e-60  201.5  51.0   2.2e-06   29.5   0.9  11.1   1   1  10  11  11  11  10 -
anno1.g39011.t1      -          PF13516_full         -            1.5e-58  196.6  51.4   2.8e-06   29.2   1.1  11.2   1   1  10  11  11  11  10 -
anno1.g39145.t1      -          PF13516_full         -            2.6e-52  176.6  45.4   1.7e-07   33.1   1.0   9.6   1   1   9  10  10   9   9 -
anno1.g17767.t1      -          PF13516_full         -            1.5e-48  164.6  30.4   0.00014   23.8   0.2  12.4   2   2  11  13  13  12  10 -
anno1.g975.t1        -          PF13516_full         -            3.2e-47  160.3  51.0   3.7e-05   25.6   1.2  13.9   2   2  12  14  14  14   9 -
anno1.g20191.t1      -          PF13516_full         -              4e-47  160.0  57.1   0.00019   23.4   0.2  14.1   2   2  12  14  14  14  12 -
anno1.g74477.t1      -          PF13516_full         -            1.6e-45  154.9  49.9   1.7e-08   36.3   0.5   8.1   1   1   7   8   8   8   8 -
anno1.g65853.t1      -          PF13516_full         -            5.9e-45  153.0  59.2   0.00016   23.5   0.2  10.6   1   1  10  11  11  10  10 -
anno1.g50464.t1      -          PF13516_full         -              1e-43  149.0  85.5   7.2e-06   27.9   0.0  16.6   9   4   8  17  17  16   8 -
anno1.g60422.t1      -          PF13516_full         -            9.7e-42  142.8  72.8   2.2e-06   29.6   3.6  14.5   5   3   9  14  14  14  10 -
